,OR5A1 (219982)
ACH-000004,0.07953351923110001
ACH-000007,-0.433103450628
ACH-000009,-0.052199301033300005
ACH-000011,-0.00400041192471
ACH-000012,-0.118074190275
ACH-000013,-0.13879810879899998
ACH-000014,-0.0516302355018
ACH-000015,-0.138568573271
ACH-000017,-0.0989466427849
ACH-000018,0.151611908454
ACH-000019,-0.22555890501999998
ACH-000021,-0.350247594978
ACH-000022,-0.17975615232
ACH-000025,-0.198828234012
ACH-000028,-0.18785877057
ACH-000030,-0.202799789355
ACH-000035,-0.349821204098
ACH-000036,-0.23387408443799998
ACH-000037,-0.191005722509
ACH-000039,-0.280435736874
ACH-000040,-0.053662727852499995
ACH-000041,-0.230660913587
ACH-000042,-0.319671059605
ACH-000045,-0.123322770418
ACH-000047,-0.09461452752810001
ACH-000052,-0.363715681898
ACH-000053,-0.177519436345
ACH-000054,-0.14876185165300002
ACH-000055,-0.121722430681
ACH-000060,-0.10785604319900001
ACH-000067,-0.062378854203
ACH-000070,-0.20427743901
ACH-000075,-0.28518614568399997
ACH-000078,-0.157787545013
ACH-000082,-0.150116958315
ACH-000085,-0.351898038337
ACH-000086,-0.45125713298500003
ACH-000087,-0.284527919205
ACH-000092,-0.23419874950999997
ACH-000095,-0.0720016272225
ACH-000097,-0.280486514188
ACH-000098,-0.0806032766897
ACH-000099,-0.18126713809599998
ACH-000108,-0.352509196211
ACH-000113,-0.14583759903899998
ACH-000115,-0.112450053476
ACH-000116,-0.35760875615500004
ACH-000118,-0.35796805376199997
ACH-000120,-0.11984573803899999
ACH-000123,-0.204938196513
ACH-000127,-0.154772766432
ACH-000128,-0.12925119449
ACH-000132,-0.24149602896699998
ACH-000133,-0.33708655995
ACH-000137,-0.0601782564498
ACH-000138,-0.148513395712
ACH-000142,-0.321144887533
ACH-000143,-0.16550101545600002
ACH-000146,-0.19035420895100003
ACH-000148,-0.119130409386
ACH-000150,-0.265563924401
ACH-000152,-0.0880286742305
ACH-000153,0.0135723715212
ACH-000159,-0.09848644264039999
ACH-000160,-0.253125988888
ACH-000163,-0.159781204502
ACH-000167,-0.310370294388
ACH-000168,-0.18072553955499998
ACH-000169,-0.17517766047000002
ACH-000178,-0.21058168318300002
ACH-000182,-0.20458163965999998
