,TLN2 (83660)
ACH-000004,0.0642746558318
ACH-000007,-0.173545718691
ACH-000009,-0.27025362567
ACH-000011,-0.0642188939491
ACH-000012,-0.0254998150357
ACH-000013,0.00886817406981
ACH-000014,-0.149055732103
ACH-000015,-0.113219265161
ACH-000017,-0.178902393057
ACH-000018,0.1217817876
ACH-000019,0.188868443644
ACH-000021,0.0783766077174
ACH-000022,-0.166646142701
ACH-000025,-0.211702286522
ACH-000028,0.071705466047
ACH-000030,-0.104344488108
ACH-000035,-0.14718559014000002
ACH-000036,0.207375262881
ACH-000037,0.0341519495867
ACH-000039,-0.022682905454700003
ACH-000040,0.124810662623
ACH-000041,0.00122464160977
ACH-000042,-0.206804641839
ACH-000045,-0.202915932779
ACH-000047,0.0171300226232
ACH-000052,-0.144536452387
ACH-000053,-0.100508672676
ACH-000054,-0.0185082799879
ACH-000055,0.23350143593000003
ACH-000060,-0.020532855951700003
ACH-000067,-0.0476360328113
ACH-000070,0.07572494227460001
ACH-000075,-0.16657164236400002
ACH-000078,-0.251715202648
ACH-000082,0.0082789856603
ACH-000085,0.0900474454061
ACH-000086,0.0128281313033
ACH-000087,0.0109542536069
ACH-000092,-0.0515250898587
ACH-000095,0.006495189854060001
ACH-000097,-0.141406496678
ACH-000098,0.0886330557038
ACH-000099,-0.209880386349
ACH-000108,-0.0887379248742
ACH-000113,0.0128647429865
ACH-000115,-0.0379956550086
ACH-000116,-0.195053939051
ACH-000118,-0.00940845112399
ACH-000120,-0.24944428220400003
ACH-000123,-0.232941645749
ACH-000127,-0.18178160690900003
ACH-000128,0.0171453179125
ACH-000132,-0.216396008854
ACH-000133,0.18458547762000002
ACH-000137,0.0799184529697
ACH-000138,-0.115643242831
ACH-000142,0.190297585452
ACH-000143,0.14151159048
ACH-000146,-0.0433037585598
ACH-000148,-0.0613188264456
ACH-000150,0.028828840818599998
ACH-000152,0.134153994451
ACH-000153,-0.127054408084
ACH-000159,-0.036537768196
ACH-000160,-0.142620682459
ACH-000163,0.08719314576680001
ACH-000167,-0.05894843195590001
ACH-000168,-0.11308832383400001
ACH-000169,0.008835595801409999
ACH-000178,0.0372967051649
ACH-000182,-0.135100794102
ACH-000183,0.0939302005762
ACH-000188,-0.05605874585059999
ACH-000189,0.188432410246
ACH-000190,-0.0795031769622
ACH-000198,-0.0247866564679
ACH-000204,-0.0817666852107
ACH-000206,-0.026290500397200003
ACH-000207,-0.042350369747900005
ACH-000211,0.0562126201781
ACH-000215,0.015693261029700003
ACH-000221,-0.0108369936166
ACH-000222,-0.141924162261
ACH-000223,-0.22318844380199998
ACH-000226,-0.260026412394
ACH-000227,-0.216878458985
ACH-000228,-0.37909622778499996
ACH-000231,-0.0779941427884
ACH-000232,-0.0881911290525
ACH-000233,-0.11408809957900001
ACH-000234,-0.00668606124209
ACH-000235,-0.203475278145
ACH-000237,-0.020413338362799998
ACH-000238,-0.141773357786
ACH-000243,-0.116618975682
ACH-000244,-0.261866767585
