,ADORA2B (136)
ACH-000004,0.011005734114899999
ACH-000007,0.00395573258937
ACH-000009,-0.04696826785080001
ACH-000011,-0.26282179154699997
ACH-000012,-0.21997199197099998
ACH-000013,-0.21782781899099998
ACH-000014,-0.0879457258992
ACH-000015,-0.136026443398
ACH-000017,0.15229758813400002
ACH-000018,-0.272583531438
ACH-000019,-0.0499939877284
ACH-000021,-0.162678093784
ACH-000022,0.0100336873132
ACH-000025,-0.10312006495500001
ACH-000028,-0.0542110258675
ACH-000030,-0.026142403230000003
ACH-000035,-0.18186072225299998
ACH-000036,-0.119084525447
ACH-000037,-0.0753833689653
ACH-000039,-0.25524429492
ACH-000040,-0.040204472951800005
ACH-000041,-0.29881562479400003
ACH-000042,-0.141727831612
ACH-000045,-0.055542924177400005
ACH-000047,-0.295670062149
ACH-000052,-0.435165833881
ACH-000053,-0.0710634689897
ACH-000054,-0.0979318189426
ACH-000055,-0.17984081425999998
ACH-000060,0.0994432963013
ACH-000067,-0.147017409854
ACH-000070,-0.0321507119543
ACH-000075,-0.123637081052
ACH-000078,-0.0820552782812
ACH-000082,-0.284657235441
ACH-000085,-0.005637354062579999
ACH-000086,-0.0633171145523
ACH-000087,-0.29167016301
ACH-000092,-0.00746796570457
ACH-000095,-0.138227909442
ACH-000097,-0.267315482333
ACH-000098,-0.0018554846677299999
ACH-000099,-0.0912398824469
ACH-000108,-0.0340574834788
ACH-000113,-0.0146213890745
ACH-000115,-0.11823673860999999
ACH-000116,-0.1438527422
ACH-000118,-0.0757676555643
ACH-000120,-0.191708249654
ACH-000123,0.0177645600227
ACH-000127,-0.013665264170899999
ACH-000128,-0.0503961214501
ACH-000132,-0.216590389099
ACH-000133,-0.125021535968
ACH-000137,-0.0432855543763
ACH-000138,-0.0745111628516
ACH-000142,-0.334374398332
ACH-000143,-0.238902220768
ACH-000146,0.0355912316436
ACH-000148,-0.128998363793
ACH-000150,0.048210417735900006
ACH-000152,-0.235830358144
ACH-000153,-0.7237145342319999
ACH-000159,-0.0638963574665
ACH-000160,0.00156882619588
ACH-000163,-0.237882597022
ACH-000167,-0.292715947184
ACH-000168,0.058510332244699995
ACH-000169,-0.344836333862
ACH-000178,0.0352801037492
ACH-000182,-0.052261798813899994
ACH-000183,0.00671179673373
ACH-000188,-0.156573796101
ACH-000189,-0.0637269907506
ACH-000190,-0.18027127676
ACH-000198,-0.10643703602700001
ACH-000204,0.07281295986010002
ACH-000206,0.00862389672491
ACH-000207,-0.421430927452
ACH-000211,0.0288019604758
ACH-000215,-0.246137363747
ACH-000221,-0.157599765902
ACH-000222,-0.0012580781891400003
ACH-000223,-0.05650486466
ACH-000226,-0.07709878838539999
ACH-000227,-0.0765310163064
ACH-000228,-0.0315175994923
ACH-000231,-0.229147247749
ACH-000232,-0.109419137387
ACH-000233,-0.095670542022
ACH-000234,0.122723141763
ACH-000235,-0.08710287280819999
ACH-000237,-0.14362577219699998
ACH-000238,-0.5642270973719999
ACH-000243,-0.103181757868
ACH-000244,-0.38776279182499995
ACH-000246,-0.034034753541900005
ACH-000248,-0.14448279369
ACH-000250,-0.11457540093699999
ACH-000251,0.08713643181469999
ACH-000253,0.0663397665645
