,NELFB (25920)
ACH-000004,-1.6627194201700002
ACH-000007,-1.4094809997799997
ACH-000009,-1.83411953689
ACH-000011,-1.7385462408400003
ACH-000012,-1.1929518318799999
ACH-000013,-1.1754132042899998
ACH-000014,-1.8648128957700003
ACH-000015,-1.79691927777
ACH-000017,-1.5603453368900002
ACH-000018,-1.6681473993399998
ACH-000019,-0.828776966145
ACH-000021,-1.1136736725
ACH-000022,-1.57793468361
ACH-000025,-1.35977331599
ACH-000028,-1.5356294004799997
ACH-000030,-1.52515003851
ACH-000035,-1.4952861772200001
ACH-000036,-1.59580011549
ACH-000037,-0.873878989799
ACH-000039,-1.66391967048
ACH-000040,-1.44532808432
ACH-000041,-1.2717651304100002
ACH-000042,-1.2061724266299998
ACH-000045,-1.47590115613
ACH-000047,-1.4452259289700002
ACH-000052,-1.74760392278
ACH-000053,-1.48868467333
ACH-000054,-1.4219918738100001
ACH-000055,-1.6315838622299998
ACH-000060,-1.7706657676099997
ACH-000067,-1.57558889535
ACH-000070,-1.59132802396
ACH-000075,-1.54757783314
ACH-000078,-1.51206252058
ACH-000082,-0.909944431601
ACH-000085,-1.4224634071200002
ACH-000086,-1.3547079342700001
ACH-000087,-1.64645550421
ACH-000092,-1.3476624690799999
ACH-000095,-1.4180945712000002
ACH-000097,-1.46744963014
ACH-000098,-1.38289815395
ACH-000099,-1.4697045673500002
ACH-000108,-1.38304154876
ACH-000113,-1.47071763137
ACH-000115,-1.72550851972
ACH-000116,-1.02911998121
ACH-000118,-1.22668844
ACH-000120,-1.60732002842
ACH-000123,-1.5118591465900002
ACH-000127,-1.50075738533
ACH-000128,-1.9190895613900003
ACH-000132,-1.2958171759700001
ACH-000133,-1.3719716828200001
ACH-000137,-1.6285123136000001
ACH-000138,-1.61360296049
ACH-000142,-1.4928867492299998
ACH-000143,-1.50763859553
ACH-000146,-0.702781701473
ACH-000148,-1.81492962624
ACH-000150,-1.66026928317
ACH-000152,-1.56250511679
ACH-000153,-1.66735345354
ACH-000159,-1.23894515033
ACH-000160,-1.05308610778
ACH-000163,-1.496467215
ACH-000167,-1.2477459572399998
ACH-000168,-1.47521546345
ACH-000169,-1.3483927407
ACH-000178,-1.69579699771
ACH-000182,-1.25093231088
ACH-000183,-1.7031263404299999
ACH-000188,-1.46866663897
ACH-000189,-1.29784222677
ACH-000190,-1.1393364172799998
ACH-000198,-1.4699670061
ACH-000204,-1.8574351094
ACH-000206,-1.8589911982099998
ACH-000207,-1.5841181794900001
ACH-000211,-1.7473856481099999
ACH-000215,-1.96590736235
ACH-000221,-1.57436344384
ACH-000222,-1.61495188822
ACH-000223,-1.27334788289
ACH-000226,-1.23469780712
ACH-000227,-1.28665576256
ACH-000228,-1.3782563317299998
ACH-000231,-1.63559114475
ACH-000232,-1.6234567616799997
ACH-000233,-1.69041204367
ACH-000234,-1.1465882305600001
ACH-000235,-1.25118062259
ACH-000237,-1.46400099595
ACH-000238,-1.4512009998299997
ACH-000243,-1.4449987033899998
ACH-000244,-1.54260084035
ACH-000246,-1.4692304062700001
ACH-000248,-1.74609180279
ACH-000250,-1.3531043638999998
ACH-000251,-1.4269830826199998
ACH-000253,-1.24991376097
ACH-000255,-1.50719976599
ACH-000256,-1.2743250234399999
ACH-000257,-1.65836897023
ACH-000258,-1.1693170665600001
ACH-000259,-1.51542166511
ACH-000260,-1.44855263276
ACH-000261,-1.48266830316
ACH-000262,-1.2946299971100002
ACH-000263,-1.6830650332600001
ACH-000264,-1.2522724455399998
ACH-000265,-1.5334039007499998
ACH-000266,-1.5378497161200002
ACH-000272,-1.09871028966
ACH-000273,-1.7947762351900003
ACH-000274,-1.1758976503799998
ACH-000277,-1.10652489919
ACH-000278,-1.4211480325999999
ACH-000279,-1.5091451870200001
ACH-000280,-1.70577410236
ACH-000281,-1.5149095911000001
ACH-000288,-1.7024665565000001
ACH-000291,-1.36508049514
ACH-000293,-1.7631102885900003
