,OXGR1 (27199)
ACH-000004,-0.139317457118
ACH-000007,-0.151927437858
ACH-000009,0.0473039915854
ACH-000011,0.0714434557567
ACH-000012,0.151676200359
ACH-000013,-0.0752034945844
ACH-000014,0.10927778648499999
ACH-000015,-0.148355031153
ACH-000017,0.0549437208129
ACH-000018,-0.125331709992
ACH-000019,-0.0987226682872
ACH-000021,0.11438712124299999
ACH-000022,0.119418092562
ACH-000025,0.0724779842978
ACH-000028,0.0828567646708
ACH-000030,-0.00522550769271
ACH-000035,0.030771718157099996
ACH-000036,-0.156916351783
ACH-000037,-0.0963561509815
ACH-000039,-0.10007954444299999
ACH-000040,0.142193474921
ACH-000041,-0.0648899627019
ACH-000042,-0.004298089619760001
ACH-000045,0.170101685171
ACH-000047,0.09980499199310001
ACH-000052,0.09371127522679999
ACH-000053,0.029738313294700003
ACH-000054,0.00460862692957
ACH-000055,0.0733588762213
ACH-000060,-0.07361678453989999
ACH-000067,-0.019322626822599998
ACH-000070,-0.198355777458
ACH-000075,-0.227469506523
ACH-000078,-0.248957384013
ACH-000082,0.103109049122
ACH-000085,-0.0635919138709
ACH-000086,0.00946197917661
ACH-000087,0.20915770522799998
ACH-000092,0.052365001626399996
ACH-000095,0.0602719889786
ACH-000097,0.10614156486700001
ACH-000098,0.05421925222849999
ACH-000099,-0.0341594206333
ACH-000108,0.04612624105819999
ACH-000113,-0.0159498933189
ACH-000115,0.0383434057737
ACH-000116,-0.0412276564603
ACH-000118,0.133976638556
ACH-000120,-0.08928059882139999
ACH-000123,0.04643448317440001
ACH-000127,-0.011547552049399999
ACH-000128,-0.145059022968
ACH-000132,-0.08621272325889999
ACH-000133,0.16544519069299998
ACH-000137,0.0304879915407
ACH-000138,0.150364530766
ACH-000142,0.09907394227779999
ACH-000143,0.060458130426000005
ACH-000146,-0.0882552784635
ACH-000148,-0.00595343571781
ACH-000150,0.101036528631
ACH-000152,-0.199450110555
ACH-000153,0.0912164676372
ACH-000159,-0.13980770658299999
ACH-000160,0.028482140116499997
ACH-000163,0.0706148791465
ACH-000167,0.119786108083
ACH-000168,-0.0716860718216
