,ATP5G1 (516)
ACH-000004,-0.656007839445
ACH-000007,-0.255985363494
ACH-000009,-0.805430346262
ACH-000011,-0.393268841149
ACH-000012,-0.43358533736500005
ACH-000013,-0.298682975638
ACH-000014,-0.609111897266
ACH-000015,-0.38991892517300003
ACH-000017,-0.48355347747599997
ACH-000018,-0.358290776141
ACH-000019,-0.833671073122
ACH-000021,-0.432567289097
ACH-000022,-0.301088006452
ACH-000025,-0.407545666432
ACH-000028,-0.530187450258
ACH-000030,-0.565364373321
ACH-000035,-0.41013602065099997
ACH-000036,-0.41990850158200005
ACH-000037,-0.41456922747
ACH-000039,-0.716747441162
ACH-000040,-0.538503468037
ACH-000041,-0.580580648988
ACH-000042,-0.415239572408
ACH-000045,-0.320831450498
ACH-000047,-0.39322081761699995
ACH-000052,-0.480348077208
ACH-000053,-0.45041800396700005
ACH-000054,-0.5895527984260001
ACH-000055,-0.288588896688
ACH-000060,-0.47910359783100004
ACH-000067,-0.42362236614
ACH-000070,-0.38864494739100003
ACH-000075,-0.47350710859899997
ACH-000078,-0.639382835108
ACH-000082,-0.508300521403
ACH-000085,-0.26227858708
ACH-000086,-0.519442463446
ACH-000087,-0.532480911683
ACH-000092,-0.474000565726
ACH-000095,-0.534814506611
ACH-000097,-0.434597264825
ACH-000098,-0.576666651466
ACH-000099,-0.603934707441
ACH-000108,-0.35755129701099997
ACH-000113,-0.51046817541
ACH-000115,-0.5154330555359999
ACH-000116,-0.655006557105
ACH-000118,-0.344716602663
ACH-000120,-0.554498255287
ACH-000123,-0.45340903007100003
ACH-000127,-0.453271633452
ACH-000128,-0.39186402173900003
ACH-000132,-0.582410764814
ACH-000133,-0.581279287689
ACH-000137,-0.442126974458
ACH-000138,-0.610798635556
ACH-000142,-0.288368123447
ACH-000143,-0.424221094624
ACH-000146,-0.35247031199600004
ACH-000148,-0.447119166829
ACH-000150,-0.39998189112099997
ACH-000152,-0.666809844063
ACH-000153,-0.0938296565863
ACH-000159,-0.5822919163520001
ACH-000160,-0.59240637205
ACH-000163,-0.40752616557300003
ACH-000167,-0.373582204824
ACH-000168,-0.377465346682
ACH-000169,-0.501459013198
ACH-000178,-0.518632460891
ACH-000182,-0.452481589454
ACH-000183,-0.293802888992
ACH-000188,-0.297587015063
ACH-000189,-0.0904003958048
ACH-000190,-0.130364341873
ACH-000198,-0.500137661824
ACH-000204,-0.442153626601
ACH-000206,-0.40418868841399996
ACH-000207,-0.537300566863
ACH-000211,-0.593493406995
ACH-000215,-0.453231204013
ACH-000221,-0.42097932241999997
ACH-000222,-0.562172985299
ACH-000223,-0.671086462617
ACH-000226,-0.365245027056
ACH-000227,-0.7264417183840001
ACH-000228,-0.501190725288
ACH-000231,-0.5611894696859999
ACH-000232,-0.39486194942100006
ACH-000233,-0.559239965858
ACH-000234,-0.305677911169
ACH-000235,-0.5304566593600001
ACH-000237,-0.221952928378
ACH-000238,-0.8241478758990001
ACH-000243,-0.622839863114
ACH-000244,-0.543510576811
ACH-000246,-0.478648457733
ACH-000248,-0.622862362482
ACH-000250,-0.5817256345790001
ACH-000251,-0.822562080109
ACH-000253,-0.390665669745
ACH-000255,-0.40242863033200005
ACH-000256,-0.5552009887330001
ACH-000257,-0.09566533869869999
ACH-000258,-0.543400023242
ACH-000259,-0.440374995849
ACH-000260,-0.40176787375
ACH-000261,-0.504902434502
ACH-000262,-0.21738752450399998
ACH-000263,-0.5561890569910001
ACH-000264,-0.5241206385189999
ACH-000265,-0.580778216786
ACH-000266,-0.608581199952
ACH-000272,-0.545858298649
ACH-000273,-0.432656543428
ACH-000274,-0.638382471678
ACH-000277,-0.6591480251640001
ACH-000278,-0.326484200503
ACH-000279,-0.406074289146
ACH-000280,-0.646439339254
ACH-000281,-0.5112782886420001
ACH-000288,-0.590181858857
ACH-000291,-0.383026884576
ACH-000293,-0.341913626513
ACH-000294,-0.492888674525
ACH-000295,-0.461271947342
ACH-000296,-0.525529139582
ACH-000302,-0.385894803433
ACH-000304,-0.485040340489
ACH-000307,-0.415710103354
ACH-000308,-0.524284531382
ACH-000310,-0.663196456958
ACH-000311,-0.425037680183
ACH-000312,-0.55020443501
ACH-000315,-0.40576582365999997
ACH-000316,-0.641371952253
ACH-000317,-0.579712645764
ACH-000318,-0.322909805534
ACH-000319,-0.37458136474299997
ACH-000320,-0.5663759075779999
ACH-000322,-0.446306214208
ACH-000323,-0.345315767279
ACH-000324,-0.581051119211
ACH-000329,-0.501540514668
ACH-000330,-0.326114538648
ACH-000331,-0.48821802777500006
ACH-000332,-0.520353253429
ACH-000334,0.20676056552000002
ACH-000335,-0.508649213901
ACH-000336,-0.0814841254455
ACH-000337,-0.28311066184300004
ACH-000339,-0.580750618196
ACH-000341,-0.506153130736
ACH-000348,-0.4294302239
ACH-000350,-0.365252400912
ACH-000352,-0.426826277679
ACH-000356,-0.665923953205
ACH-000361,-0.44762825435500003
ACH-000362,-0.353859761429
ACH-000363,-0.5949019634089999
ACH-000364,-0.297489157783
ACH-000365,-0.47348842517300005
ACH-000366,-0.43206607870700003
ACH-000368,-0.20759477247000002
ACH-000374,-0.556346641957
ACH-000375,-0.20217290424800002
ACH-000376,-0.36153406519500003
ACH-000381,-0.315500317755
ACH-000383,-0.49945032747100004
ACH-000387,-0.573053009478
ACH-000389,-0.41055939416299997
ACH-000390,-0.521459284369
ACH-000393,-0.195019381607
