,HELB (92797)
ACH-000004,0.0829576857058
ACH-000007,-0.423086505844
ACH-000009,-0.23415875591600002
ACH-000011,-0.0827517388521
ACH-000012,-0.107551393114
ACH-000013,-0.189851860841
ACH-000014,0.11273891469399999
ACH-000015,-0.172202262379
ACH-000017,-0.18088804815499998
ACH-000018,-0.277336540574
ACH-000019,0.0487889734634
ACH-000021,-0.0875457533734
ACH-000022,0.012401086914299999
ACH-000025,-0.23926906234
ACH-000028,-0.253043638488
ACH-000030,-0.213178985471
ACH-000035,-0.146481993748
ACH-000036,-0.20312907314
ACH-000037,0.109995599397
ACH-000039,0.105157237477
ACH-000040,-0.257996490895
ACH-000041,-0.09369865108410001
ACH-000042,-0.149218390861
ACH-000045,-0.0286754063106
ACH-000047,-0.057671663761099994
ACH-000052,-0.10621846724199999
ACH-000053,-0.06989873494110001
ACH-000054,-0.188416594282
ACH-000055,-0.051361304609699995
ACH-000060,-0.056422513108099995
ACH-000067,-0.268533881311
ACH-000070,-0.23864634791900002
ACH-000075,-0.254795336237
ACH-000078,-0.0399946721211
ACH-000082,-0.30163767997900004
ACH-000085,-0.212999729208
ACH-000086,-0.39470103615099994
ACH-000087,0.11221889727399999
ACH-000092,-0.278836212889
ACH-000095,-0.138889829343
ACH-000097,-0.15870631782199998
ACH-000098,-0.0167664892538
ACH-000099,-0.07858194776760001
ACH-000108,-0.0172446800878
ACH-000113,-0.109450775759
ACH-000115,-0.154134098277
ACH-000116,-0.0926159776472
ACH-000118,-0.206634464566
ACH-000120,-0.09982225597580001
ACH-000123,-0.11620860580499999
ACH-000127,-0.169289130976
ACH-000128,-0.250596021929
ACH-000132,-0.0275150929649
ACH-000133,-0.295494827036
ACH-000137,-0.045200028695800004
ACH-000138,-0.14396522183
ACH-000142,-0.260175621144
ACH-000143,0.11675731380999999
ACH-000146,-0.0907466159816
ACH-000148,-0.0798501122392
ACH-000150,-0.24930439399999998
ACH-000152,-0.23616892137200002
ACH-000153,-0.324329723479
ACH-000159,-0.105566182427
ACH-000160,-0.178997210336
ACH-000163,-0.21789981046999998
ACH-000167,-0.0792873173718
ACH-000168,-0.11900602443700001
ACH-000169,-0.12444965467599998
ACH-000178,-0.19049762346299998
ACH-000182,-0.34284431235699997
ACH-000183,-0.37572289756899996
ACH-000188,-0.258401024077
ACH-000189,-0.174424506967
ACH-000190,-0.197800014622
ACH-000198,-0.0844340386586
ACH-000204,0.228756992402
ACH-000206,-0.233777740956
ACH-000207,-0.21857856491
ACH-000211,-0.109655555382
ACH-000215,-0.107575977039
ACH-000221,-0.172930092395
ACH-000222,-0.30838168716
ACH-000223,-0.21622513791099998
ACH-000226,-0.174543747348
ACH-000227,-0.446158510673
ACH-000228,-0.04851854032
ACH-000231,-0.105475173853
ACH-000232,-0.250283675182
ACH-000233,-0.115836551525
ACH-000234,-0.182777691488
ACH-000235,-0.271166285805
ACH-000237,-0.260155997189
ACH-000238,-0.187276051043
ACH-000243,-0.11535582119799999
ACH-000244,-0.337305493573
ACH-000246,-0.20585008560899998
ACH-000248,-0.21011020237199998
ACH-000250,-0.120670063963
ACH-000251,-0.0169643612145
ACH-000253,-0.0666058441213
