,TACC2 (10579)
ACH-000004,-0.146423108266
ACH-000007,-0.0775934527658
ACH-000009,-0.238122743286
ACH-000011,-0.181843795414
ACH-000012,-0.154542640774
ACH-000013,-0.116271911117
ACH-000014,-0.0178633275625
ACH-000015,-0.136917329649
ACH-000017,-0.0996624538079
ACH-000018,-0.0391127674711
ACH-000019,0.10898788003599999
ACH-000021,0.07339828993
ACH-000022,0.0476930871715
ACH-000025,-0.061504925959800005
ACH-000028,0.12113205490599999
ACH-000030,-0.0860180422255
ACH-000035,-0.0936491068393
ACH-000036,-0.0726939020555
ACH-000037,-0.278154513884
ACH-000039,0.0660317842774
ACH-000040,0.11073174865299999
ACH-000041,-0.168315249989
ACH-000042,-0.163729333319
ACH-000045,-0.0905101881478
ACH-000047,-0.0410150385039
ACH-000052,-0.211614425683
ACH-000053,-0.05094584194619999
ACH-000054,0.0115251961129
ACH-000055,0.138173790779
ACH-000060,-0.147502424778
ACH-000067,-0.184485229329
ACH-000070,-0.139217646165
ACH-000075,-0.38025244560800003
ACH-000078,-0.018148396315599998
ACH-000082,0.110246190236
ACH-000085,-0.239280168308
ACH-000086,-0.0329858796495
ACH-000087,-0.291115332366
ACH-000092,0.00974475144895
ACH-000095,-0.0770367951424
ACH-000097,-0.06894276968610001
ACH-000098,-0.0366322659456
ACH-000099,-0.123442127029
ACH-000108,-0.0791343673905
ACH-000113,0.046969831962000004
ACH-000115,-0.102393305307
ACH-000116,-0.0629930652044
ACH-000118,-0.022754259473999998
ACH-000120,0.00460282904808
ACH-000123,0.0679649206718
ACH-000127,-0.05442063141509999
ACH-000128,-0.0606969626229
ACH-000132,-0.042595567794000005
ACH-000133,-0.0478292014776
ACH-000137,-0.00601952954106
ACH-000138,-0.09978489390249999
ACH-000142,-0.28583588837499996
ACH-000143,0.199065725016
ACH-000146,-0.0449802962404
ACH-000148,-0.09711269002049999
ACH-000150,-0.09166025736839999
ACH-000152,-0.115360546514
ACH-000153,0.144004486576
ACH-000159,-0.244777599449
ACH-000160,-0.25900662546799996
ACH-000163,-0.125411699977
ACH-000167,0.00925328930012
ACH-000168,0.09446332431669999
ACH-000169,-0.144986419115
ACH-000178,-0.0756694314213
ACH-000182,-0.13186555626399998
ACH-000183,0.0113135035654
ACH-000188,-0.206557272104
ACH-000189,-0.270079692971
ACH-000190,-0.0764604814219
ACH-000198,-0.122096565725
ACH-000204,0.147861331462
ACH-000206,-0.09118716197360001
ACH-000207,-0.260235170626
ACH-000211,-0.127248893171
ACH-000215,-0.125170224271
ACH-000221,0.056420552921000004
ACH-000222,-0.232810772595
ACH-000223,-0.09191613631110002
ACH-000226,0.0728467176184
ACH-000227,-0.181995794684
ACH-000228,-0.12082919845899999
ACH-000231,-0.119961881586
ACH-000232,-0.056974792002699996
ACH-000233,-0.25915086827
ACH-000234,-0.08315841415910001
ACH-000235,-0.0832370470757
ACH-000237,-0.141412083749
ACH-000238,-0.0841672760244
ACH-000243,-0.008739047496579999
ACH-000244,0.00712798451155
ACH-000246,-0.17371241094300002
ACH-000248,-0.253660534683
ACH-000250,-0.06964015929310001
ACH-000251,0.0480590617164
ACH-000253,-0.147777055893
ACH-000255,-0.156348864089
ACH-000256,-0.21740521254
ACH-000257,-0.33757625543700004
ACH-000258,0.25524128284
ACH-000259,-0.0804235654284
ACH-000260,-0.064765865609
ACH-000261,-0.020546993732099998
ACH-000262,-0.279190323356
ACH-000263,-0.0239705546185
ACH-000264,-0.0076094301393
ACH-000265,-0.023850456596499998
ACH-000266,-0.0550907913745
ACH-000272,-0.252880124167
ACH-000273,-0.16134197681
ACH-000274,-0.129046798856
ACH-000277,-0.202010617009
