,DCLRE1B (64858)
ACH-000004,-0.490656876413
ACH-000007,-1.1987360812299999
ACH-000009,-0.7128753804539999
ACH-000011,-1.5207874567500002
ACH-000012,-0.8372634351680001
ACH-000013,-0.771302058827
ACH-000014,-1.4614117093099999
ACH-000015,-0.985622202599
ACH-000017,-0.54573887046
ACH-000018,-0.384327715588
ACH-000019,-1.13123165083
ACH-000021,-0.652778216399
ACH-000022,-1.60594038651
ACH-000025,-0.733950681663
ACH-000028,-1.0639250845700001
ACH-000030,-1.56959501299
ACH-000035,-1.0561276395
ACH-000036,-1.58556806868
ACH-000037,-0.902803766375
ACH-000039,-0.70693221933
ACH-000040,-1.0427419812799998
ACH-000041,-0.7660016924490001
ACH-000042,-0.583148933161
ACH-000045,-0.989451839668
ACH-000047,-0.440594579991
ACH-000052,-0.9430846658769999
ACH-000053,-0.408867695063
ACH-000054,-1.04369518831
ACH-000055,-0.852105023363
ACH-000060,-1.00953296381
ACH-000067,-1.04849429511
ACH-000070,-1.02250695442
ACH-000075,-1.2811570248
ACH-000078,-1.12620015998
ACH-000082,-1.21397461907
ACH-000085,-0.629032612562
ACH-000086,-0.7510738550689999
ACH-000087,-0.7538746916399999
ACH-000092,-0.975605700804
ACH-000095,-1.25348618579
ACH-000097,-0.8528688088040001
ACH-000098,-0.932681992384
ACH-000099,-1.4422435581600002
ACH-000108,-1.3761445234099998
ACH-000113,-0.664390209687
ACH-000115,-0.366454858612
ACH-000116,-0.684296237737
ACH-000118,-1.02052800411
ACH-000120,-1.0882772239899998
ACH-000123,-1.2497201995
ACH-000127,-0.692894273845
ACH-000128,-0.528904198617
ACH-000132,-1.15055749764
ACH-000133,-1.4510162104299997
ACH-000137,-0.67518058133
ACH-000138,-1.26720285697
ACH-000142,-0.707185635677
ACH-000143,-0.6757108784129999
ACH-000146,-0.575901323553
ACH-000148,-1.14794291981
ACH-000150,-0.441514700193
ACH-000152,-1.1774147591500002
ACH-000153,-0.758876445608
ACH-000159,-0.951175530864
ACH-000160,-0.229297815611
ACH-000163,-0.611022212209
ACH-000167,-0.951171638847
ACH-000168,-0.590193102843
ACH-000169,-0.669561005223
ACH-000178,-0.863690781515
ACH-000182,-0.607756985195
ACH-000183,-0.342067100467
ACH-000188,-1.3348418188200002
ACH-000189,-0.784975755168
ACH-000190,-1.22221633458
ACH-000198,-0.870454313499
ACH-000204,-0.901311904552
ACH-000206,-0.9249173403350001
ACH-000207,-0.9819258881190001
ACH-000211,-0.595238399229
ACH-000215,-0.9182682588169999
ACH-000221,-1.14949474632
ACH-000222,-0.8571095185340001
ACH-000223,-0.661279545132
ACH-000226,-1.00594001473
ACH-000227,-1.04512697566
ACH-000228,-1.48760989371
ACH-000231,-1.0489723815799998
ACH-000232,-0.8621996965700001
ACH-000233,-0.5295531879959999
ACH-000234,-0.9589080235340001
ACH-000235,-0.84740905631
ACH-000237,-0.9594760827140001
ACH-000238,-0.7641999469499999
ACH-000243,-0.870551607263
ACH-000244,-1.11343653327
ACH-000246,-0.979696178114
ACH-000248,-0.737079689296
ACH-000250,-0.8923831387360001
ACH-000251,-1.4683121984
ACH-000253,-0.632944238011
ACH-000255,-0.614413877585
ACH-000256,-0.999521057033
ACH-000257,-0.767196664029
ACH-000258,-0.8614517616700001
ACH-000259,-1.12297663142
ACH-000260,-1.27838095537
ACH-000261,-0.873531228421
ACH-000262,-0.868154664454
ACH-000263,-0.40858069684299997
ACH-000264,-1.0150681425
ACH-000265,-0.7612220627959999
ACH-000266,-1.4811339433000001
ACH-000272,-0.8867237736839999
ACH-000273,-1.0814909246700002
ACH-000274,-1.06319437799
ACH-000277,-0.6780690740459999
ACH-000278,-0.818422448959
ACH-000279,-1.03030648196
ACH-000280,-0.569095714361
ACH-000281,-1.1942738109200002
ACH-000288,-0.896995646323
