,CNEP1R1 (255919)
ACH-000004,-0.29062967665999995
ACH-000007,-0.050410733194500006
ACH-000009,-0.320014827345
ACH-000011,-0.184131508127
ACH-000012,-0.257091930664
ACH-000013,-0.323013175554
ACH-000014,-0.593577050113
ACH-000015,-0.18223563377500002
ACH-000017,-0.542522129273
ACH-000018,-0.45207717916
ACH-000019,-0.35466368314400004
ACH-000021,-0.50320073961
ACH-000022,-0.08263767780419999
ACH-000025,0.209257487725
ACH-000028,-0.126398666072
ACH-000030,-0.364198699089
ACH-000035,-0.37302910915700005
ACH-000036,-0.603627407363
ACH-000037,-0.41669139612499995
ACH-000039,-0.565136908207
ACH-000040,-0.0651190095574
ACH-000041,-0.454193713908
ACH-000042,-0.196495384384
ACH-000045,-0.648066273159
ACH-000047,-0.15330495925999998
ACH-000052,-0.343660043423
ACH-000053,-0.128875426953
ACH-000054,-0.345450768864
ACH-000055,-0.115239904397
ACH-000060,-0.207252691632
ACH-000067,-1.0665413567
ACH-000070,-0.24803707225299998
ACH-000075,-0.410552342702
ACH-000078,0.06038042024
ACH-000082,-0.36602927671400004
ACH-000085,-0.215655623626
ACH-000086,-0.242836426181
ACH-000087,-0.484667790295
ACH-000092,-0.243754113349
ACH-000095,-0.0364445264855
ACH-000097,-0.284785971021
ACH-000098,-0.5393738195800001
ACH-000099,-0.0327592724803
ACH-000108,-0.207742972657
ACH-000113,-0.22647014621300002
ACH-000115,-0.09862565456700001
ACH-000116,-0.20921204378
ACH-000118,-0.294730270575
ACH-000120,-0.384716817372
ACH-000123,-0.34720836258599996
ACH-000127,-0.119093503686
ACH-000128,-0.592258888636
ACH-000132,-0.189852646356
ACH-000133,-0.404498874196
ACH-000137,-0.213050899834
ACH-000138,-0.119997478145
ACH-000142,-0.713473272331
ACH-000143,-0.39717939681599995
ACH-000146,-0.831095945199
ACH-000148,-0.390055580151
ACH-000150,-0.458934169905
ACH-000152,-0.665940002219
ACH-000153,-0.22553657088399998
ACH-000159,-0.205432438317
ACH-000160,-0.0792020731292
ACH-000163,-0.522661053618
ACH-000167,-0.450297572676
ACH-000168,-0.407763080246
ACH-000169,-0.38985823317400004
ACH-000178,-0.45461042152500003
ACH-000182,-0.36534587545999997
ACH-000183,-0.530141570034
ACH-000188,-0.382514694954
ACH-000189,-0.178423859151
ACH-000190,-0.19278246388
ACH-000198,-0.257581186367
ACH-000204,-0.40728772816200004
ACH-000206,-0.475662212773
ACH-000207,0.0979245918338
ACH-000211,-0.0530395114372
ACH-000215,-0.448765867822
ACH-000221,-0.0112705955752
ACH-000222,0.009529702736049998
ACH-000223,-0.147335869147
ACH-000226,-0.19097289590799998
ACH-000227,-0.37320725288900003
ACH-000228,-0.434164411091
ACH-000231,-0.34114905810999996
ACH-000232,0.004650348779770001
ACH-000233,-0.0242911357639
ACH-000234,0.027218523598
ACH-000235,-0.35573736259800004
ACH-000237,-0.759056617516
ACH-000238,-0.20578460583900002
ACH-000243,-0.172442944032
ACH-000244,-0.672502502992
ACH-000246,-0.037180147272900005
ACH-000248,-0.544857692571
ACH-000250,-0.0277318047242
ACH-000251,-0.202394971325
ACH-000253,0.16124830572999999
ACH-000255,-0.0747227083853
ACH-000256,-0.31575610336
ACH-000257,-0.16997532994000003
ACH-000258,-0.47221699629299996
ACH-000259,0.00908149268673
ACH-000260,-0.09365617271400001
ACH-000261,-0.351081408495
ACH-000262,-0.30289781267099997
ACH-000263,-0.07099437451169999
ACH-000264,-0.08690163329469999
ACH-000265,-0.20486914528499997
ACH-000266,-0.209498585279
ACH-000272,-0.084871443903
ACH-000273,0.0374579161581
ACH-000274,-0.06365636784
ACH-000277,-0.41166882927799997
ACH-000278,-0.30603247898200003
ACH-000279,-0.182638691657
ACH-000280,-0.342482912977
ACH-000281,-0.696079832038
ACH-000288,-0.36423539897
ACH-000291,-0.270540792075
ACH-000293,-0.589943211567
ACH-000294,-0.5703703316759999
ACH-000295,-0.132961829925
ACH-000296,-0.188591462744
ACH-000302,-0.024321892800099998
ACH-000304,0.0141723288188
ACH-000307,-0.153935138593
ACH-000308,-0.12309572629799999
ACH-000310,-0.30555111516100003
ACH-000311,-0.23110540592099998
ACH-000312,0.014526190317799998
ACH-000315,-0.480572066281
ACH-000316,-0.607957159265
ACH-000317,-0.186864872154
ACH-000318,-0.29329406213000003
ACH-000319,-0.907574737477
ACH-000320,-0.0696414990978
ACH-000322,-0.281420762491
ACH-000323,-0.841077808806
ACH-000324,-0.16695631585
ACH-000329,-0.435636211656
ACH-000330,-0.0804230482129
ACH-000331,-0.09391081348960001
ACH-000332,-0.0461544475552
ACH-000334,-0.029121170699299998
ACH-000335,-0.529722418569
ACH-000336,-0.27657475892
ACH-000337,-0.24115491008099998
ACH-000339,-0.7214386135330001
ACH-000341,-0.134630497301
ACH-000348,-0.290358638062
ACH-000350,-0.140928439366
ACH-000352,-0.12262451615100001
ACH-000356,-0.238336656897
ACH-000361,-0.34798898294299996
ACH-000362,-0.6613290261320001
ACH-000363,-0.014538605396100001
ACH-000364,-0.224762035222
ACH-000365,-0.151606522612
ACH-000366,0.023423058019500002
ACH-000368,-0.656688360051
ACH-000374,-0.32008720563
ACH-000375,-0.24763910250799998
ACH-000376,-0.365058035582
ACH-000381,0.0689716611081
ACH-000383,-0.280567305589
ACH-000387,-0.627835005331
ACH-000389,-0.338374627004
ACH-000390,-0.13322896016
ACH-000393,-0.247121766329
ACH-000395,-0.118438633005
ACH-000397,-0.514688424304
ACH-000401,-0.31122491131200003
ACH-000402,-0.6224185798699999
ACH-000403,-0.119218062567
ACH-000404,-0.433798121756
ACH-000406,-0.14509385747300002
ACH-000407,-0.241136441592
ACH-000408,-0.324190930531
ACH-000410,-0.524386673605
ACH-000411,-0.0625334260101
ACH-000414,0.0415329114547
ACH-000415,-0.292704193526
