,SECISBP2L (9728)
ACH-000004,-0.21736142799199998
ACH-000007,-0.22277392770799997
ACH-000009,-0.156705953748
ACH-000011,-0.10493188873400001
ACH-000012,-0.40216218466799997
ACH-000013,-0.240860184957
ACH-000014,-0.26505525621599996
ACH-000015,-0.201745076277
ACH-000017,-0.352353048101
ACH-000018,-0.37070763506
ACH-000019,-0.0252701316712
ACH-000021,-0.15432951101
ACH-000022,-0.10491520353499999
ACH-000025,-0.404038810001
ACH-000028,-0.22266909060400003
ACH-000030,-0.120109089793
ACH-000035,-0.30895497159699997
ACH-000036,-0.22633783993099998
ACH-000037,-0.0212116222631
ACH-000039,-0.23378828447099997
ACH-000040,-0.261602491431
ACH-000041,-0.171118155926
ACH-000042,-0.20638516590300002
ACH-000045,-0.319660023416
ACH-000047,-0.258531742147
ACH-000052,-0.23291203871
ACH-000053,-0.28346166486900004
ACH-000054,-0.199367940389
ACH-000055,-0.40559427018399996
ACH-000060,0.132423077641
ACH-000067,-0.289471310471
ACH-000070,-0.08347788645569999
ACH-000075,-0.21362405350400002
ACH-000078,-0.324145260366
ACH-000082,-0.12316340269500001
ACH-000085,0.030531308616499997
ACH-000086,-0.293501921201
ACH-000087,-0.34789331229000003
ACH-000092,-0.607208764962
ACH-000095,-0.138383177277
ACH-000097,-0.201404199648
ACH-000098,-0.275660859466
ACH-000099,-0.379921731004
ACH-000108,-0.34761470401100003
ACH-000113,-0.144091388117
ACH-000115,-0.20694477070099998
ACH-000116,-0.383859780719
ACH-000118,-0.228364738045
ACH-000120,-0.507944199922
ACH-000123,-0.26971846874600003
ACH-000127,-0.200408674974
ACH-000128,-0.225496859494
ACH-000132,-0.48025714771300004
ACH-000133,-0.0672604159166
ACH-000137,-0.20152486396699998
ACH-000138,0.0082839612866
ACH-000142,-0.11672508453199999
ACH-000143,-0.0201420150655
ACH-000146,-0.290675086578
ACH-000148,-0.313140040235
ACH-000150,-0.179960556828
ACH-000152,-0.37856951373400005
ACH-000153,-0.10807391636
ACH-000159,-0.113147218525
ACH-000160,-0.33059641005
ACH-000163,-0.23209895656399998
ACH-000167,-0.305961166355
ACH-000168,-0.10486552680099999
ACH-000169,-0.028634901139500003
ACH-000178,-0.147340373605
ACH-000182,-0.13891953845899999
ACH-000183,-0.16007055755000002
ACH-000188,-0.186075769577
ACH-000189,-0.411547133234
ACH-000190,-0.400420446429
ACH-000198,-0.252772199191
ACH-000204,-0.226398822836
ACH-000206,-0.258314865115
ACH-000207,-0.178778062291
ACH-000211,-0.11547031969499999
