,RRAS (6237)
ACH-000004,-0.224230947512
ACH-000007,-0.047561904357
ACH-000009,0.0252475939163
ACH-000011,-0.012895988235299999
ACH-000012,-0.373758177454
ACH-000013,-0.175775948561
ACH-000014,-0.21769185779800002
ACH-000015,-0.213308443861
ACH-000017,-0.042504821894
ACH-000018,0.129370443806
ACH-000019,0.0935463603641
ACH-000021,-0.09234604499839999
ACH-000022,-0.116517114078
ACH-000025,0.0395910746739
ACH-000028,-0.184598934804
ACH-000030,-0.024250749407
ACH-000035,-0.12121804799000001
ACH-000036,-0.12252913623400001
ACH-000037,-0.24330580561299997
ACH-000039,-0.0958322336386
ACH-000040,-0.0467398800337
ACH-000041,-0.0854191798934
ACH-000042,-0.068720498011
ACH-000045,-0.127916268311
ACH-000047,0.15657626011
ACH-000052,-0.0885496649415
ACH-000053,-0.135595716649
ACH-000054,-0.0366235219302
ACH-000055,-0.264331170397
ACH-000060,-0.100260212619
ACH-000067,-0.22715513992800002
ACH-000070,-0.21895737125999998
ACH-000075,-0.13403658295499998
ACH-000078,-0.144473066375
ACH-000082,-0.047326565586800005
ACH-000085,-0.011537557642099999
ACH-000086,-0.129645096708
ACH-000087,-0.180664954076
ACH-000092,-0.22399761535
ACH-000095,-0.24937524385600002
ACH-000097,-0.0357301292292
ACH-000098,-0.284268489014
ACH-000099,-0.198402355341
ACH-000108,-0.063338839757
ACH-000113,-0.196007882324
ACH-000115,0.17278251335
ACH-000116,-0.0669153985836
ACH-000118,-0.0645269840679
ACH-000120,-0.199137522894
ACH-000123,-0.0746891210045
ACH-000127,-0.120229341086
ACH-000128,-0.12866751341399998
ACH-000132,-0.332418967867
ACH-000133,-0.23792031640900002
ACH-000137,0.070237128631
ACH-000138,-0.109053919811
ACH-000142,-0.316751377134
ACH-000143,-0.0124593750253
ACH-000146,-0.203833798497
ACH-000148,0.03969978509119999
ACH-000150,-0.117905881331
ACH-000152,-0.320250906852
ACH-000153,0.0473380596031
ACH-000159,-0.137362863693
ACH-000160,-0.0997278780618
ACH-000163,-0.18709042128199999
ACH-000167,-0.138596652933
ACH-000168,-0.0638816249602
ACH-000169,-0.273269131435
ACH-000178,0.027643771384
ACH-000182,-0.12669794952299998
ACH-000183,-0.134674675295
ACH-000188,-0.0587771033299
ACH-000189,-0.280308516105
ACH-000190,-0.249015452029
ACH-000198,-0.245240303523
ACH-000204,-0.47084764105099997
ACH-000206,-0.18254179109000002
ACH-000207,-0.35987313775700003
ACH-000211,-0.128544592938
ACH-000215,-0.0703842275856
ACH-000221,0.121722859857
ACH-000222,-0.048269796088699995
ACH-000223,-0.00935977665729
ACH-000226,-0.0984338647505
ACH-000227,0.24458778322299998
ACH-000228,-0.202447376605
ACH-000231,-0.126368577121
ACH-000232,-0.182394420437
ACH-000233,-0.21516677480500002
ACH-000234,-0.393473398252
ACH-000235,-0.101543091943
ACH-000237,-0.179293545513
ACH-000238,0.125619681481
ACH-000243,-0.05275004830609999
ACH-000244,-0.306032106262
ACH-000246,-0.132495649443
ACH-000248,0.039666153028
ACH-000250,-0.19941058860199998
ACH-000251,0.105906664892
ACH-000253,-0.24629041767499998
ACH-000255,-0.119321127188
ACH-000256,-0.0407787585558
ACH-000257,-0.243490442283
ACH-000258,0.482889720167
ACH-000259,-0.114505715299
ACH-000260,-0.129116860085
ACH-000261,-0.187140996058
ACH-000262,-0.390001207905
ACH-000263,-0.15838273523600002
ACH-000264,-0.0870989820593
ACH-000265,-0.09741527153860001
ACH-000266,-0.0951065240952
ACH-000272,-0.102197219663
ACH-000273,-0.276366850033
ACH-000274,-0.23678114321899998
ACH-000277,-0.03931368787
ACH-000278,-0.20933700454100002
ACH-000279,-0.0142271342099
ACH-000280,-0.193198261987
ACH-000281,0.13884601259999999
ACH-000288,-0.045132866051900006
ACH-000291,-0.279106004491
ACH-000293,-0.159711515361
ACH-000294,-0.039991897746199996
ACH-000295,-0.00558923037978
ACH-000296,-0.151729383034
ACH-000302,-0.220264730951
ACH-000304,-0.502829577264
ACH-000307,-0.0862637116687
ACH-000308,-0.148842203314
ACH-000310,-0.313318938076
ACH-000311,-0.19365346204199999
ACH-000312,-0.0703056208136
ACH-000315,-0.0189985333918
ACH-000316,-0.0154508148599
ACH-000317,-0.13927048164300002
ACH-000318,-0.200508828428
ACH-000319,-0.195816765645
ACH-000320,0.218489551354
ACH-000322,-0.05900924489730001
ACH-000323,-0.210478137046
ACH-000324,-0.271346968964
ACH-000329,-0.253646485475
ACH-000330,-0.156765601273
ACH-000331,-0.0417185459898
ACH-000332,-0.0589232662495
ACH-000334,-0.18579681665699999
ACH-000335,-0.37267626107100005
ACH-000336,-0.39636411601099997
ACH-000337,0.198225942824
ACH-000339,-0.131595605899
ACH-000341,-0.515986624642
ACH-000348,-0.231313234142
ACH-000350,-0.0032608571860700004
ACH-000352,0.00679580907108
ACH-000356,0.0914299960548
ACH-000361,-0.0904128274089
ACH-000362,-0.266074469077
ACH-000363,-0.11906895474700001
ACH-000364,-0.0810772767107
ACH-000365,-0.07265422022639999
ACH-000366,-0.219621204591
ACH-000368,-0.05565825937609999
ACH-000374,0.0428334554205
ACH-000375,-0.0212807425713
ACH-000376,-0.10811187509800001
ACH-000381,-0.0732739352587
ACH-000383,-0.281989482081
ACH-000387,-0.059954894894500003
ACH-000389,-0.334512397559
ACH-000390,-0.0461936745134
ACH-000393,0.056245616036800006
ACH-000395,-0.362551462724
ACH-000397,-0.07821781801489999
ACH-000401,-0.12306455454500001
ACH-000402,-0.5375465058569999
ACH-000403,-0.248420362072
ACH-000404,-0.101258995704
ACH-000406,-0.0146492681559
ACH-000407,-0.131508944749
ACH-000408,0.0597540008376
ACH-000410,-0.346047085629
ACH-000411,-0.055708719072400006
ACH-000414,-0.152615662005
ACH-000415,-0.0842815471078
ACH-000416,-0.111877030896
ACH-000420,-0.0433022765922
ACH-000421,-0.040990193464800005
ACH-000424,0.0226240089188
ACH-000425,-0.0147357489605
ACH-000426,-0.0908423285598
ACH-000427,-0.272023654962
ACH-000433,-0.41034325894100004
ACH-000436,-0.212903631167
ACH-000444,-0.007865734412720001
ACH-000445,-0.058262434918999996
ACH-000448,-0.17674358688499997
ACH-000450,-0.0576324540701
ACH-000452,-0.272196052538
ACH-000454,-0.215436937597
ACH-000458,-0.211476177529
ACH-000459,-0.200894045281
ACH-000460,-0.151988233753
ACH-000461,-0.08455816775969999
ACH-000463,-0.09077143757369999
ACH-000464,0.17385175305199999
ACH-000466,-0.20015470997499998
ACH-000467,-0.312426393886
ACH-000468,-0.0917643843306
ACH-000469,-0.188687387883
ACH-000470,-0.0870205171175
ACH-000471,-0.33569454763800005
ACH-000472,-0.18229878417599998
ACH-000473,-0.235078250424
ACH-000475,-0.09766717362119999
ACH-000476,-0.247781534525
ACH-000477,-0.38895092541599996
ACH-000480,-0.228759027343
ACH-000481,-0.252418622643
ACH-000483,-0.400814730321
ACH-000484,0.0816040258712
ACH-000485,-0.383825314952
ACH-000486,-0.10839890670800001
ACH-000487,-0.162548836863
