,ADNP (23394)
ACH-000004,-0.347952237778
ACH-000007,-0.867668054614
ACH-000009,-0.581670619631
ACH-000011,-1.13064060342
ACH-000012,-0.10155827011600001
ACH-000013,-0.745700647051
ACH-000014,-0.9053377209819999
ACH-000015,-0.585374137918
ACH-000017,-0.8341645889839999
ACH-000018,-0.482036149983
ACH-000019,-0.933989889246
ACH-000021,-0.75926635347
ACH-000022,-0.43127509449100004
ACH-000025,-0.164710176102
ACH-000028,-0.747709810316
ACH-000030,-0.539126862126
ACH-000035,-0.477771578781
ACH-000036,-0.06023019532480001
ACH-000037,-0.590206074381
ACH-000039,-0.09540029483719999
ACH-000040,-0.641391806655
ACH-000041,-0.621965057211
ACH-000042,-0.783002703328
ACH-000045,-0.47762528021399997
ACH-000047,-0.549305924927
ACH-000052,-0.46375436173699996
ACH-000053,-0.18696981078299998
ACH-000054,-0.35777761331600005
ACH-000055,-0.688871482466
ACH-000060,-0.181706216293
ACH-000067,-0.27261698116
ACH-000070,-0.524646407301
ACH-000075,-0.490396414421
ACH-000078,-0.29570998694
ACH-000082,-0.42053826387800003
ACH-000085,-0.728937830349
ACH-000086,-0.46694079353900003
ACH-000087,-0.275214004315
ACH-000092,-0.32681949369
ACH-000095,-0.24546492720899998
ACH-000097,-0.767732560332
ACH-000098,-0.13537497694800002
ACH-000099,-0.551358041498
ACH-000108,-0.38090505278000003
ACH-000113,-0.610435779904
ACH-000115,-1.02065415559
ACH-000116,-0.511138926677
ACH-000118,-0.506123378913
ACH-000120,-0.16614549837200002
ACH-000123,-0.810931491135
ACH-000127,-0.5019241951919999
ACH-000128,-0.554571365377
ACH-000132,-0.142252881509
ACH-000133,-0.473329823647
ACH-000137,-0.22304326122600002
ACH-000138,-0.34311308025
ACH-000142,-0.431248267919
ACH-000143,-0.442200846929
ACH-000146,-0.420682416025
ACH-000148,-0.681178738952
ACH-000150,-0.43933983520000003
ACH-000152,-0.445738638818
ACH-000153,-0.659422437974
ACH-000159,-0.782430138434
ACH-000160,-0.40710557770000005
ACH-000163,-0.696805186174
ACH-000167,-0.208702829172
ACH-000168,-0.126201037254
ACH-000169,-0.503156319562
ACH-000178,-0.698156971952
ACH-000182,-0.43936647178300003
ACH-000183,-0.27273283197
ACH-000188,-0.292229982221
ACH-000189,-0.311662891309
ACH-000190,-0.602167851568
ACH-000198,-0.7284914813940001
ACH-000204,-0.5794987509699999
ACH-000206,-0.603379556121
ACH-000207,-0.548560259323
ACH-000211,-0.37347780180600004
ACH-000215,-0.290817719113
ACH-000221,-0.619828811615
ACH-000222,-0.871899244561
ACH-000223,-0.5224462179899999
ACH-000226,-0.150309539845
ACH-000227,-0.499592389401
ACH-000228,-0.465580861236
ACH-000231,-0.450815003728
ACH-000232,-0.49940990498000004
ACH-000233,-0.100471072308
ACH-000234,-0.546293792096
ACH-000235,-0.456247858463
ACH-000237,-0.34120838572400003
ACH-000238,-0.554173773677
ACH-000243,-0.609825645732
ACH-000244,-0.537147496934
ACH-000246,-0.9530675225849999
ACH-000248,-0.784954150476
ACH-000250,-0.31924778773400003
ACH-000251,-0.357878913329
ACH-000253,-0.796712391369
ACH-000255,-0.247141624333
ACH-000256,-0.636809169874
ACH-000257,0.19039488062100002
ACH-000258,-0.654869752319
ACH-000259,-1.0562357449200002
ACH-000260,-0.6319923897899999
ACH-000261,-0.612232007778
ACH-000262,-0.272037907505
ACH-000263,-0.32461395864500003
ACH-000264,-0.490908494373
ACH-000265,-0.31000873931999995
ACH-000266,-0.5332819789769999
ACH-000272,-0.600192735429
ACH-000273,-0.29384926740899997
ACH-000274,-0.8302429516050001
ACH-000277,-0.862789887764
ACH-000278,-0.150853492335
ACH-000279,-0.625523265983
ACH-000280,-0.620129388548
ACH-000281,-0.7855774064129999
ACH-000288,-0.270175169793
ACH-000291,-1.03285248328
ACH-000293,-0.213884472872
ACH-000294,-0.260084999972
ACH-000295,-0.417155382046
ACH-000296,-0.6094241810109999
ACH-000302,-0.5104447317440001
ACH-000304,-0.7425840926899999
ACH-000307,-0.7705208156899999
ACH-000308,-0.761004133653
ACH-000310,-0.313499332519
ACH-000311,-0.477062774122
ACH-000312,-0.47744551047399997
ACH-000315,-0.783843249011
ACH-000316,-0.103219087647
ACH-000317,-0.497970597518
ACH-000318,-0.455866106721
ACH-000319,-0.42964518786899997
ACH-000320,-0.758698355513
ACH-000322,-0.91839248588
ACH-000323,-0.758953603001
ACH-000324,-0.5539480539399999
ACH-000329,-0.299351586893
ACH-000330,-0.602824586081
ACH-000331,-0.49394510718
ACH-000332,-0.40490061920000003
ACH-000334,-0.202806988429
ACH-000335,-0.37458483884000005
ACH-000336,-0.917722819864
ACH-000337,-0.25263621749299997
ACH-000339,-0.163414185224
ACH-000341,-0.745176686528
ACH-000348,-0.430160633407
ACH-000350,-0.883820753211
ACH-000352,-0.934589582238
ACH-000356,-0.266947208656
ACH-000361,-0.4357871776899999
ACH-000362,-0.4488994555
ACH-000363,-0.291825785136
ACH-000364,-0.36080509019699997
ACH-000365,-0.474493942955
ACH-000366,-0.390766876212
ACH-000368,-0.45841253812
ACH-000374,-0.417883147553
ACH-000375,-0.58512326345
ACH-000376,-0.927594490879
ACH-000381,-0.286268015572
ACH-000383,-0.643779628931
ACH-000387,-0.945522715804
ACH-000389,-0.844563601426
ACH-000390,-0.748601773453
ACH-000393,-0.539315642329
ACH-000395,-0.8881860741390001
ACH-000397,-0.724223369323
ACH-000401,-0.577775349857
ACH-000402,-0.768285794085
ACH-000403,-0.705345548114
ACH-000404,-0.5680362275699999
ACH-000406,-0.34845904670999994
ACH-000407,-0.488519162666
ACH-000408,-0.582908911497
ACH-000410,-0.692956479227
ACH-000411,-0.393403324059
ACH-000414,-0.5756113824319999
ACH-000415,-0.344768290528
ACH-000416,-0.258296189425
ACH-000420,-0.6089158889630001
ACH-000421,-0.383459289172
ACH-000424,-0.412852742605
ACH-000425,-0.859129350222
ACH-000426,-0.38694681149099996
ACH-000427,-0.528956128553
ACH-000433,-0.631566913421
ACH-000436,-0.38192123375200004
ACH-000444,-0.332388026392
ACH-000445,-0.207774050746
ACH-000448,-0.265421554123
ACH-000450,-0.922229035619
ACH-000452,-0.34735332598700003
ACH-000454,0.031474150461300004
ACH-000458,-0.179555533189
ACH-000459,-0.6341925197630001
ACH-000460,-0.7680670520659999
ACH-000461,-0.327880662058
ACH-000463,-0.6825704803589999
ACH-000464,-0.663616882058
ACH-000466,-0.42204182650899996
ACH-000467,-0.545118693104
ACH-000468,-0.201459145907
ACH-000469,-0.396030574012
ACH-000470,-0.31659968646
ACH-000471,-0.401502303217
ACH-000472,-0.533397730111
ACH-000473,-0.54941586732
ACH-000475,-0.353102388173
ACH-000476,-0.69198972043
ACH-000477,-0.690163405389
ACH-000480,-0.336034014718
ACH-000481,-0.6762859607739999
ACH-000483,-0.322728967338
ACH-000484,-0.56865297175
ACH-000485,-0.24395406563900002
ACH-000486,-0.737188905078
ACH-000487,-0.544934614962
ACH-000488,-0.577498528087
ACH-000490,-0.506376861651
ACH-000491,-0.430347589185
ACH-000495,-0.572855826621
ACH-000496,-0.597929647134
ACH-000499,-0.601673870148
ACH-000500,-0.473171487637
ACH-000502,-0.425122157888
ACH-000503,-0.43204983324699997
ACH-000505,0.0834856730011
ACH-000507,-0.660720720028
ACH-000510,-0.381863382175
ACH-000511,-0.385658361566
ACH-000512,-0.574707741601
ACH-000516,-0.675815899032
ACH-000517,-0.232511308408
ACH-000518,-0.503268529213
ACH-000520,-0.48828785932499996
ACH-000521,-0.9111609412530001
ACH-000522,-0.27836251257399997
ACH-000524,-0.541196767631
ACH-000527,-0.996610591929
ACH-000528,-0.503470643688
ACH-000537,-0.422788029576
ACH-000541,-0.379670052589
ACH-000542,-0.309206708698
ACH-000544,-0.683733681847
ACH-000545,-0.286996956437
ACH-000547,-0.592139567493
ACH-000548,-0.522959201804
ACH-000549,-0.7242893641429999
ACH-000550,-0.557730574929
ACH-000552,-0.6681648393399999
ACH-000556,-0.4673685582
ACH-000557,-0.43297135654299995
ACH-000570,-0.28391458140299997
ACH-000571,-0.259942954745
ACH-000573,-0.267985893518
ACH-000576,-0.534799224194
ACH-000580,-0.545935732226
ACH-000584,-0.16951631762000002
ACH-000585,-0.438373843835
ACH-000588,-0.6400765873659999
ACH-000589,-0.500188495329
ACH-000591,-0.5763812115910001
ACH-000593,-0.731366045642
ACH-000600,-0.38345106501299997
ACH-000601,-0.48126093652699997
ACH-000604,-0.23955676798099998
ACH-000605,-0.553558142124
ACH-000606,-0.408875112271
ACH-000608,-0.43945725071
ACH-000614,-1.01986341091
ACH-000616,-0.228350922413
ACH-000618,-0.220718530302
ACH-000619,-0.5174737580300001
ACH-000620,-0.936012390804
ACH-000621,-0.254084339711
ACH-000622,-0.615512017846
ACH-000623,-0.69950577128
ACH-000624,-0.319891396857
ACH-000627,-0.459293957685
ACH-000630,-0.0159514359288
ACH-000632,-0.49045065202
ACH-000633,-0.7159386406370001
ACH-000637,-0.486947335463
ACH-000638,-0.491863851745
ACH-000646,-1.20655925584
ACH-000647,-0.54399313339
ACH-000648,-0.525808396971
ACH-000649,-0.579497304541
ACH-000651,-0.540945292314
ACH-000652,-0.470491055482
ACH-000653,-0.683586897694
ACH-000657,-0.552275835125
ACH-000658,-0.615922294827
ACH-000661,-0.5052812741170001
ACH-000662,-0.376813658773
ACH-000663,-0.298905132455
ACH-000665,-0.354945197686
ACH-000671,-0.8789719057850001
ACH-000673,-0.384434613015
ACH-000676,-0.36504537821599997
ACH-000677,-0.571494469722
ACH-000681,-0.159904974989
ACH-000682,-0.649387405718
ACH-000683,-0.7043246936800001
