,MATK (4145)
ACH-000004,-0.203050094279
ACH-000007,-0.282048585554
ACH-000009,-0.426732374802
ACH-000011,-0.235007600579
ACH-000012,-0.206609915869
ACH-000013,-0.46484648175
ACH-000014,-0.275018203378
ACH-000015,-0.18240626743500002
ACH-000017,-0.333516538526
ACH-000018,-0.554178810693
ACH-000019,-0.477406085326
ACH-000021,-0.377860501858
ACH-000022,-0.188774626134
ACH-000025,-0.42328412738399995
ACH-000028,-0.443358047304
ACH-000030,-0.366878744846
ACH-000035,-0.214043612482
ACH-000036,-0.449167814098
ACH-000037,-0.219863881684
ACH-000039,-0.13701516047499998
ACH-000040,-0.349592395914
ACH-000041,-0.341493876357
ACH-000042,-0.205042425174
ACH-000045,-0.30287408263099996
ACH-000047,-0.477639506803
ACH-000052,-0.47595066741400005
ACH-000053,-0.22256630603
ACH-000054,-0.40833481148
ACH-000055,-0.411352725827
ACH-000060,-0.195367870406
ACH-000067,-0.314336633412
ACH-000070,-0.33732451918300005
ACH-000075,-0.271779011157
ACH-000078,-0.20022540139800002
ACH-000082,-0.270821753293
ACH-000085,-0.14119905976
ACH-000086,-0.23460088824499997
ACH-000087,-0.157800241226
ACH-000092,-0.40532307653800004
ACH-000095,-0.330386008488
ACH-000097,-0.292592467661
ACH-000098,-0.328839667289
ACH-000099,-0.281582022712
ACH-000108,-0.35053968585100004
ACH-000113,-0.512530266408
ACH-000115,-0.210781493427
ACH-000116,-0.34579686408
ACH-000118,-0.140839186373
ACH-000120,-0.31770642370499996
ACH-000123,-0.319545632755
ACH-000127,-0.495583872272
ACH-000128,-0.431316062751
ACH-000132,-0.505494310731
ACH-000133,-0.229818871917
ACH-000137,-0.547215238367
ACH-000138,-0.38994553546899996
ACH-000142,-0.512850797239
ACH-000143,-0.33040539002700003
ACH-000146,-0.344169803099
ACH-000148,-0.397098157687
ACH-000150,-0.412015797836
ACH-000152,-0.289019516383
ACH-000153,-0.0648294880156
ACH-000159,-0.330885033795
ACH-000160,-0.25887297123
ACH-000163,-0.395887573707
ACH-000167,-0.812172925138
ACH-000168,-0.590042709853
ACH-000169,-0.411859378562
ACH-000178,-0.259684470461
ACH-000182,-0.298291962874
ACH-000183,-0.42437106719000006
ACH-000188,-0.306411481494
ACH-000189,-0.7609519382800001
ACH-000190,-0.430287371726
ACH-000198,-0.27263923846099997
ACH-000204,-0.269129121418
ACH-000206,-0.366999926399
ACH-000207,0.17188697430799998
ACH-000211,-0.281036192119
ACH-000215,-0.285817195784
ACH-000221,-0.5043368491920001
