,PPAN (56342)
ACH-000004,-1.0439586907
ACH-000007,-1.4488945747400002
ACH-000009,-1.5127143456799998
ACH-000011,-1.34808001598
ACH-000012,-1.19667781325
ACH-000013,-1.1646149022299999
ACH-000014,-1.5600509040000001
ACH-000015,-1.37673308687
ACH-000017,-1.33216576584
ACH-000018,-1.5471870389700002
ACH-000019,-1.24147809735
ACH-000021,-1.47602846709
ACH-000022,-1.3768199557700003
ACH-000025,-1.441926206
ACH-000028,-1.42051125761
ACH-000030,-1.4642751712200002
ACH-000035,-1.2656878652399999
ACH-000036,-1.42333440588
ACH-000037,-1.34766327877
ACH-000039,-1.2362941972900001
ACH-000040,-1.2724991451
ACH-000041,-1.52023880127
ACH-000042,-1.35440535468
ACH-000045,-1.1381873231200001
ACH-000047,-1.12766173279
ACH-000052,-1.32501850487
ACH-000053,-1.50870069568
ACH-000054,-1.4759114343700002
ACH-000055,-1.61974158164
ACH-000060,-1.29566943003
ACH-000067,-1.57351939764
ACH-000070,-1.37573493967
ACH-000075,-1.44356588101
ACH-000078,-1.4782447758700001
ACH-000082,-1.1897635563
ACH-000085,-1.4549794709900001
ACH-000086,-1.36738798331
ACH-000087,-1.37338657734
ACH-000092,-1.43576482774
ACH-000095,-1.27726628593
ACH-000097,-1.4336087747
ACH-000098,-1.45998286096
ACH-000099,-1.41849592576
ACH-000108,-1.48248398511
ACH-000113,-1.33260966845
ACH-000115,-1.37756985729
ACH-000116,-1.21056287166
ACH-000118,-1.0510588055299999
ACH-000120,-1.23966787469
ACH-000123,-1.28019787115
ACH-000127,-1.2753580247799998
ACH-000128,-1.45757728571
ACH-000132,-1.2151127693000001
ACH-000133,-1.14138839395
ACH-000137,-1.6396550299500001
ACH-000138,-1.56730455847
ACH-000142,-1.49727768625
ACH-000143,-1.29016958394
ACH-000146,-1.28387914562
ACH-000148,-1.2823433201899999
ACH-000150,-1.47738708569
ACH-000152,-1.48381338565
ACH-000153,-1.3032090747299998
ACH-000159,-1.85448831911
ACH-000160,-1.78511433492
ACH-000163,-1.4090173281600002
ACH-000167,-1.5303717912600001
ACH-000168,-1.21555073611
ACH-000169,-1.27659134667
ACH-000178,-1.41330263165
ACH-000182,-1.5974900818200002
ACH-000183,-1.47480213717
ACH-000188,-1.36078637448
ACH-000189,-1.22852719379
ACH-000190,-1.5216694361899998
ACH-000198,-1.3024379855600001
ACH-000204,-1.62328284982
ACH-000206,-1.6425030176299997
ACH-000207,-1.0528239274
ACH-000211,-1.50365545171
ACH-000215,-1.5741933842700002
ACH-000221,-1.61564011274
ACH-000222,-1.4082167351600001
ACH-000223,-1.3426998153
ACH-000226,-1.28609679275
ACH-000227,-1.19874520255
ACH-000228,-1.2126445344
ACH-000231,-1.6917518790600001
ACH-000232,-1.2636674621
ACH-000233,-1.43883705447
ACH-000234,-1.64204102127
ACH-000235,-1.4472555839599999
ACH-000237,-1.58583223819
ACH-000238,-1.50407307268
ACH-000243,-1.4442007719
ACH-000244,-1.3323540332500001
ACH-000246,-1.33790139683
ACH-000248,-1.63765731231
ACH-000250,-1.54317265948
ACH-000251,-1.07843194155
ACH-000253,-1.4730248054700001
ACH-000255,-1.35650623157
ACH-000256,-1.45809261922
ACH-000257,-1.12125060842
ACH-000258,-1.41783948596
ACH-000259,-1.35378127055
ACH-000260,-1.17488713966
ACH-000261,-1.36143424886
ACH-000262,-1.27500461643
ACH-000263,-1.23022913962
ACH-000264,-1.3157803000200001
ACH-000265,-1.17994945587
ACH-000266,-1.37693643002
ACH-000272,-1.3352102239399999
ACH-000273,-1.60011830678
ACH-000274,-1.51173691096
ACH-000277,-1.09040800562
ACH-000278,-1.51983449926
ACH-000279,-1.26606910062
ACH-000280,-1.63771883073
ACH-000281,-1.4724892509399998
ACH-000288,-1.34880130491
ACH-000291,-1.46083074574
ACH-000293,-1.5269185377
ACH-000294,-1.11636237126
ACH-000295,-1.53411043063
ACH-000296,-1.43395897246
ACH-000302,-1.8039303089099998
ACH-000304,-1.2973449397
ACH-000307,-1.7446486313999998
ACH-000308,-1.08545266985
ACH-000310,-1.54746472036
ACH-000311,-1.43919762325
ACH-000312,-1.3980395658700002
ACH-000315,-1.35989194292
ACH-000316,-1.4599010229799998
ACH-000317,-1.0273297221700002
ACH-000318,-1.46598073752
ACH-000319,-1.39248176623
ACH-000320,-1.39852344275
ACH-000322,-1.6540157684799999
ACH-000323,-1.4633152607700002
ACH-000324,-1.3121722468
ACH-000329,-1.42529521966
ACH-000330,-1.31414029975
ACH-000331,-1.30096022684
ACH-000332,-1.5021710725100001
ACH-000334,-1.5090762213100002
ACH-000335,-1.6096650252000002
ACH-000336,-1.8097214957499999
ACH-000337,-1.54521969428
ACH-000339,-1.5763155714700001
ACH-000341,-1.97926993307
ACH-000348,-1.15966073713
ACH-000350,-1.21297792238
ACH-000352,-1.4178471260499999
ACH-000356,-1.19063969891
ACH-000361,-1.13500061506
ACH-000362,-1.2765270560100002
ACH-000363,-1.4683609081400002
ACH-000364,-1.4366752971
ACH-000365,-1.2321883926100001
ACH-000366,-1.4734141836599999
ACH-000368,-1.5939227526800002
ACH-000374,-1.1667268502600001
ACH-000375,-1.68476179074
ACH-000376,-1.2564090913600001
ACH-000381,-1.42319819063
ACH-000383,-1.76391462942
ACH-000387,-1.06993019678
ACH-000389,-1.59312928759
ACH-000390,-1.42222290909
ACH-000393,-1.36659077139
ACH-000395,-1.4240390051499998
ACH-000397,-1.2707777429
ACH-000401,-1.39252505177
ACH-000402,-1.4038199360699999
ACH-000403,-1.5274989884299999
ACH-000404,-1.5081732261200003
ACH-000406,-1.2781208721100001
ACH-000407,-1.31608529931
ACH-000408,-1.29033583396
ACH-000410,-1.31252475772
ACH-000411,-1.42106210252
ACH-000414,-1.5056600761599999
ACH-000415,-1.3759828440200002
ACH-000416,-1.3623694817899998
ACH-000420,-1.33386022158
ACH-000421,-1.26304265501
ACH-000424,-1.6846368425100002
ACH-000425,-1.4165149789200002
ACH-000426,-1.08974224483
ACH-000427,-1.44476033164
ACH-000433,-1.52536957404
ACH-000436,-1.36623297111
ACH-000444,-1.67633220917
ACH-000445,-1.40505650371
ACH-000448,-1.21812001799
ACH-000450,-1.49818520727
ACH-000452,-1.6913102440999999
ACH-000454,-1.4219096549
ACH-000458,-1.35934080473
ACH-000459,-1.51677556614
ACH-000460,-1.30997848646
ACH-000461,-1.4558603253600002
ACH-000463,-1.50771647929
ACH-000464,-1.43368515192
ACH-000466,-1.3703069162000001
ACH-000467,-1.06883399477
ACH-000468,-1.6516436949000002
ACH-000469,-1.30535078745
ACH-000470,-1.47658267693
ACH-000471,-1.5778833571000002
ACH-000472,-1.46277773927
ACH-000473,-1.47019666572
ACH-000475,-1.68920180315
ACH-000476,-1.26990906204
ACH-000477,-1.2579977493899999
ACH-000480,-1.42747264312
ACH-000481,-1.64795319741
ACH-000483,-1.3517159763600002
ACH-000484,-1.20239702601
ACH-000485,-1.52196496165
ACH-000486,-1.3819234229100001
ACH-000487,-1.2160232510200002
ACH-000488,-1.31575891036
ACH-000490,-1.33571780141
ACH-000491,-1.23933550048
ACH-000495,-1.47046515558
ACH-000496,-1.4846053194600002
ACH-000499,-1.31443856433
ACH-000500,-1.19108402323
ACH-000502,-0.995445459769
ACH-000503,-1.51952809961
ACH-000505,-1.7753702409099998
ACH-000507,-0.963864596474
ACH-000510,-1.5619099752
