,DNM1L (10059)
ACH-000004,-0.78031617839
ACH-000007,-0.816615819269
ACH-000009,-0.544422224503
ACH-000011,-0.260521999659
ACH-000012,-0.636220195845
ACH-000013,-1.11054278731
ACH-000014,-0.57311077923
ACH-000015,-0.5567627251439999
ACH-000017,-1.3684751143
ACH-000018,-0.6879280920730001
ACH-000019,-0.668584878217
ACH-000021,-0.528705350339
ACH-000022,-0.965685731602
ACH-000025,-0.994071828796
ACH-000028,-1.32044619267
ACH-000030,-0.634625980322
ACH-000035,-1.08871525264
ACH-000036,-0.421991686301
ACH-000037,-0.417303015488
ACH-000039,-0.8619029509289999
ACH-000040,-0.817320158099
ACH-000041,-0.493806746875
ACH-000042,-1.01258956221
ACH-000045,-0.29463670575
ACH-000047,-1.22462509436
ACH-000052,-0.6732977131640001
ACH-000053,-0.455969868829
ACH-000054,-0.7488547073080001
ACH-000055,-0.881436992728
ACH-000060,-0.6909168157100001
ACH-000067,-0.5037374749310001
ACH-000070,-1.3079777974
ACH-000075,-0.552659253404
ACH-000078,-0.93703089299
ACH-000082,-1.06525004066
ACH-000085,-0.7287787331260001
ACH-000086,-1.27912610575
ACH-000087,-0.582409224302
ACH-000092,-0.600126543993
ACH-000095,-0.385943946995
ACH-000097,-0.487163145852
ACH-000098,-0.893777078171
ACH-000099,-0.913535499803
ACH-000108,-1.09902738425
ACH-000113,-0.801112507898
ACH-000115,-0.378475966474
ACH-000116,-1.1161547625
ACH-000118,-1.11201512134
ACH-000120,-0.40904936009599996
ACH-000123,-0.968617500659
ACH-000127,-0.5583146720059999
ACH-000128,-0.9356560981559999
ACH-000132,-0.8183967224169999
ACH-000133,-0.9622588405179999
ACH-000137,-0.9148818682
ACH-000138,-0.8309337554620001
ACH-000142,-0.35068662606
ACH-000143,-0.581445119791
ACH-000146,-0.672794540494
ACH-000148,-1.0877895677299998
ACH-000150,-1.24837191083
ACH-000152,-0.702368767103
ACH-000153,-0.931557407162
ACH-000159,-0.431764497569
ACH-000160,-0.785975528399
ACH-000163,-0.663633710975
ACH-000167,-0.317081094343
ACH-000168,-0.414020535871
ACH-000169,-0.843393154736
ACH-000178,-0.6026267943460001
ACH-000182,-1.03191043364
ACH-000183,-1.10005281317
ACH-000188,-0.665490076998
ACH-000189,-0.64712042538
ACH-000190,-0.954652546153
ACH-000198,0.0369578621935
ACH-000204,-0.9686821772669999
ACH-000206,-0.21480302225
ACH-000207,-0.820692253887
ACH-000211,-0.751657428797
ACH-000215,-0.619969451034
ACH-000221,-1.2536735585299998
ACH-000222,-1.12658411968
