,NSA2 (10412)
ACH-000004,-1.00406416546
ACH-000007,-0.990820706611
ACH-000009,-1.2342765736
ACH-000011,-0.945852343224
ACH-000012,-1.21152441534
ACH-000013,-0.8987997721
ACH-000014,-0.955484605538
ACH-000015,-0.9898174924950001
ACH-000017,-1.25981633427
ACH-000018,-1.2631793924299999
ACH-000019,-1.17883110662
ACH-000021,-1.10049855301
ACH-000022,-1.03627706344
ACH-000025,-0.939558659272
ACH-000028,-1.0035928130299998
ACH-000030,-0.9495138173309999
ACH-000035,-1.00799793752
ACH-000036,-0.8994612736409999
ACH-000037,-1.70358550912
ACH-000039,-0.8377653732510001
ACH-000040,-1.19491083634
ACH-000041,-1.19794433482
ACH-000042,-1.0027953498
ACH-000045,-1.02070397983
ACH-000047,-1.19581796686
ACH-000052,-1.1311244524700002
ACH-000053,-1.06597950497
ACH-000054,-1.11472104973
ACH-000055,-1.08890665241
ACH-000060,-1.08842350275
ACH-000067,-1.09430372453
ACH-000070,-1.3228105464700002
ACH-000075,-1.33923353691
ACH-000078,-0.914032589819
ACH-000082,-1.26830243299
ACH-000085,-0.8689971685979999
ACH-000086,-1.28432691972
ACH-000087,-1.07799876945
ACH-000092,-1.3531036784600001
ACH-000095,-1.2075135876799998
ACH-000097,-0.9850924737190001
ACH-000098,-1.17811302461
ACH-000099,-1.02926471456
ACH-000108,-1.1138550570799999
ACH-000113,-1.12283770388
ACH-000115,-1.1395699351200002
ACH-000116,-1.00951577896
ACH-000118,-0.938057018283
ACH-000120,-0.927218992655
ACH-000123,-1.1021230385
ACH-000127,-1.0128554162799999
ACH-000128,-1.15833621349
ACH-000132,-1.30831808414
ACH-000133,-0.751836396488
ACH-000137,-1.06674069928
ACH-000138,-1.0090579882600001
ACH-000142,-0.995975623997
ACH-000143,-0.90190168377
ACH-000146,-1.2330742125
ACH-000148,-1.02552511233
ACH-000150,-0.92809522177
ACH-000152,-1.25738902421
ACH-000153,-0.828061260365
ACH-000159,-1.26937391996
ACH-000160,-1.20412718503
ACH-000163,-1.13806161491
ACH-000167,-1.33564008552
ACH-000168,-1.18698082171
ACH-000169,-1.04771190551
ACH-000178,-0.924448869043
ACH-000182,-1.26269031804
ACH-000183,-0.800200932252
ACH-000188,-1.2551355799
ACH-000189,-1.26824056274
ACH-000190,-1.30113918566
ACH-000198,-1.1677182578899998
ACH-000204,-1.0259852605600002
ACH-000206,-1.0580949876999999
ACH-000207,-1.17253673871
ACH-000211,-1.0547400562
ACH-000215,-1.2596211089700002
ACH-000221,-1.35814782152
ACH-000222,-0.8783578912700001
ACH-000223,-1.07010610913
ACH-000226,-1.01675637501
ACH-000227,-1.4500493194100001
ACH-000228,-1.0962319935299998
ACH-000231,-1.29663826028
ACH-000232,-1.1569489813
ACH-000233,-0.780050655485
ACH-000234,-1.1972941812200002
ACH-000235,-1.31219193525
ACH-000237,-1.2239482829200001
ACH-000238,-1.12864812535
ACH-000243,-0.9341832657670001
ACH-000244,-0.8319969496490001
ACH-000246,-1.07571707914
