,HIST2H3A (333932)
ACH-000004,-1.5561639800799998
ACH-000007,-1.3517462222999999
ACH-000009,-1.55143828397
ACH-000011,-1.56797866935
ACH-000012,-1.53960626799
ACH-000013,-1.4564504082499998
ACH-000014,-1.29311385616
ACH-000015,-1.6984815978299999
ACH-000017,-1.13093287751
ACH-000018,-1.20793559255
ACH-000019,-1.33039639494
ACH-000021,-1.1177702351899999
ACH-000022,-1.4802724950200001
ACH-000025,-1.6932168893200001
ACH-000028,-1.47574775895
ACH-000030,-1.47290538832
ACH-000035,-1.41644089125
ACH-000036,-1.2259685610700002
ACH-000037,-1.3441534295500002
ACH-000039,-1.77563298213
ACH-000040,-1.3882980559600002
ACH-000041,-1.4528386586700002
ACH-000042,-1.5807333374
ACH-000045,-1.6989076745700002
ACH-000047,-1.30204030546
ACH-000052,-1.36085470847
ACH-000053,-1.25799895846
ACH-000054,-1.31724697847
ACH-000055,-1.46639161391
ACH-000060,-1.8662321029799998
ACH-000067,-1.3067165588299998
ACH-000070,-1.18091487532
ACH-000075,-0.975825058787
ACH-000078,-1.36466250437
ACH-000082,-1.30641532568
ACH-000085,-1.72198820278
ACH-000086,-1.53250435188
ACH-000087,-1.30664973987
ACH-000092,-1.47073070236
ACH-000095,-1.7474708545099997
ACH-000097,-1.7444128798400003
ACH-000098,-1.40065606609
ACH-000099,-1.20239691503
ACH-000108,-1.0898460199
ACH-000113,-1.8131112426599998
ACH-000115,-1.33968222754
ACH-000116,-1.12285357309
ACH-000118,-1.33373513545
ACH-000120,-1.12238240408
ACH-000123,-1.26426017771
ACH-000127,-1.42439392588
ACH-000128,-1.8383197501900002
ACH-000132,-1.0759852684
ACH-000133,-1.70928409599
ACH-000137,-1.4389135082299997
ACH-000138,-1.75300583145
ACH-000142,-1.4176141881400002
ACH-000143,-1.1919076286599999
ACH-000146,-1.5821181844
ACH-000148,-1.45480471347
ACH-000150,-1.2986770078799998
ACH-000152,-1.5149558666999998
ACH-000153,-1.62878121907
ACH-000159,-1.3738908456999999
ACH-000160,-1.42765344668
ACH-000163,-1.4748293129899999
ACH-000167,-1.65677825681
ACH-000168,-1.8139729863999998
ACH-000169,-1.66350107072
ACH-000178,-1.5959917311899998
ACH-000182,-1.5081834461399999
ACH-000183,-1.71548863974
ACH-000188,-1.6187690072799998
ACH-000189,-1.6268344552399998
ACH-000190,-1.31806306979
ACH-000198,-1.4750948729799997
ACH-000204,-0.968916342319
ACH-000206,-1.5206946083700001
ACH-000207,-0.7747430349050001
ACH-000211,-1.8108626689700003
ACH-000215,-1.52297124437
ACH-000221,-1.9035494566
ACH-000222,-1.1767454593
ACH-000223,-1.3784315008
ACH-000226,-1.22414102223
ACH-000227,-1.31796818058
ACH-000228,-1.16385640339
ACH-000231,-1.4882950797299999
ACH-000232,-1.7295179518700001
ACH-000233,-1.1756950961200001
ACH-000234,-1.5999399189599999
ACH-000235,-1.69279926101
ACH-000237,-1.50793761981
ACH-000238,-1.0878684004999999
ACH-000243,-1.57684857371
ACH-000244,-1.36237903816
ACH-000246,-1.17608059382
ACH-000248,-1.1381066235600001
ACH-000250,-1.24098612629
ACH-000251,-2.5461933911
ACH-000253,-1.40723670662
ACH-000255,-1.43456968125
ACH-000256,-1.46173861434
ACH-000257,-1.40622800027
ACH-000258,-1.39463482412
ACH-000259,-1.60490277778
ACH-000260,-1.33055526766
ACH-000261,-1.61163274915
ACH-000262,-1.49017581579
ACH-000263,-1.5120449599399999
ACH-000264,-1.1142977481
ACH-000265,-1.5511614282700001
ACH-000266,-1.3837694250299999
ACH-000272,-1.23453631322
ACH-000273,-1.93679979368
ACH-000274,-1.8992680864900002
ACH-000277,-1.0230258533299998
ACH-000278,-1.79209677797
ACH-000279,-1.2850588393100002
ACH-000280,-1.26322778412
ACH-000281,-1.39724079347
ACH-000288,-1.19309676337
ACH-000291,-1.51759045542
ACH-000293,-1.0583153010600002
ACH-000294,-1.6873648153100003
ACH-000295,-1.0408086413600002
ACH-000296,-1.64048958192
ACH-000302,-1.23923014844
ACH-000304,-1.95900456444
ACH-000307,-1.81804473647
ACH-000308,-1.3922699867100001
ACH-000310,-1.20709188153
ACH-000311,-2.1539789522599997
ACH-000312,-1.20620406449
ACH-000315,-1.60095075788
ACH-000316,-1.1046208095399999
ACH-000317,-1.03827449655
ACH-000318,-1.57743991294
ACH-000319,-1.24367697596
ACH-000320,-1.32765538754
ACH-000322,-1.0430318772799998
ACH-000323,-1.25932467689
ACH-000324,-1.3350195993
ACH-000329,-1.57399430144
ACH-000330,-1.13204419963
ACH-000331,-1.3322342627200001
ACH-000332,-1.4569451922
ACH-000334,-1.2251021898999999
ACH-000335,-1.26562023815
ACH-000336,-2.00794504175
ACH-000337,-1.7889701169799999
ACH-000339,-1.67617392796
ACH-000341,-1.9811903541599998
ACH-000348,-1.39287815963
ACH-000350,-1.73413040259
ACH-000352,-1.77423978052
ACH-000356,-1.73055086341
ACH-000361,-1.3912752878299999
ACH-000362,-1.6411831403000001
ACH-000363,-1.0769316383499998
ACH-000364,-1.6981458180200002
ACH-000365,-1.30236826687
ACH-000366,-1.4304008265900001
ACH-000368,-1.20947464837
ACH-000374,-1.9273778005400002
ACH-000375,-1.0617667294
ACH-000376,-1.6523782622299998
ACH-000381,-1.22494895156
ACH-000383,-1.65822773068
ACH-000387,-1.29834853909
ACH-000389,-1.36787047264
ACH-000390,-1.8178291951299999
ACH-000393,-1.63139415787
ACH-000395,-1.3742649581200002
ACH-000397,-1.19819860185
ACH-000401,-2.0795030548400004
ACH-000402,-1.1854182081
ACH-000403,-1.74595535533
ACH-000404,-1.63731936382
ACH-000406,-1.5910886692700001
ACH-000407,-1.30969243187
ACH-000408,-1.11609369759
ACH-000410,-1.5047261383700001
ACH-000411,-1.46270729223
ACH-000414,-1.59586400087
ACH-000415,-1.28243923731
ACH-000416,-1.48958774644
ACH-000420,-1.28528236615
ACH-000421,-1.6454792055899998
ACH-000424,-1.5525986274
ACH-000425,-1.2369815069399999
ACH-000426,-2.3537670302700002
ACH-000427,-1.21251693588
ACH-000433,-1.75285479713
ACH-000436,-2.0327002204299998
ACH-000444,-1.2833340371600002
ACH-000445,-1.17213247892
ACH-000448,-1.36225182081
ACH-000450,-1.7412761886099997
ACH-000452,-1.36609114697
ACH-000454,-1.8518566086500001
ACH-000458,-1.51417458398
ACH-000459,-1.6917732088
ACH-000460,-1.20206750379
ACH-000461,-1.75569490276
ACH-000463,-1.3828251638
ACH-000464,-1.4574287463999998
ACH-000466,-1.7948691125999998
ACH-000467,-1.4740851911500001
ACH-000468,-1.6341997949399998
ACH-000469,-1.1683761692899999
ACH-000470,-1.7675438354400004
ACH-000471,-1.4646134430200002
ACH-000472,-1.21221953829
ACH-000473,-1.1968062237700001
ACH-000475,-1.5922711892299999
ACH-000476,-1.41504103792
ACH-000477,-1.4747805626100001
ACH-000480,-1.23657139123
ACH-000481,-1.53512900579
ACH-000483,-1.57496020746
ACH-000484,-1.24082058551
ACH-000485,-1.64843811353
ACH-000486,-1.53776452623
ACH-000487,-1.7991471632700002
ACH-000488,-1.47270786604
ACH-000490,-1.2465548590100002
ACH-000491,-1.59554123711
ACH-000495,-1.3455985892299998
ACH-000496,-1.68356943993
ACH-000499,-1.26814284877
ACH-000500,-1.5908331100100002
ACH-000502,-1.40300963263
ACH-000503,-1.66406435382
ACH-000505,-1.72961656344
ACH-000507,-1.56981057028
ACH-000510,-1.5735339340799999
ACH-000511,-1.7586962108400002
ACH-000512,-1.15108041991
ACH-000516,-1.5147111136899998
ACH-000517,-1.9438477798500002
ACH-000518,-1.4412806650299999
ACH-000520,-1.52333150185
ACH-000521,-1.73843606226
ACH-000522,-1.51789416296
ACH-000524,-0.987512649776
ACH-000527,-1.17852238582
ACH-000528,-1.2847683538899999
ACH-000537,-1.4030580991600001
ACH-000541,-1.58246192348
ACH-000542,-1.3314380405600001
ACH-000544,-1.38669104412
ACH-000545,-1.30326448716
ACH-000547,-2.80931511495
ACH-000548,-1.44287891005
ACH-000549,-1.2879784209
ACH-000550,-1.45493552388
ACH-000552,-1.6457900030300001
ACH-000556,-1.61368566867
ACH-000557,-2.4220666122
ACH-000570,-0.925042113653
ACH-000571,-1.3216973414
ACH-000573,-1.34681241125
ACH-000576,-1.3240747397700001
ACH-000580,-1.20033435662
ACH-000584,-1.33825121061
ACH-000585,-1.35369146569
ACH-000588,-1.84033388039
ACH-000589,-1.75198095458
ACH-000591,-1.2174238479600001
ACH-000593,-1.70919782174
ACH-000600,-1.47913973792
ACH-000601,-1.31300373131
ACH-000604,-1.2183549746200002
ACH-000605,-1.4372420705000002
ACH-000606,-1.51401408033
ACH-000608,-1.3438162457700003
ACH-000614,-1.08330613672
ACH-000616,-1.79886211229
ACH-000618,-1.29645129724
ACH-000619,-1.5505813578999998
ACH-000620,-1.31910855081
ACH-000621,-1.2305531244499999
ACH-000622,-1.2085623601200002
ACH-000623,-1.39579396044
ACH-000624,-1.36560179035
ACH-000627,-1.50947778869
ACH-000630,-1.1485353688700002
ACH-000632,-1.5631175262600001
ACH-000633,-1.69813471394
ACH-000637,-1.70329971863
ACH-000638,-1.60758578935
ACH-000646,-1.20161931699
ACH-000647,-1.3422137702899999
ACH-000648,-1.3156685397399999
ACH-000649,-1.5912121669400001
ACH-000651,-1.29560419942
