,CSTA (1475)
ACH-000004,-0.17369792901
ACH-000007,-0.191542060299
ACH-000009,-0.296888210607
ACH-000011,-0.21847298208500002
ACH-000012,-0.11287289722999999
ACH-000013,-0.24237965818000004
ACH-000014,-0.396182885977
ACH-000015,-0.24536157944000003
ACH-000017,0.0052222055810000004
ACH-000018,-0.06042627317430001
ACH-000019,0.0197229845064
ACH-000021,-0.298983316472
ACH-000022,-0.11039413487500001
ACH-000025,-0.395909970837
ACH-000028,-0.263492355827
ACH-000030,-0.135072617801
ACH-000035,-0.418568967101
ACH-000036,-0.253794957847
ACH-000037,-0.0981297666183
ACH-000039,-0.294379061057
ACH-000040,-0.11438505136
ACH-000041,-0.347033155771
ACH-000042,-0.133478089197
ACH-000045,-0.26172045336399996
ACH-000047,-0.278942390284
ACH-000052,-0.162245784226
ACH-000053,-0.16540910276100002
ACH-000054,-0.358345662962
ACH-000055,-0.163870126416
ACH-000060,-0.120270458061
ACH-000067,-0.194104234269
ACH-000070,-0.254737608714
ACH-000075,-0.10448316135199999
ACH-000078,-0.0405058783493
ACH-000082,-0.17640406625900001
ACH-000085,0.0873676818861
ACH-000086,-0.181142618289
ACH-000087,-0.0111614343236
ACH-000092,-0.242247095134
ACH-000095,-0.137218965559
ACH-000097,-0.17931050708000001
ACH-000098,-0.21835131535500002
ACH-000099,-0.0885898082244
ACH-000108,-0.13374985114
ACH-000113,-0.234285676758
ACH-000115,-0.290686684819
ACH-000116,-0.0750126561443
ACH-000118,-0.206585897327
ACH-000120,-0.065149656695
ACH-000123,-0.168852345258
ACH-000127,-0.21239854935
ACH-000128,0.024151859423599997
ACH-000132,-0.24269598425500002
ACH-000133,-0.201336036734
ACH-000137,-0.220562755656
ACH-000138,-0.167037611113
ACH-000142,-0.170916235651
ACH-000143,-0.238993499648
ACH-000146,-0.161219568487
ACH-000148,-0.181006728902
ACH-000150,-0.108698191676
ACH-000152,-0.308633398702
ACH-000153,-0.130164261589
ACH-000159,-0.156197764386
ACH-000160,-0.415503597509
ACH-000163,-0.36137739701
