,PGK2 (5232)
ACH-000004,0.37509220797700005
ACH-000007,0.227220404361
ACH-000009,0.25912202323899997
ACH-000011,0.167114766796
ACH-000012,0.112533699977
ACH-000013,0.08558016201760002
ACH-000014,0.123594052724
ACH-000015,0.114772465981
ACH-000017,0.018561731178299998
ACH-000018,0.017850318660099996
ACH-000019,0.468245766338
ACH-000021,0.250643224527
ACH-000022,0.259981902271
ACH-000025,0.165976923527
ACH-000028,0.151490158543
ACH-000030,0.14205876332599998
ACH-000035,0.0722370742544
ACH-000036,0.038737420264
ACH-000037,0.38134673285099996
ACH-000039,0.27470022716
ACH-000040,0.308662074196
ACH-000041,0.08985934166919998
ACH-000042,0.17354834156399998
ACH-000045,0.292515818262
ACH-000047,0.0555377209524
ACH-000052,0.499257781441
ACH-000053,0.19732277252900002
ACH-000054,0.108414383912
ACH-000055,0.164526554523
ACH-000060,0.09364351464649999
ACH-000067,0.251155620068
ACH-000070,0.450627207914
ACH-000075,0.176006954831
ACH-000078,0.132902819725
ACH-000082,0.183108148162
ACH-000085,0.0593806640561
ACH-000086,0.35324906386200006
ACH-000087,-0.204145332825
ACH-000092,0.326418614019
ACH-000095,0.193224431627
ACH-000097,0.152858415293
ACH-000098,0.16982482978
ACH-000099,0.22069833405
ACH-000108,0.11004947274499999
ACH-000113,0.180985054659
ACH-000115,0.0749579874576
ACH-000116,0.219009512899
ACH-000118,0.160688291693
ACH-000120,0.224787573463
ACH-000123,0.24258328504299997
ACH-000127,0.22189355661600002
ACH-000128,0.052974492904400004
ACH-000132,0.249827561182
ACH-000133,0.148254104267
ACH-000137,0.150258149942
ACH-000138,0.07009464001639999
ACH-000142,0.123214420561
ACH-000143,0.129546099231
ACH-000146,0.16998928048599998
ACH-000148,0.209902539839
ACH-000150,0.35371381564000004
ACH-000152,0.127139287884
ACH-000153,-0.140159072696
ACH-000159,0.261942004
ACH-000160,0.257434036711
ACH-000163,0.20352221059
ACH-000167,0.178735799435
ACH-000168,0.22979754155999998
ACH-000169,0.23071324454199998
ACH-000178,0.102088490995
ACH-000182,0.019134254724000002
ACH-000183,0.37952843446199996
ACH-000188,0.261464974547
ACH-000189,-0.0800095129364
ACH-000190,0.272744092489
ACH-000198,0.200195723714
ACH-000204,0.139446323717
ACH-000206,0.24213653588300002
ACH-000207,0.0333640799096
ACH-000211,0.213673148851
ACH-000215,0.260512954342
ACH-000221,0.22743974799400002
ACH-000222,0.156337090639
ACH-000223,0.10270988146
ACH-000226,0.21095459376800002
ACH-000227,0.109524168729
ACH-000228,0.313873994228
ACH-000231,0.219871947381
ACH-000232,0.20983482292800001
ACH-000233,0.12145499626700001
ACH-000234,0.326706837596
ACH-000235,0.0948073874047
ACH-000237,0.165996616711
ACH-000238,0.309797229414
ACH-000243,0.163503107464
ACH-000244,0.420598775423
ACH-000246,0.15477915753799998
ACH-000248,0.11026140914100001
ACH-000250,0.12959424407099998
ACH-000251,0.369259536707
ACH-000253,0.23893050746199998
ACH-000255,0.25993930791700004
ACH-000256,0.18427110397799998
ACH-000257,0.325699009304
ACH-000258,0.228197328451
