,MIIP (60672)
ACH-000004,-0.451933081996
ACH-000007,-0.43987560948999993
ACH-000009,-0.387001864076
ACH-000011,-0.21017573120400002
ACH-000012,-0.187186455799
ACH-000013,-0.110747329905
ACH-000014,-0.36722084411899997
ACH-000015,-0.359338874349
ACH-000017,-0.203828484494
ACH-000018,-0.127924878129
ACH-000019,0.058067701728
ACH-000021,-0.11652587557600001
ACH-000022,-0.115646753348
ACH-000025,-0.19399898966899998
ACH-000028,-0.17477582063900002
ACH-000030,-0.167500068299
ACH-000035,-0.466588203126
ACH-000036,-0.15936372356200001
ACH-000037,-0.298291936896
ACH-000039,-0.281564189161
ACH-000040,-0.0767816493598
ACH-000041,-0.0883019971728
ACH-000042,-0.303311478398
ACH-000045,-0.2919047132
ACH-000047,-0.415584462843
ACH-000052,0.0204614834434
ACH-000053,-0.0570948348157
ACH-000054,-0.301080544589
ACH-000055,-0.255930219226
ACH-000060,-0.09339972778930002
ACH-000067,-0.202858898788
ACH-000070,-0.0673470450439
ACH-000075,-0.0497451272991
ACH-000078,0.059885861067
ACH-000082,-0.21211768459600003
ACH-000085,-0.484762402451
ACH-000086,-0.21812782600900002
ACH-000087,-0.251935575065
ACH-000092,-0.339509737873
ACH-000095,-0.294624047224
ACH-000097,-0.183445633521
ACH-000098,-0.165304312045
ACH-000099,-0.223280485093
ACH-000108,-0.203879582124
ACH-000113,-0.22445914380999998
ACH-000115,-0.000127506767506
ACH-000116,-0.0938811039708
ACH-000118,-0.298060467728
ACH-000120,-0.111538699251
ACH-000123,-0.253795838832
ACH-000127,-0.054063686414800007
ACH-000128,-0.252618137414
ACH-000132,-0.28715705176899997
ACH-000133,-0.18245030511100002
ACH-000137,0.0775694552999
ACH-000138,-0.20162431024
ACH-000142,-0.400796993801
ACH-000143,-0.13410330322
ACH-000146,-0.0238695383959
ACH-000148,-0.200051247253
ACH-000150,-0.349272481881
ACH-000152,-0.34420155769500005
ACH-000153,-0.248037630832
ACH-000159,-0.287263056672
ACH-000160,-0.0598223897117
ACH-000163,-0.258888544602
ACH-000167,-0.194040274103
ACH-000168,-0.370634451983
ACH-000169,-0.38744992533600003
ACH-000178,-0.360146860485
ACH-000182,-0.172976340148
ACH-000183,-0.27549967338500003
ACH-000188,-0.41574542394599995
ACH-000189,-0.13237111814400002
ACH-000190,0.144898829986
ACH-000198,-0.270963444485
ACH-000204,-0.269162527501
ACH-000206,-0.16877384107
ACH-000207,-0.188286601576
ACH-000211,-0.271228042986
ACH-000215,-0.125618757871
ACH-000221,-0.364801784169
ACH-000222,-0.0234428762163
ACH-000223,-0.121169697194
ACH-000226,-0.118182474568
ACH-000227,-0.22850853690099998
ACH-000228,-0.18384233303
ACH-000231,-0.146657713663
ACH-000232,-0.20232186747699998
ACH-000233,-0.146155948079
ACH-000234,-0.279897267455
ACH-000235,-0.224477531851
