,MED16 (10025)
ACH-000004,-0.5281884331050001
ACH-000007,-0.161813810852
ACH-000009,-0.280337373803
ACH-000011,-0.23769315046999998
ACH-000012,-0.371244793474
ACH-000013,-0.237617771738
ACH-000014,0.0944251309231
ACH-000015,-0.188259985143
ACH-000017,0.00849852581694
ACH-000018,-0.462883567042
ACH-000019,0.0172222888317
ACH-000021,0.0807481662702
ACH-000022,-0.324419528655
ACH-000025,-0.235704478543
ACH-000028,-0.296403188242
ACH-000030,-0.121473232562
ACH-000035,-0.36407999517899997
ACH-000036,0.421629557263
ACH-000037,0.008995889238
ACH-000039,-0.116666669318
ACH-000040,0.0778247138781
ACH-000041,0.018176079085799997
ACH-000042,-0.549101430019
ACH-000045,-0.357407167932
ACH-000047,-0.321435160337
ACH-000052,-0.110403066747
ACH-000053,-0.11523155545199999
ACH-000054,-0.0615941146546
ACH-000055,-0.561913940546
ACH-000060,0.025354608083900002
ACH-000067,-0.0800414208301
ACH-000070,-0.43354553897799997
ACH-000075,0.41253936810999997
ACH-000078,-0.21583063785300002
ACH-000082,-0.168832491332
ACH-000085,-0.436497938564
ACH-000086,-0.115778941808
ACH-000087,0.07496143182300001
ACH-000092,-0.225749150761
ACH-000095,0.185517957498
ACH-000097,0.279976146467
ACH-000098,-0.585080767944
ACH-000099,-0.0965838377209
ACH-000108,-0.10941287985999999
ACH-000113,-0.570398301751
ACH-000115,-0.6190649129
ACH-000116,-0.332400183346
ACH-000118,-0.19661596524500002
ACH-000120,-0.11924774502800001
ACH-000123,-0.00221288696197
ACH-000127,-0.187035435592
ACH-000128,-0.36463861558
ACH-000132,-0.164738331536
ACH-000133,0.0341104356346
ACH-000137,0.0921517566752
ACH-000138,0.162738706498
ACH-000142,-0.447882873866
ACH-000143,-0.26160921152399996
ACH-000146,-0.47210701223800006
ACH-000148,-0.0206755801068
ACH-000150,0.00396278905668
ACH-000152,0.06475854198509999
ACH-000153,-0.486777034604
ACH-000159,-0.00429795882025
ACH-000160,0.19165049960900002
ACH-000163,-0.00341407887756
ACH-000167,0.0256441048814
ACH-000168,-0.262893385413
ACH-000169,-0.060816407788300005
ACH-000178,-0.485108936658
ACH-000182,-0.48271673381200003
ACH-000183,-0.665339343075
ACH-000188,-0.6505249756629999
ACH-000189,0.24991339324900003
ACH-000190,0.238696275959
ACH-000198,-0.416778865387
ACH-000204,-0.463711731203
ACH-000206,-0.7382172868250001
ACH-000207,-0.198262980148
ACH-000211,-0.395671066315
ACH-000215,0.118476368796
ACH-000221,-0.00569466584387
ACH-000222,-0.395708343112
ACH-000223,-0.07788091343430001
ACH-000226,-0.049258573772800004
ACH-000227,0.04753304666640001
ACH-000228,-0.22452183208299997
ACH-000231,0.15456885319
ACH-000232,-0.377977845054
ACH-000233,0.443157477782
ACH-000234,-0.30736401599700003
ACH-000235,-0.539836908053
ACH-000237,-0.726948711017
ACH-000238,-0.142908734782
ACH-000243,-0.651948820242
ACH-000244,0.480690052425
ACH-000246,0.15390745371300002
ACH-000248,0.13453417815
ACH-000250,-0.5490206617800001
ACH-000251,-0.0424156308713
ACH-000253,-0.24386028765700002
ACH-000255,-0.271507536592
ACH-000256,-0.08603003869660002
ACH-000257,0.0531445278863
ACH-000258,-0.49578103869199996
ACH-000259,0.056003268034800005
ACH-000260,-0.250856232303
ACH-000261,-0.0544937288787
ACH-000262,-0.072023733376
ACH-000263,-0.217511874374
ACH-000264,-0.197492347425
ACH-000265,0.251009389225
ACH-000266,-0.199224263773
ACH-000272,-0.0901245611007
ACH-000273,-0.302019290475
ACH-000274,0.176763547255
ACH-000277,-0.0402011009933
ACH-000278,-0.132764971739
ACH-000279,0.20260616827300001
ACH-000280,-0.165979739019
ACH-000281,-0.260485839931
ACH-000288,0.368057448792
ACH-000291,-0.19837966365600002
ACH-000293,-0.197527945482
ACH-000294,-0.992195957263
ACH-000295,-0.454591577678
ACH-000296,-0.251257736545
ACH-000302,-0.17240361953299999
ACH-000304,-0.147921793816
ACH-000307,-0.47979419930399997
ACH-000308,-0.033679431162099996
ACH-000310,0.10975761678200001
ACH-000311,-0.07807965974219999
ACH-000312,-0.19397433329799998
ACH-000315,-0.18363836759799998
ACH-000316,-0.30094084716499997
ACH-000317,-0.29108184943300003
ACH-000318,-0.117146630634
ACH-000319,0.208337507435
ACH-000320,-0.0311168761288
ACH-000322,-0.179930308963
ACH-000323,0.05004027436840001
ACH-000324,-0.490866168333
ACH-000329,0.225260654478
ACH-000330,0.242121109873
ACH-000331,0.193524896611
ACH-000332,-0.0736430523722
ACH-000334,-0.816952804495
ACH-000335,0.0319763906453
ACH-000336,-0.381519674589
ACH-000337,-0.395188125535
ACH-000339,-0.131237265829
ACH-000341,-0.569937419842
ACH-000348,0.17345070091200002
ACH-000350,-0.192144576999
ACH-000352,-0.590070670198
ACH-000356,-0.156675443895
ACH-000361,0.262226803369
ACH-000362,-0.294927073389
ACH-000363,-0.69105734587
ACH-000364,-0.8184671790270001
ACH-000365,-0.536459322106
ACH-000366,-0.39576448668499997
ACH-000368,-0.0341510386075
ACH-000374,0.0987415798758
ACH-000375,0.170010268094
ACH-000376,0.13550812826300002
ACH-000381,-0.158311055708
ACH-000383,-0.652347497063
ACH-000387,-0.11052124773800001
ACH-000389,0.118877597555
ACH-000390,-0.72880497714
ACH-000393,-0.524006980951
ACH-000395,-0.689205140076
ACH-000397,0.183756554375
ACH-000401,-0.195141417588
ACH-000402,-0.249531344656
ACH-000403,-0.451691659413
ACH-000404,-0.386354211759
ACH-000406,-0.372908635908
ACH-000407,-0.408069658697
ACH-000408,-0.21303833833
ACH-000410,-0.28981864448100003
ACH-000411,-0.20267406838
ACH-000414,-0.6570271487439999
ACH-000415,-0.38662621361199995
ACH-000416,-0.11365084898700001
