,TP53TG5 (27296)
ACH-000414,0.19635953671300002
ACH-000415,0.152590503863
ACH-000416,0.119144827004
ACH-000420,0.0636508343378
ACH-000421,0.13069503013
ACH-000424,0.262348044179
ACH-000425,0.0543768146244
ACH-000426,0.0894325686343
ACH-000427,0.11695956695599999
ACH-000433,-0.033380582442099994
ACH-000436,0.188488632947
ACH-000444,0.267058643747
ACH-000445,0.0718984641457
ACH-000448,0.10991286813899999
ACH-000450,0.07049487859939998
ACH-000452,0.038445366716
ACH-000454,0.187834109141
ACH-000458,-0.007807073695060001
ACH-000459,-0.0693759409101
ACH-000460,0.039066488610400005
ACH-000461,0.27441347980999997
ACH-000463,0.169494293552
ACH-000464,0.0659694545443
ACH-000466,-0.0643566413767
ACH-000467,0.0012262652519300001
ACH-000468,-0.0241339289123
ACH-000469,0.0203579161572
ACH-000470,0.341501518948
ACH-000471,0.080722254158
ACH-000472,0.05933288266990001
ACH-000473,-0.114581081724
ACH-000475,0.0524225651998
ACH-000476,0.11917504575200001
ACH-000477,0.006992795863979999
ACH-000480,0.0407228713414
ACH-000481,0.0674266827812
ACH-000483,0.160708378332
ACH-000484,0.039838938275
ACH-000485,0.17529075553100001
ACH-000486,0.038574296084199995
ACH-000487,-0.141342562416
ACH-000488,0.12135459198899999
ACH-000490,-0.0772327525695
ACH-000491,-0.102866127856
ACH-000495,-0.021070373456299998
ACH-000496,0.132273111519
ACH-000499,-0.0667472005868
ACH-000500,0.314698729686
ACH-000502,0.24422325339499998
ACH-000503,0.0332488088743
ACH-000505,0.214017354799
ACH-000507,0.189940556126
ACH-000510,0.18536076453400002
ACH-000511,-0.0504402994754
ACH-000512,0.481557805031
ACH-000516,0.060561899814900004
ACH-000517,-0.039016168979199996
ACH-000518,-0.172247811261
ACH-000520,-0.0244062869115
ACH-000521,0.045277698364199995
ACH-000522,0.109421278763
ACH-000524,-0.08408401080060002
ACH-000527,0.07024531205460001
ACH-000528,0.0842687815339
ACH-000537,0.134271790151
ACH-000541,0.397633725061
ACH-000542,0.0738140088002
ACH-000544,0.0948814216523
ACH-000545,0.0449697877623
ACH-000547,0.0148682508326
ACH-000548,0.11625946222400001
ACH-000549,0.20827127018599997
ACH-000550,0.0959212450641
ACH-000552,0.0502474955947
ACH-000556,-0.037265249871199994
ACH-000557,-0.10593117074200001
ACH-000570,-0.0681985451272
ACH-000571,0.139508364122
ACH-000573,0.27489414873
ACH-000576,-0.0862180531237
ACH-000580,-0.00582224959836
ACH-000584,0.231125272275
ACH-000585,0.214881111051
ACH-000588,0.113343815465
ACH-000589,0.101891485519
