,FOXRED1 (55572)
ACH-000004,-0.12820185375499998
ACH-000007,-0.631682971678
ACH-000009,-0.492818202288
ACH-000011,-0.0291074867856
ACH-000012,-0.582708296448
ACH-000013,-0.329893482803
ACH-000014,-0.544134832528
ACH-000015,-0.347146938587
ACH-000017,-0.205029897239
ACH-000018,-0.17052028753600001
ACH-000019,-0.42201805888599997
ACH-000021,-0.329284778508
ACH-000022,-0.32321987746999997
ACH-000025,-0.40447788381300004
ACH-000028,-0.870529565752
ACH-000030,-0.289248504435
ACH-000035,-0.4311464401899999
ACH-000036,-0.029924297013400002
ACH-000037,-0.51932337853
ACH-000039,-0.282416050119
ACH-000040,-0.08837304291789999
ACH-000041,-0.466736415526
ACH-000042,-0.11280326493
ACH-000045,-0.713209329665
ACH-000047,-0.797877852579
ACH-000052,-0.550459766778
ACH-000053,-0.193461471209
ACH-000054,-0.502162141375
ACH-000055,-0.282362935835
ACH-000060,-0.330476173887
ACH-000067,-0.102013559341
ACH-000070,-0.164660370222
ACH-000075,-0.019012017745299998
ACH-000078,-0.38201408439199996
ACH-000082,-0.29641886649
ACH-000085,-0.208158058914
ACH-000086,-0.5755336045939999
ACH-000087,-0.46973722484700003
ACH-000092,-0.287720327992
ACH-000095,-0.060702043655900005
ACH-000097,-0.274133552384
ACH-000098,-0.270489786094
ACH-000099,-0.452510058838
ACH-000108,-0.37766356665899997
ACH-000113,-0.68053733273
ACH-000115,-0.27828579875799997
ACH-000116,-0.244382808984
ACH-000118,-0.932017695345
ACH-000120,-0.356839248053
ACH-000123,-0.413753698236
ACH-000127,-0.417664629797
ACH-000128,-0.414408036893
ACH-000132,-0.419221185018
ACH-000133,-0.257216064552
ACH-000137,-0.208121829918
ACH-000138,-0.675407656688
ACH-000142,-0.39386571741899995
ACH-000143,-0.473355896224
ACH-000146,-0.19750608957600002
ACH-000148,-0.364091849054
ACH-000150,-0.547552431289
ACH-000152,-0.35254096153399994
ACH-000153,-0.43901880702299995
ACH-000159,-0.224967800047
ACH-000160,-0.5627262463530001
ACH-000163,-0.233174769987
ACH-000167,-0.206593087226
ACH-000168,-0.0814245659441
ACH-000169,-0.397395833407
ACH-000178,-0.191791912396
ACH-000182,-0.576016479922
ACH-000183,-0.231602809168
ACH-000188,-0.30529639439399997
ACH-000189,-0.12975183331100001
ACH-000190,-0.589933885628
ACH-000198,-0.704754497272
ACH-000204,-0.33578045780999993
ACH-000206,-0.0909110779565
ACH-000207,-0.578258101454
ACH-000211,-0.218031874606
ACH-000215,-0.254883098672
ACH-000221,-0.777530684408
ACH-000222,-0.297169299447
ACH-000223,-0.34268073803000004
ACH-000226,-0.298452637991
ACH-000227,-0.590657412841
ACH-000228,-0.330514202685
ACH-000231,-0.167246830043
ACH-000232,-0.29192613350499996
ACH-000233,-0.700905706182
ACH-000234,-0.322822127528
ACH-000235,-0.290353910602
ACH-000237,-0.136989387394
ACH-000238,-0.348109423132
ACH-000243,-0.259421516994
ACH-000244,-0.39607079043399995
ACH-000246,-0.527504759038
ACH-000248,-0.355799633336
ACH-000250,-0.150705331863
ACH-000251,-0.160351783041
ACH-000253,-0.23432581944699998
ACH-000255,-0.08744695889569999
ACH-000256,-0.167805190581
ACH-000257,-0.22221390758
ACH-000258,-0.37281113347499995
ACH-000259,-0.511219443749
ACH-000260,-0.293038948817
ACH-000261,-0.30201140243700003
ACH-000262,-0.256267602665
ACH-000263,-0.602117877181
ACH-000264,-0.19465456755
ACH-000265,-0.517455384486
ACH-000266,-0.192343526625
ACH-000272,-0.32512409653499996
ACH-000273,-0.231835423688
ACH-000274,-0.40252046904600003
ACH-000277,-0.526900137372
ACH-000278,-0.157240975503
ACH-000279,-0.373607985271
ACH-000280,-0.273623009597
ACH-000281,-0.444354397679
ACH-000288,-0.451197113227
ACH-000291,-0.46451222791999996
ACH-000293,-0.401139806145
ACH-000294,0.0419919514788
ACH-000295,-0.401410193776
ACH-000296,-0.035423501227800004
ACH-000302,-0.42595328197400006
ACH-000304,-0.544080140309
ACH-000307,-0.268854817863
ACH-000308,-0.33995304827
ACH-000310,-0.12351281267400001
ACH-000311,-0.428437521047
ACH-000312,-0.597335128455
ACH-000315,-0.489303079712
ACH-000316,-0.515967740263
ACH-000317,-0.8114268504719999
ACH-000318,-0.354320416
ACH-000319,-0.182918092104
ACH-000320,-0.391019557925
ACH-000322,-0.625802027718
ACH-000323,-0.450524518705
ACH-000324,-0.22857189415600002
ACH-000329,-0.54653754894
ACH-000330,-0.322556014629
ACH-000331,-0.154844389153
ACH-000332,-0.186866250077
ACH-000334,-0.379961140722
