,ARF3 (377)
ACH-000280,-0.5244312774700001
ACH-000281,-0.436901626651
ACH-000288,-0.42056416975199995
ACH-000291,-0.179115497075
ACH-000293,-0.158666750999
ACH-000294,-0.335349212745
ACH-000295,-0.0733440197201
ACH-000296,-0.528938448767
ACH-000302,-0.32532123485500003
ACH-000304,-0.321518536595
ACH-000307,-0.33664357117399996
ACH-000308,-0.333316880176
ACH-000310,-0.41735656085199996
ACH-000311,-0.106266193147
ACH-000312,-0.354869626741
ACH-000315,-0.21463658036299998
ACH-000316,-0.37278768880999996
ACH-000317,-0.34715516018799997
ACH-000318,-0.45287794838699996
ACH-000319,-0.270300764967
ACH-000320,-0.526424806893
ACH-000322,-0.332632252653
ACH-000323,-0.273433081477
ACH-000324,-0.437416566904
ACH-000329,-0.307157099308
ACH-000330,-0.44898842479199996
ACH-000331,-0.17665860008099998
ACH-000332,-0.22108619502799998
ACH-000334,-0.186864319121
ACH-000335,-0.434815994204
ACH-000336,-0.242353921566
ACH-000337,-0.205889407685
ACH-000339,-0.298499381752
ACH-000341,-0.103541647486
ACH-000348,-0.281056123311
ACH-000350,-0.423473217456
ACH-000352,-0.23687571207199998
ACH-000356,-0.5428784553279999
ACH-000361,-0.118302681788
ACH-000362,-0.395659685202
ACH-000363,-0.264326504985
ACH-000364,-0.282087471518
ACH-000365,-0.32003155925
ACH-000366,-0.284066376569
ACH-000368,-0.445492605031
ACH-000374,-0.370408902757
ACH-000375,-0.104722321623
ACH-000376,-0.26333298474100003
ACH-000381,-0.122873119406
ACH-000383,-0.391126046501
ACH-000387,-0.345819542662
ACH-000389,-0.10960140007500001
ACH-000390,-0.35810222814599996
ACH-000393,-0.36274694837399996
ACH-000395,-0.46131579929600003
ACH-000397,-0.292969794296
ACH-000401,-0.443876600117
ACH-000402,-0.518264003477
ACH-000403,-0.221257875774
ACH-000404,-0.389878718423
ACH-000406,-0.274349845709
ACH-000407,-0.110442428484
ACH-000408,-0.432559101554
ACH-000410,-0.138747824347
ACH-000411,-0.26653102246800003
ACH-000414,-0.309720685472
ACH-000415,-0.394138288658
ACH-000416,-0.295536939722
ACH-000420,-0.628136096184
ACH-000421,-0.422762995319
ACH-000424,-0.650048352933
ACH-000425,-0.251823514018
ACH-000426,-0.181306820412
ACH-000427,-0.37878884786399997
ACH-000433,-0.36024747499399995
ACH-000436,-0.445767895982
ACH-000444,-0.156076126238
ACH-000445,-0.298044994717
ACH-000448,-0.35004107344
ACH-000450,-0.47654502668300003
ACH-000452,-0.368002659162
ACH-000454,-0.58337029345
ACH-000458,-0.427963727714
ACH-000459,0.0167836210653
ACH-000460,-0.34242795699100004
ACH-000461,-0.134865587098
ACH-000463,-0.347930076918
ACH-000464,-0.38095354414300003
ACH-000466,-0.163247650888
ACH-000467,-0.21579910971799998
ACH-000468,-0.426146526295
ACH-000469,-0.280328207862
ACH-000470,-0.441129490212
ACH-000471,-0.679270260883
ACH-000472,-0.43256896719899995
ACH-000473,-0.20756590841800002
ACH-000475,-0.325322289168
ACH-000476,-0.204719780592
ACH-000477,0.07481348452169999
ACH-000480,-0.249948369608
ACH-000481,-0.39225777193899997
ACH-000483,-0.0713566296593
ACH-000484,-0.260650204488
ACH-000485,-0.319436852316
ACH-000486,-0.492027796937
ACH-000487,-0.34064223877899996
ACH-000488,-0.23017295549000003
ACH-000490,-0.297865293968
ACH-000491,-0.440327874632
ACH-000495,-0.008880378876760001
ACH-000496,-0.34568378218400003
ACH-000499,-0.629480395548
ACH-000500,-0.43202655873499995
ACH-000502,-0.0675963282907
ACH-000503,-0.0190069641073
ACH-000505,-0.26390505430100003
ACH-000507,-0.20928211249200002
ACH-000510,-0.221274128757
ACH-000511,-0.134303512335
ACH-000512,-0.202334741785
ACH-000516,-0.362577144678
ACH-000517,-0.251108733608
ACH-000518,-0.082002313385
ACH-000520,-0.223967342463
ACH-000521,-0.182114269686
ACH-000522,-0.21480973106600001
ACH-000524,-0.30412047931200004
ACH-000527,-0.23920651120499997
ACH-000528,-0.261554864381
ACH-000537,-0.261263976384
ACH-000541,-0.582527792063
ACH-000542,-0.255358723809
ACH-000544,-0.346215126638
ACH-000545,-0.41621831357699995
ACH-000547,-0.43222794626500005
ACH-000548,-0.35470627893
ACH-000549,-0.561518371075
ACH-000550,-0.467503265318
ACH-000552,-0.30942141867
ACH-000556,-0.283846965523
ACH-000557,-0.17917542629500002
ACH-000570,-0.316289275267
ACH-000571,-0.318618680011
ACH-000573,-0.265046845512
ACH-000576,-0.24081645417199998
ACH-000580,-0.16848186353300001
ACH-000584,-0.381654522457
ACH-000585,-0.45817342310599996
ACH-000588,-0.338337868881
ACH-000589,-0.361125655991
ACH-000591,-0.400908439088
ACH-000593,-0.32840612704
ACH-000600,-0.0671375483046
ACH-000601,-0.204457956923
ACH-000604,-0.16536058626800001
ACH-000605,-0.396819462191
ACH-000606,-0.190911888316
ACH-000608,-0.44070420008199995
ACH-000614,-0.38832110095600003
ACH-000616,-0.35390247777500006
ACH-000618,-0.320667390033
ACH-000619,-0.264914119161
ACH-000620,-0.248221054661
ACH-000621,-0.302498214448
ACH-000622,-0.177696492892
ACH-000623,-0.339943111095
