,ANKLE2 (23141)
ACH-000004,-1.79113422458
ACH-000007,-1.50383342986
ACH-000009,-1.8786708223800002
ACH-000011,-1.7939371690700001
ACH-000012,-1.79103709848
ACH-000013,-1.9565772557700003
ACH-000014,-1.86401265348
ACH-000015,-1.8796007776299999
ACH-000017,-2.02848882719
ACH-000018,-1.81758003368
ACH-000019,-1.98104030175
ACH-000021,-1.75748150385
ACH-000022,-1.79404300186
ACH-000025,-1.63581688381
ACH-000028,-1.7143289661599999
ACH-000030,-1.7181621863499998
ACH-000035,-1.5969231313499999
ACH-000036,-1.88744052395
ACH-000037,-1.6462690977
ACH-000039,-1.71330117321
ACH-000040,-1.56695158835
ACH-000041,-1.66182873093
ACH-000042,-1.9022034317099998
ACH-000045,-2.11746682133
ACH-000047,-1.9404575114200002
ACH-000052,-1.6179907565600002
ACH-000053,-1.9093733445900003
ACH-000054,-1.72015889354
ACH-000055,-2.00428924502
ACH-000060,-1.52082010993
ACH-000067,-1.6367587106400001
ACH-000070,-1.94638572461
ACH-000075,-1.69631724659
ACH-000078,-1.94996232847
ACH-000082,-2.0697399801099996
ACH-000085,-1.5115273573199999
ACH-000086,-1.78798703435
ACH-000087,-1.63069200456
ACH-000092,-1.7321510683599999
ACH-000095,-2.04973013665
ACH-000097,-1.90622469032
ACH-000098,-1.87279288447
ACH-000099,-1.97748645699
ACH-000108,-1.7669453375
ACH-000113,-2.03957342607
ACH-000115,-2.5962821203999997
ACH-000116,-1.66812319857
ACH-000118,-1.7521946182900003
ACH-000120,-1.70413717105
ACH-000123,-1.9648285547400002
ACH-000127,-1.8074583951400003
ACH-000128,-2.0855859368000003
ACH-000132,-1.59170256341
ACH-000133,-1.72183299208
ACH-000137,-1.5166974806600002
ACH-000138,-1.8064839588400001
ACH-000142,-1.9390362341999998
ACH-000143,-1.9820017881099998
ACH-000146,-2.26739686402
ACH-000148,-1.9543992822999998
ACH-000150,-1.81577746552
ACH-000152,-1.9181884304799999
ACH-000153,-1.50345200813
ACH-000159,-1.6061172664899999
ACH-000160,-2.25692508659
ACH-000163,-1.8738691135499999
ACH-000167,-1.8359384526700002
ACH-000168,-1.66641410597
ACH-000169,-1.61662315329
ACH-000178,-1.78593950532
ACH-000182,-1.85999301957
ACH-000183,-1.81672061337
ACH-000188,-1.8298035635499998
ACH-000189,-1.7172546131400002
ACH-000190,-2.19076227538
ACH-000198,-2.0670891235499997
ACH-000204,-1.43598189067
ACH-000206,-1.7644388447900001
ACH-000207,-2.04439944439
ACH-000211,-1.77645457815
ACH-000215,-1.94907475915
ACH-000221,-1.9430680868799999
ACH-000222,-1.9258032969
