,TOP3B (8940)
ACH-000461,-0.284419626657
ACH-000463,-0.167032991022
ACH-000464,-0.024744208621400005
ACH-000466,-0.27944660028499996
ACH-000467,0.09022939489910001
ACH-000468,-0.11700606094699999
ACH-000469,-0.130526665135
ACH-000470,-0.33806855478500003
ACH-000471,-0.193600689406
ACH-000472,-0.255237212837
ACH-000473,-0.204480691802
ACH-000475,-0.0614195116443
ACH-000476,0.140914390978
ACH-000477,-0.40984737182
ACH-000480,-0.239809640251
ACH-000481,-0.26946363874699997
ACH-000483,-0.857773713811
ACH-000484,-0.317904781623
ACH-000485,-0.08156942546860001
ACH-000486,-0.363397578285
ACH-000487,-0.0908492258
ACH-000488,-0.125288726362
ACH-000490,-0.136359605133
ACH-000491,-0.204028096499
ACH-000495,-0.247080804573
ACH-000496,0.08972003382850001
ACH-000499,-0.016558296149
ACH-000500,0.10455028779999999
ACH-000502,-0.13624265135500002
ACH-000503,-0.07955554640089998
ACH-000505,-0.137108252013
ACH-000507,-0.16988297399500002
ACH-000510,-0.224098904875
ACH-000511,-0.383599113076
ACH-000512,0.06902217769730001
ACH-000516,-0.44934738861900003
ACH-000517,-0.19614511057999998
ACH-000518,-0.161193217641
ACH-000520,0.159368086284
ACH-000521,-0.09813745062789998
ACH-000522,-0.0783913596153
ACH-000524,-0.13690111488099999
ACH-000527,-0.23528066140599999
ACH-000528,-0.28860934644200004
ACH-000537,-0.0483027651765
ACH-000541,-0.21509832899
ACH-000542,-0.24207192091600002
ACH-000544,-0.127721108812
ACH-000545,-0.22798972020199998
ACH-000547,-0.145902843434
ACH-000548,-0.191982162777
ACH-000549,0.070343501292
ACH-000550,-0.1380370521
ACH-000552,-0.244811371345
ACH-000556,-0.00339589450212
ACH-000557,-0.29358917837
ACH-000570,-0.24704245763399998
ACH-000571,-0.155605283707
ACH-000573,-0.18066566624000002
ACH-000576,-0.134629200414
ACH-000580,-0.260756894312
ACH-000584,0.000670016436701
ACH-000585,0.0344689889607
ACH-000588,0.0355139196241
ACH-000589,-0.374934568267
ACH-000591,0.16985091422600002
ACH-000593,0.0192265782443
ACH-000600,-0.156201234843
ACH-000601,-0.220778949403
ACH-000604,-0.43900020120300004
ACH-000605,0.025687697599499997
ACH-000606,0.006116305083229999
ACH-000608,-0.22780469952100002
ACH-000614,-0.0231614643927
ACH-000616,-0.26865937845800003
ACH-000618,-0.203419921453
ACH-000619,-0.15841882595100001
ACH-000620,-0.11821762572000001
ACH-000621,-0.274459209667
ACH-000622,-0.365115733963
ACH-000623,-0.30390240549499997
ACH-000624,-0.150015697092
ACH-000627,-0.127778245452
ACH-000630,-0.197391529711
ACH-000632,-0.010824192013
ACH-000633,-0.37332455088
ACH-000637,-0.012462507158200001
ACH-000638,-0.08660610658839998
ACH-000646,-0.049490020577
ACH-000647,-0.116806185522
ACH-000648,0.08045923821050001
ACH-000649,-0.13084763446699998
ACH-000651,-0.0919157130381
ACH-000652,-0.20155532497900003
ACH-000653,0.0354466203142
ACH-000657,-0.240836218772
ACH-000658,-0.08966315603250001
ACH-000661,-0.236991865889
ACH-000662,-0.629162043095
ACH-000663,-0.31523294833500004
ACH-000665,-0.271025176089
ACH-000671,0.10058545374500001
ACH-000673,-0.12423603098300001
ACH-000676,-0.233971992822
ACH-000677,-0.36579164447800006
ACH-000681,-0.16747971736
ACH-000682,-0.044947454934
ACH-000683,-0.054917899821300006
ACH-000684,-0.236395702356
ACH-000688,0.219415459249
ACH-000693,-0.21492564934099997
ACH-000694,-0.11554612010700001
ACH-000695,-0.14517421188899998
