,MYO1C (4641)
ACH-000004,-0.00121167022725
ACH-000007,0.0383977260603
ACH-000009,-0.32283088812
ACH-000011,-0.311072304814
ACH-000012,0.052935865707
ACH-000013,-0.24943508945700002
ACH-000014,-0.144566658028
ACH-000015,-0.0983430819527
ACH-000017,-0.08726434800510001
ACH-000018,-0.12138578570900001
ACH-000019,-0.0148345742844
ACH-000021,0.031912020676000005
ACH-000022,-0.166074356886
ACH-000025,0.0452049203454
ACH-000028,-0.100583791403
ACH-000030,-0.0110419212383
ACH-000035,0.06815521774569999
ACH-000036,-0.392175533442
ACH-000037,-0.0530335904513
ACH-000039,0.145562622126
ACH-000040,-0.258856978985
ACH-000041,-0.00503034041111
ACH-000042,0.00334820983712
ACH-000045,-0.0245210630115
ACH-000047,-0.0406637563828
ACH-000052,-0.414939303015
ACH-000053,-0.020865313110200002
ACH-000054,-0.0316332845996
ACH-000055,-0.15848043614600002
ACH-000060,-0.291986365784
ACH-000067,-0.15683435788300001
ACH-000070,0.0848357365391
ACH-000075,-0.313234642703
ACH-000078,0.0208908870212
ACH-000082,-0.146469093378
ACH-000085,-0.0942810074698
ACH-000086,0.033505582999299996
ACH-000087,0.0159379557331
ACH-000092,-0.125375929527
ACH-000095,-0.051002751034500006
ACH-000097,-0.126446602016
ACH-000098,-0.09483796467189999
ACH-000099,-0.07206734556200001
ACH-000108,-0.099605201896
ACH-000113,-0.116875749008
ACH-000115,-0.147076960727
ACH-000116,-0.026334542468699998
ACH-000118,0.014219087689399999
ACH-000120,-0.262472495353
ACH-000123,-0.0164808621543
ACH-000127,-0.247312501128
ACH-000128,-0.014243298832300001
ACH-000132,-0.0145691631198
ACH-000133,-0.08299170506249999
ACH-000137,0.102544452404
ACH-000138,-0.149997937323
ACH-000142,-0.152700817304
ACH-000143,0.0430198595972
ACH-000146,-0.0194912626522
ACH-000148,-0.238245780149
ACH-000150,-0.138098859131
ACH-000152,-0.151191610966
ACH-000153,-0.263473031343
ACH-000159,-0.0820450129885
ACH-000160,0.127884020005
ACH-000163,0.0959905936975
ACH-000167,-0.20489742685600001
ACH-000168,-0.326079671615
ACH-000169,0.0212453508879
ACH-000178,0.0987973681724
ACH-000182,-0.24045102939399998
ACH-000183,-0.123354665179
ACH-000188,0.0423502788393
ACH-000189,0.206136482084
ACH-000190,-0.000467116663922
ACH-000198,-0.0525979490285
ACH-000204,-0.0331188903342
ACH-000206,0.0219066348617
ACH-000207,-0.17371302033799998
