,OR2W3 (343171)
ACH-000004,-0.160129750305
ACH-000007,0.163853808863
ACH-000009,0.005450158500729999
ACH-000011,0.18772473540600002
ACH-000012,-0.00818598790908
ACH-000013,0.145877933791
ACH-000014,0.00738241415912
ACH-000015,0.135260552734
ACH-000017,0.153247834415
ACH-000018,-0.137764463914
ACH-000019,0.178756253686
ACH-000021,0.0645076824373
ACH-000022,0.0898306893663
ACH-000025,0.0869739749567
ACH-000028,0.16153478494100001
ACH-000030,0.0792458080168
ACH-000035,0.169965086135
ACH-000036,-0.0438492556984
ACH-000037,0.025709113021400002
ACH-000039,0.143917492354
ACH-000040,-0.0732187325382
ACH-000041,-0.030589795301200002
ACH-000042,0.0889196270547
ACH-000045,0.0452039171745
ACH-000047,0.103639664125
ACH-000052,0.0155947371356
ACH-000053,0.054166569491999994
ACH-000054,0.056416620789099994
ACH-000055,-0.339833493321
ACH-000060,0.033357499154
ACH-000067,0.07167563988480001
ACH-000070,-0.00598958248152
ACH-000075,0.005706851584279999
ACH-000078,0.0403188369731
ACH-000082,0.00641457779019
ACH-000085,0.0842024412074
ACH-000086,-0.0665723310533
ACH-000087,0.0357428081765
ACH-000092,0.045923980767599994
ACH-000095,0.030354856581099997
ACH-000097,0.0836920278757
ACH-000098,-0.0209910814963
ACH-000099,0.048942750397199995
ACH-000108,0.030636310978700003
ACH-000113,-0.0162778500947
ACH-000115,0.0591270891588
ACH-000116,0.0911942785891
ACH-000118,0.0596625760329
ACH-000120,0.09769076806469999
ACH-000123,-0.035401334336699994
ACH-000127,0.0447513645476
ACH-000128,0.000611514398144
ACH-000132,0.0015675514899200001
ACH-000133,0.12600955326899999
ACH-000137,0.0290182306557
ACH-000138,0.0785119233949
ACH-000142,-0.038109245138
ACH-000143,-0.09221047744380001
ACH-000146,0.0362709611449
ACH-000148,-0.0356028773835
ACH-000150,0.0515299823097
ACH-000152,-0.0230660925888
ACH-000153,0.12579391148
ACH-000159,0.141266533662
ACH-000160,0.12903685729699998
ACH-000163,0.0942470807475
ACH-000167,0.0636714589444
ACH-000168,-0.146957927558
ACH-000169,0.09751480764249999
ACH-000178,-0.0574726416884
ACH-000182,-0.0054280525142899995
ACH-000183,0.056649058760199995
ACH-000188,0.10185458395500001
ACH-000189,0.302983840721
ACH-000190,0.138641002002
ACH-000198,0.15319411659499999
ACH-000204,0.0558768921708
ACH-000206,0.0403954797022
ACH-000207,0.138180490874
ACH-000211,0.0499605740781
ACH-000215,-0.0752012038411
ACH-000221,0.154848201864
ACH-000222,-0.0687748208057
ACH-000223,0.25296259765900003
ACH-000226,0.108767717184
ACH-000227,0.212415459686
ACH-000228,0.0288005438168
ACH-000231,0.0851504153046
ACH-000232,-0.258677285993
ACH-000233,-0.138383450287
ACH-000234,0.120256417391
ACH-000235,0.06022955459149999
ACH-000237,0.0997003998824
ACH-000238,0.0921886146123
ACH-000243,0.105805201716
ACH-000244,-0.14540927413
ACH-000246,0.0357881034561
ACH-000248,0.157299594204
ACH-000250,0.055764216693599995
