,RAD54L (8438)
ACH-000004,-0.329434616222
ACH-000007,-0.24793147043299998
ACH-000009,-0.46553702945299996
ACH-000011,-0.44650391592699995
ACH-000012,-0.329808642585
ACH-000013,-0.22963023071999997
ACH-000014,-0.43006675355499996
ACH-000015,-0.329922007447
ACH-000017,-0.353912408024
ACH-000018,-0.26703008476
ACH-000019,-0.500094293088
ACH-000021,-0.326851740993
ACH-000022,-0.0813103895914
ACH-000025,-0.37512962443400005
ACH-000028,-0.659741043992
ACH-000030,-0.425057251549
ACH-000035,-0.460762249648
ACH-000036,-0.3952043522
ACH-000037,-0.263341893515
ACH-000039,-0.345130854305
ACH-000040,-0.367252711078
ACH-000041,-0.0508730772449
ACH-000042,-0.127300609406
ACH-000045,-0.18361945387000003
ACH-000047,-0.41640854992
ACH-000052,-0.467740935157
ACH-000053,-0.24806196538800002
ACH-000054,-0.322844845922
ACH-000055,-0.24851550967099997
ACH-000060,-0.241031903739
ACH-000067,-0.307655994862
ACH-000070,-0.296326777422
ACH-000075,-0.42498020173100004
ACH-000078,-0.37304403285800003
ACH-000082,-0.46819418512100003
ACH-000085,-0.224642737857
ACH-000086,-0.485016578174
ACH-000087,-0.22506524940699998
ACH-000092,-0.508503660489
ACH-000095,-0.265202910593
ACH-000097,-0.334546387397
ACH-000098,-0.346151491768
ACH-000099,-0.409240374119
ACH-000108,-0.36647176583999996
ACH-000113,-0.30094170759
ACH-000115,-0.281363933542
ACH-000116,-0.30777264910700003
ACH-000118,-0.372995373434
ACH-000120,-0.43663535556500005
ACH-000123,-0.461974733275
ACH-000127,-0.242504166805
ACH-000128,-0.47328524692400004
ACH-000132,-0.42783452680100004
ACH-000133,-0.285286655277
ACH-000137,-0.381124375608
ACH-000138,-0.370015755785
ACH-000142,-0.526611710931
ACH-000143,-0.34807373795900004
ACH-000146,-0.27798802883400003
ACH-000148,-0.302855029731
ACH-000150,-0.7488036152869999
ACH-000152,-0.528340973982
ACH-000153,-0.5041470204649999
ACH-000159,-0.237065409631
ACH-000160,-0.140039378012
ACH-000163,-0.18696422243799998
ACH-000167,0.010762666710299998
ACH-000168,-0.40673424787699997
ACH-000169,-0.437974478084
ACH-000178,-0.7774730111929999
ACH-000182,-0.11045125187100001
ACH-000183,-0.10662009476800001
ACH-000188,-0.38003645227399996
ACH-000189,-0.272605087704
ACH-000190,0.0835028189772
ACH-000198,-0.311322422432
ACH-000204,-0.220831403772
ACH-000206,-0.17181340714200002
ACH-000207,-0.49043648814400004
ACH-000211,-0.312090344932
ACH-000215,-0.25535734577
ACH-000221,-0.251603533044
ACH-000222,-0.42271273826
ACH-000223,-0.542182687383
ACH-000226,-0.487368281991
ACH-000227,-0.09687515741389999
ACH-000228,-0.498200054361
ACH-000231,-0.404626600123
ACH-000232,-0.265498757461
ACH-000233,-0.762866585951
ACH-000234,-0.287685093673
ACH-000235,-0.254967903387
ACH-000237,-0.432471213687
ACH-000238,-0.39261723097400003
ACH-000243,-0.226054193708
ACH-000244,-0.41678188795800003
ACH-000246,-0.31658933633499997
ACH-000248,-0.325042749606
ACH-000250,-0.185988870167
ACH-000251,-0.21521232422800002
ACH-000253,-0.18151395020599997
ACH-000255,-0.36000973257200003
ACH-000256,-0.429984094328
ACH-000257,-0.5541314215259999
ACH-000258,-0.24185942857200002
ACH-000259,-0.21196046276500002
ACH-000260,-0.309589585683
ACH-000261,-0.302695474977
ACH-000262,-0.253191239885
ACH-000263,-0.16945672635
ACH-000264,-0.204086444445
ACH-000265,-0.24463381601599998
ACH-000266,-0.118764753689
ACH-000272,-0.385248972265
ACH-000273,-0.220413706097
ACH-000274,-0.230835899441
ACH-000277,-0.241795671785
ACH-000278,-0.317926444039
ACH-000279,-0.364843072798
ACH-000280,-0.46866242160300003
ACH-000281,-0.11372491952199999
ACH-000288,-0.424360122028
ACH-000291,-0.0974502243079
ACH-000293,-0.328648484776
ACH-000294,-0.178084303182
ACH-000295,-0.273799289018
ACH-000296,-0.309471096966
ACH-000302,-0.43808201550399994
ACH-000304,-0.502856744768
ACH-000307,-0.11002827384099999
ACH-000308,-0.126675577739
ACH-000310,-0.30359970111400003
ACH-000311,-0.221179807021
ACH-000312,-0.283895932707
ACH-000315,-0.129170703372
ACH-000316,-0.316443541167
ACH-000317,-0.37745857365
ACH-000318,-0.253459482881
ACH-000319,-0.217992473365
ACH-000320,-0.30882408331
ACH-000322,-0.538717755286
ACH-000323,-0.565674166921
ACH-000324,-0.380764482999
ACH-000329,-0.315615324971
