,EPS8L1 (54869)
ACH-000004,-0.0009116922941239999
ACH-000007,-0.111520964216
ACH-000009,-0.272249004588
ACH-000011,-0.20943787912200001
ACH-000012,0.0169180520066
ACH-000013,-0.364784076425
ACH-000014,-0.055485781073400006
ACH-000015,-0.20196180315499998
ACH-000017,-0.248808321869
ACH-000018,-0.116973264174
ACH-000019,-0.443971435957
ACH-000021,-0.12301517328099999
ACH-000022,-0.154541710583
ACH-000025,-0.0374364719814
ACH-000028,-0.20574911824099998
ACH-000030,-0.235225342863
ACH-000035,-0.19122243786899998
ACH-000036,-0.321445367694
ACH-000037,-0.0666529530492
ACH-000039,-0.219533593715
ACH-000040,-0.214389184811
ACH-000041,-0.0856908523243
ACH-000042,0.125843262413
ACH-000045,0.030070504756
ACH-000047,-0.242026903375
ACH-000052,-0.0281655159285
ACH-000053,-0.123353377054
ACH-000054,-0.0834435646563
ACH-000055,-0.354565979727
ACH-000060,-0.0481366435494
ACH-000067,-0.130866313959
ACH-000070,-0.178167452272
ACH-000075,0.0720046668292
ACH-000078,-0.132460462475
ACH-000082,-0.284197215897
ACH-000085,-0.159547237438
ACH-000086,-0.17083420015999998
ACH-000087,-0.0696760839165
ACH-000092,-0.335197931269
ACH-000095,-0.241266774374
ACH-000097,-0.33716611549099995
ACH-000098,-0.12601494208
ACH-000099,-0.22678123931400002
ACH-000108,-0.138730750618
ACH-000113,-0.14233257037799998
ACH-000115,-0.418161743187
ACH-000116,-0.0805937255938
ACH-000118,-0.07713480944460001
ACH-000120,-0.29315451811
ACH-000123,-0.29682279631700004
ACH-000127,-0.174929914029
ACH-000128,-0.0194241147653
ACH-000132,-0.19438789109299998
ACH-000133,-0.229445640766
ACH-000137,-0.102108510732
ACH-000138,-0.127609699383
ACH-000142,-0.249904503597
ACH-000143,-0.24873712451299998
ACH-000146,-0.113429944239
ACH-000148,-0.20246338832000002
ACH-000150,-0.18631719196199997
ACH-000152,-0.108899582279
ACH-000153,-0.060366159144599994
ACH-000159,-0.426490606191
ACH-000160,-0.376484873736
ACH-000163,-0.202339808948
ACH-000167,-0.117085835071
ACH-000168,-0.00247634940603
ACH-000169,-0.0200601781313
ACH-000178,-0.13464962847200002
ACH-000182,-0.132277380954
ACH-000183,-0.262791097588
ACH-000188,-0.0912895766337
ACH-000189,0.195837351185
ACH-000190,-0.202149740404
ACH-000198,-0.0541761833536
ACH-000204,-0.0947445546703
ACH-000206,-0.283020913165
ACH-000207,-0.379319798354
ACH-000211,-0.198124864089
ACH-000215,-0.19558313036299999
