,GTSE1 (51512)
ACH-000004,-0.6920878449429999
ACH-000007,-0.342943550294
ACH-000009,-0.508963940737
ACH-000011,-0.309352701118
ACH-000012,-0.618628241763
ACH-000013,-0.442860637596
ACH-000014,-0.19915223764400003
ACH-000015,-0.45479162931100003
ACH-000017,-0.285468240774
ACH-000018,-0.094590840292
ACH-000019,-0.0787648976487
ACH-000021,-0.14414770487700002
ACH-000022,-0.19475929587299998
ACH-000025,-0.504818016311
ACH-000028,-0.17206297624699998
ACH-000030,-0.608186588328
ACH-000035,-0.264462494059
ACH-000036,-0.15899811821499998
ACH-000037,-0.007012316657390001
ACH-000039,-0.20468203748599997
ACH-000040,-0.601813731947
ACH-000041,-0.299555950776
ACH-000042,-0.367115791676
ACH-000045,-0.238843069335
ACH-000047,-0.579290401635
ACH-000052,-0.338661427041
ACH-000053,-0.43221628739100004
ACH-000054,-0.23039602442200002
ACH-000055,-0.439679784947
ACH-000060,-0.437171934058
ACH-000067,0.027946652866700002
ACH-000070,-0.338262051693
ACH-000075,-0.449980835186
ACH-000078,-0.7040288472640001
ACH-000082,-0.17102222408300002
ACH-000085,-0.366488216592
ACH-000086,-0.11437708519000002
ACH-000087,-0.44528201059600003
ACH-000092,-0.143483911716
ACH-000095,-0.253270538893
ACH-000097,-0.42112022272200006
ACH-000098,-0.0452519348689
ACH-000099,-1.017199659
ACH-000108,-0.377480592179
ACH-000113,-0.28799626606600004
ACH-000115,-0.09863196654999999
ACH-000116,-0.239730511096
ACH-000118,-0.26860395914
ACH-000120,-0.674841009312
ACH-000123,-0.75543718632
ACH-000127,-0.190237245063
ACH-000128,-0.429713195946
ACH-000132,-0.33841277150399995
ACH-000133,-0.21376833587400002
ACH-000137,-0.665344143366
ACH-000138,-0.251927534454
ACH-000142,-0.328497755916
ACH-000143,-0.421583431876
ACH-000146,-0.417947440737
ACH-000148,-0.236597802377
ACH-000150,-0.212410465809
ACH-000152,-0.21920488792599999
ACH-000153,-0.0526222682412
ACH-000159,-0.298882195532
ACH-000160,-0.34993799588299995
ACH-000163,-0.264382822315
ACH-000167,-0.615196167182
ACH-000168,-0.372365540882
ACH-000169,-0.5060531207469999
ACH-000178,-0.183882648002
ACH-000182,-0.566790798763
ACH-000183,-0.17273154148800002
ACH-000188,-0.32467144368
ACH-000189,-0.18293732260899997
ACH-000190,-0.35860298897200005
ACH-000198,-0.23776225976
ACH-000204,0.0873014652477
ACH-000206,-0.495886880124
ACH-000207,-0.34609435954400003
ACH-000211,-0.534238155539
ACH-000215,-0.24349679206799998
ACH-000221,-0.239785435555
ACH-000222,-0.454177135323
ACH-000223,-0.24554953771699997
ACH-000226,-0.537835737315
ACH-000227,-0.6933801892329999
ACH-000228,-0.538959437412
ACH-000231,-0.34807874862800003
ACH-000232,-0.453126130427
ACH-000233,-0.744420350845
ACH-000234,-0.644468234795
ACH-000235,-0.155198940443
ACH-000237,-0.757871366136
ACH-000238,-0.611349376417
ACH-000243,-0.254160710154
ACH-000244,-0.50595665913
ACH-000246,-0.39378193991899996
ACH-000248,-0.16990867299100001
ACH-000250,-0.481401241633
ACH-000251,-0.265094387786
ACH-000253,-0.159877614714
ACH-000255,-0.388067425647
ACH-000256,-0.506806781858
ACH-000257,-0.338775072898
ACH-000258,0.00683124882692
ACH-000259,-0.331016783167
ACH-000260,-0.981104684656
ACH-000261,-0.43826310311899996
ACH-000262,-0.294812445819
ACH-000263,0.0598605278436
ACH-000264,-0.350861126635
ACH-000265,-0.441555625713
ACH-000266,-0.266462373525
ACH-000272,-0.266654439432
ACH-000273,-0.315676844802
ACH-000274,-0.09825589022669999
ACH-000277,-0.08548126737549999
ACH-000278,-0.413902955638
ACH-000279,-0.18004738292
ACH-000280,-0.178189034095
ACH-000281,-0.622485534936
ACH-000288,-0.209334012106
ACH-000291,-0.506951188617
ACH-000293,-0.5891065561300001
ACH-000294,-0.565323450545
ACH-000295,-0.258969967173
ACH-000296,-0.231280713579
ACH-000302,-0.291684444179
ACH-000304,-0.268346143084
ACH-000307,-0.262471686507
ACH-000308,-0.471191477861
