,FAM229A (100128071)
ACH-000004,-0.240567468927
ACH-000007,-0.40553955130400005
ACH-000009,-0.37504133748400004
ACH-000011,-0.263182473491
ACH-000012,-0.38522223269100003
ACH-000013,-0.540387116928
ACH-000014,-0.317031052679
ACH-000015,-0.32469479593199996
ACH-000017,-0.363438173694
ACH-000018,-0.214725322365
ACH-000019,-0.426846054532
ACH-000021,-0.329928572867
ACH-000022,-0.30334829532900004
ACH-000025,-0.279808077432
ACH-000028,-0.316677499845
ACH-000030,-0.32001835001999995
ACH-000035,-0.514827373384
ACH-000036,-0.306329388601
ACH-000037,-0.253941776316
ACH-000039,-0.591604044925
ACH-000040,-0.581906238748
ACH-000041,-0.548638404992
ACH-000042,-0.355808040254
ACH-000045,-0.594314921458
ACH-000047,-0.513800076121
ACH-000052,-0.432114679365
ACH-000053,-0.320108586939
ACH-000054,-0.20983571500300002
ACH-000055,-0.38054574463699997
ACH-000060,-0.446847808183
ACH-000067,-0.396874844598
ACH-000070,-0.14278012470899998
ACH-000075,-0.0433662128644
ACH-000078,-0.366473411386
ACH-000082,-0.317563708749
ACH-000085,-0.166679733588
ACH-000086,-0.423761038895
ACH-000087,-0.418375429855
ACH-000092,-0.575471756544
ACH-000095,-0.415609448667
ACH-000097,-0.35521749640100003
ACH-000098,-0.41799619617
ACH-000099,-0.31887135347600004
ACH-000108,-0.546405808693
ACH-000113,-0.36910802802599996
ACH-000115,-0.530559686492
ACH-000116,-0.470418775338
ACH-000118,-0.29174415364100004
ACH-000120,-0.19409227429200002
ACH-000123,-0.379880937015
ACH-000127,-0.430262849916
ACH-000128,-0.538607343517
ACH-000132,-0.443945158944
ACH-000133,-0.397051487413
ACH-000137,-0.483795740801
ACH-000138,-0.299446093975
ACH-000142,-0.439306101171
ACH-000143,-0.178637760303
ACH-000146,-0.19933334996
ACH-000148,-0.549763385917
ACH-000150,-0.8223683347669999
ACH-000152,-0.46648694943999996
ACH-000153,-0.29985259995200003
ACH-000159,-0.293628465242
ACH-000160,-0.21097262373700001
ACH-000163,-0.424780697624
ACH-000167,-0.433620533468
ACH-000168,-0.331998029061
ACH-000169,-0.387692834935
ACH-000178,-0.40189442914000006
ACH-000182,-0.271969379563
ACH-000183,-0.47061916187700004
ACH-000188,-0.418391382215
ACH-000189,-0.444553085092
ACH-000190,-0.48415417783299997
ACH-000198,-0.41523978470899997
ACH-000204,-0.691386338366
ACH-000206,-0.25308396540100003
ACH-000207,-0.134851217453
ACH-000211,-0.280787970793
ACH-000215,-0.45203854679399996
ACH-000221,-0.321914100235
ACH-000222,-0.368280868203
ACH-000223,-0.28915396064800003
ACH-000226,-0.489787711217
ACH-000227,-0.36374863953000003
ACH-000228,-0.378951782473
ACH-000231,-0.328441333702
ACH-000232,-0.40776605548600003
ACH-000233,-0.232024906034
ACH-000234,-0.36289351869099995
ACH-000235,-0.431251768659
ACH-000237,-0.376500315456
ACH-000238,-0.506645960182
ACH-000243,-0.305638871416
