,SNRPA (6626)
ACH-000004,-0.42422712151299996
ACH-000007,-0.589291083888
ACH-000009,-0.5039982701210001
ACH-000011,-0.509358467336
ACH-000012,-0.692708569024
ACH-000013,-0.6962734878929999
ACH-000014,-0.429439437724
ACH-000015,-0.556221079285
ACH-000017,-0.5931957517199999
ACH-000018,-0.44646451693000005
ACH-000019,-0.715750847071
ACH-000021,-0.633310665178
ACH-000022,-0.391625088058
ACH-000025,-0.483585442808
ACH-000028,-0.531787629229
ACH-000030,-0.6521629831600001
ACH-000035,-0.416070135151
ACH-000036,-0.191174854742
ACH-000037,-0.6894721526109999
ACH-000039,-0.551013599366
ACH-000040,-0.524270017293
ACH-000041,-0.9073171417820001
ACH-000042,-0.235703099305
ACH-000045,-0.35499757899400003
ACH-000047,-0.519843101495
ACH-000052,-0.616871179023
ACH-000053,-0.451460750036
ACH-000054,-0.24898575469099998
ACH-000055,-0.736547665029
ACH-000060,-0.757577634642
ACH-000067,-0.513157538606
ACH-000070,-0.446294046379
ACH-000075,-0.415298665289
ACH-000078,-0.6808590568430001
ACH-000082,-0.0279358056891
ACH-000085,-0.585727072886
ACH-000086,-0.42285182222499995
ACH-000087,-0.307947115749
ACH-000092,-0.384155653371
ACH-000095,-0.180408420421
ACH-000097,-0.533501169134
ACH-000098,0.008377468020640001
ACH-000099,-0.560940666003
ACH-000108,-0.511804621026
ACH-000113,-0.438254570788
ACH-000115,-0.770760956672
ACH-000116,-0.590663968209
ACH-000118,-0.641492157202
ACH-000120,-0.900948482863
ACH-000123,-0.459303220999
ACH-000127,-0.133412504635
ACH-000128,-0.292934154599
ACH-000132,-0.47857479470700004
ACH-000133,-0.681574245926
ACH-000137,-0.715179576181
ACH-000138,-0.525234483119
ACH-000142,-0.7751099797059999
ACH-000143,-0.426564179145
ACH-000146,-0.30868431849399997
ACH-000148,-0.320154519119
ACH-000150,-0.195408651109
ACH-000152,-0.495808823894
ACH-000153,-0.658027426589
ACH-000159,-0.374500706624
ACH-000160,-0.396076592918
ACH-000163,-0.463530804359
ACH-000167,-0.485909823679
ACH-000168,-0.551241726943
ACH-000169,-0.272306340905
ACH-000178,-0.547110086275
ACH-000182,-0.34338433601499996
ACH-000183,-0.767489317811
ACH-000188,-0.7509806250059999
ACH-000189,-0.316113015649
ACH-000190,-0.728291410585
ACH-000198,-0.53349334151
ACH-000204,-0.730445670174
ACH-000206,-0.248018292045
ACH-000207,-1.0034385780600001
ACH-000211,-0.637149651433
ACH-000215,-0.482266868653
ACH-000221,-0.750456867013
ACH-000222,-0.94453825677
ACH-000223,-0.6715193979109999
ACH-000226,-0.635350272262
ACH-000227,-0.169447501936
ACH-000228,-0.935120886687
ACH-000231,-0.491773880758
ACH-000232,-0.329665848527
ACH-000233,-0.358042819713
ACH-000234,-0.47474001106799996
ACH-000235,-0.5241358866870001
ACH-000237,-0.762456688952
ACH-000238,-0.539714728834
ACH-000243,-0.687022776893
ACH-000244,-0.601888581812
ACH-000246,-0.464877331479
ACH-000248,-0.46992967387400003
ACH-000250,-0.38923128522600003
ACH-000251,-0.278627406842
ACH-000253,-0.0378690157864
ACH-000255,-0.601143003721
ACH-000256,-0.41552543156599997
ACH-000257,-0.320683709234
ACH-000258,-0.413046370238
ACH-000259,-0.553084404585
ACH-000260,-0.647030688262
ACH-000261,-0.631493142663
ACH-000262,-0.5409654310890001
ACH-000263,-0.473948272945
ACH-000264,-0.5301207960540001
ACH-000265,-0.692711392782
ACH-000266,-0.411062350928
ACH-000272,-0.0872534195318
ACH-000273,-0.375286233439
ACH-000274,-0.358805213191
ACH-000277,-0.513874537202
ACH-000278,-0.984170779707
ACH-000279,-0.413275058953
ACH-000280,-0.284139034656
ACH-000281,-0.175969959794
ACH-000288,-0.35509006582099994
ACH-000291,-0.631143621616
ACH-000293,-0.611633628302
ACH-000294,-0.174734554329
ACH-000295,-0.5514409665919999
ACH-000296,-0.548362106257
ACH-000302,-0.542540719908
ACH-000304,-0.181321983816
ACH-000307,-0.522694294688
ACH-000308,-0.230179472429
ACH-000310,-0.41373920135700004
ACH-000311,-0.568797992861
ACH-000312,-0.524002809732
ACH-000315,-0.25763606041
ACH-000316,-0.49247383971
ACH-000317,-0.0169675140992
ACH-000318,-0.789456588998
ACH-000319,-0.571172042696
ACH-000320,-0.392724075422
ACH-000322,-0.220510305966
ACH-000323,-0.578145842025
ACH-000324,-0.422108269366
ACH-000329,-0.24267719257800002
ACH-000330,-0.825844555362
ACH-000331,-0.572795790959
ACH-000332,-0.10381199819
ACH-000334,-0.570557509404
ACH-000335,-0.643459381351
ACH-000336,-0.43168295715300004
ACH-000337,-0.581897898958
ACH-000339,-0.6096700736640001
ACH-000341,-0.668585472923
ACH-000348,-0.180820010556
ACH-000350,-0.592719044585
ACH-000352,-0.36994123241300003
ACH-000356,-0.6153810764909999
ACH-000361,-0.261426538422
ACH-000362,-0.327545870145
ACH-000363,-0.6017587358340001
ACH-000364,-0.514685867531
ACH-000365,-0.563453781718
ACH-000366,-0.536056638615
ACH-000368,-0.328133953127
ACH-000374,-0.47715983459399997
ACH-000375,-0.436574247395
ACH-000376,-0.509028841837
ACH-000381,-0.511021864513
ACH-000383,-0.454623535286
ACH-000387,-0.313293337644
ACH-000389,-0.372567114393
ACH-000390,-0.47135833345
ACH-000393,-0.567068838537
ACH-000395,-0.8418178891670001
ACH-000397,-0.6578883436399999
ACH-000401,-0.376858382853
ACH-000402,-0.20327185452500002
ACH-000403,-0.488214150545
ACH-000404,-0.552076159827
ACH-000406,-0.646093304528
ACH-000407,-0.572283647213
ACH-000408,-0.825305677271
ACH-000410,-0.611367442704
ACH-000411,-0.15851677803
ACH-000414,-0.5127757695180001
ACH-000415,-0.718409144699
ACH-000416,-0.219468490051
ACH-000420,-0.18354925358899998
ACH-000421,-0.33611295556299997
ACH-000424,-0.54143650539
ACH-000425,-0.139620981094
ACH-000426,-0.285562223132
ACH-000427,-0.162011204936
ACH-000433,-0.6803874725560001
ACH-000436,-0.530270353618
ACH-000444,-0.5711655032240001
ACH-000445,-0.316471404482
ACH-000448,-0.178393477728
ACH-000450,-0.133638901645
ACH-000452,-0.567812176836
ACH-000454,-0.661970778595
ACH-000458,-0.590597439302
ACH-000459,-0.39753092753799996
ACH-000460,-0.447960378931
ACH-000461,-0.43883940423699996
ACH-000463,-0.398931838632
ACH-000464,-0.802081340038
ACH-000466,-0.298385084895
ACH-000467,-0.30482122861
ACH-000468,-0.8346518765009999
ACH-000469,-0.466673545088
ACH-000470,0.102392078361
ACH-000471,-0.352838815247
ACH-000472,-0.659550352232
ACH-000473,-0.262776943712
ACH-000475,-0.576540455322
ACH-000476,-0.246559058384
ACH-000477,-0.7090325973899999
ACH-000480,-0.5366817700859999
ACH-000481,-0.449800936322
ACH-000483,-0.526734891594
ACH-000484,0.0210701944599
ACH-000485,-0.62962420814
ACH-000486,-0.569714618351
ACH-000487,-0.534337316383
ACH-000488,-0.762659108618
ACH-000490,-0.654603354217
ACH-000491,-0.383579005188
ACH-000495,-0.819388887338
ACH-000496,-0.477558116519
ACH-000499,-0.721479869465
ACH-000500,-0.721680520499
ACH-000502,-0.602604243557
ACH-000503,-0.20132345412
ACH-000505,-0.305300412997
ACH-000507,-0.646025057274
ACH-000510,-0.61778100179
ACH-000511,-0.42593355526500004
ACH-000512,-0.876079830819
ACH-000516,-0.161673058902
ACH-000517,-0.535823850506
ACH-000518,-0.633677012994
ACH-000520,-0.572063255792
ACH-000521,-0.48405965476400004
ACH-000522,-0.552236771712
ACH-000524,-0.391087372921
ACH-000527,-0.28979386518100003
ACH-000528,-0.587372965212
ACH-000537,-0.0921780656346
ACH-000541,-0.24213628563
ACH-000542,-0.555600049862
ACH-000544,-0.567679416061
ACH-000545,-0.454561887302
ACH-000547,-0.523899091828
ACH-000548,-0.201303543493
ACH-000549,-0.370797134821
ACH-000550,0.224380796414
ACH-000552,-0.36148012826700004
ACH-000556,-0.218373982656
ACH-000557,-0.420771873057
ACH-000570,-0.307938569459
ACH-000571,-0.47552662315
ACH-000573,-0.53634671547
ACH-000576,-0.559047597199
ACH-000580,-0.62461173156
ACH-000584,-0.6566060831889999
ACH-000585,-1.00742896467
ACH-000588,-0.62129226187
ACH-000589,-0.629689920251
ACH-000591,-0.281261347614
ACH-000593,-0.605981960023
ACH-000600,0.0565685651393
ACH-000601,-0.421294691294
ACH-000604,-0.492882406933
ACH-000605,-0.277240601191
ACH-000606,-0.629739433419
ACH-000608,-0.730305262523
ACH-000614,-0.265197325848
ACH-000616,-0.7229084842419999
ACH-000618,-0.713902162057
ACH-000619,-0.654077439402
ACH-000620,-0.5502221928109999
ACH-000621,-0.317270014326
ACH-000622,-0.596659125564
ACH-000623,-0.6924025616789999
ACH-000624,-0.736293822446
ACH-000627,-0.574291004954
ACH-000630,-0.415926184656
ACH-000632,-0.141131517837
ACH-000633,-0.477395458374
ACH-000637,-0.6402479462489999
ACH-000638,-0.75954582176
ACH-000646,-0.368059691927
ACH-000647,-0.286856976906
ACH-000648,-0.355644407175
ACH-000649,-0.48623163801700003
ACH-000651,-0.18768719347100002
ACH-000652,-0.308796057328
ACH-000653,-0.583793251809
ACH-000657,-0.24810848215999998
ACH-000658,-0.256996321385
ACH-000661,-0.571047150937
ACH-000662,-0.334721096925
ACH-000663,-0.30932230728300003
ACH-000665,-0.444849415846
ACH-000671,-0.392858912504
ACH-000673,-0.552080186686
ACH-000676,-0.505918588571
ACH-000677,-0.287072035982
ACH-000681,-0.461770680583
ACH-000682,-0.37481081407399996
ACH-000683,-0.807177229085
ACH-000684,-0.27037367810699997
ACH-000688,-0.12516988152699998
ACH-000693,-0.779395927548
ACH-000694,-0.5306127377000001
