,TBKBP1 (9755)
ACH-000004,-0.179252752056
ACH-000007,-0.464849103219
ACH-000009,-0.6855196997349999
ACH-000011,-0.30159158947500003
ACH-000012,-0.335079993784
ACH-000013,-0.21749671094099998
ACH-000014,-0.326030598326
ACH-000015,-0.200960951138
ACH-000017,-0.459672528134
ACH-000018,-0.357849142789
ACH-000019,-0.589199156901
ACH-000021,-0.45340643363099997
ACH-000022,-0.707316507022
ACH-000025,-0.18126120928300002
ACH-000028,-0.37722423259800003
ACH-000030,-0.29356063093699997
ACH-000035,-0.263595999315
ACH-000036,-0.46880454790799997
ACH-000037,0.139479393739
ACH-000039,-0.334470779369
ACH-000040,-0.35314994248899995
ACH-000041,-0.419425976271
ACH-000042,-0.39746984883599995
ACH-000045,-0.356470268884
ACH-000047,-0.36075739737499996
ACH-000052,-0.245098271592
ACH-000053,-0.34314974708000007
ACH-000054,-0.42646614052500004
ACH-000055,-0.29568539102499997
ACH-000060,-0.384823975286
ACH-000067,-0.268092173907
ACH-000070,-0.279580255683
ACH-000075,-0.328441140545
ACH-000078,-0.536768598714
ACH-000082,-0.209947778601
ACH-000085,-0.44567173897600004
ACH-000086,-0.212673606824
ACH-000087,-0.29828854631900004
ACH-000092,-0.495984078645
ACH-000095,-0.269021019767
ACH-000097,-0.327263865108
ACH-000098,-0.362021145308
ACH-000099,-0.37143097746299997
ACH-000108,-0.313896302154
ACH-000113,-0.31470328776900003
ACH-000115,-0.418735970889
ACH-000116,-0.223627778759
ACH-000118,-0.301910335804
ACH-000120,-0.634273914888
ACH-000123,-0.344912059435
ACH-000127,-0.17467687545000002
ACH-000128,-0.30539961920200004
ACH-000132,-0.374056741966
ACH-000133,-0.0878301609131
ACH-000137,-0.429488994979
ACH-000138,-0.456925687123
ACH-000142,-0.6035769419870001
ACH-000143,-0.249244293084
ACH-000146,-0.191086266365
ACH-000148,-0.350039849899
ACH-000150,-0.490073888688
ACH-000152,-0.355410974296
ACH-000153,-0.308387594271
ACH-000159,-0.45178938474799996
ACH-000160,-0.35526092445
ACH-000163,-0.23561018950399998
ACH-000167,-0.320186505266
ACH-000168,-0.13557827673800002
ACH-000169,-0.20716138405099999
ACH-000178,-0.240616049762
ACH-000182,-0.26197168281800004
ACH-000183,-0.19803204969000002
ACH-000188,-0.341989491728
ACH-000189,-0.343680904525
ACH-000190,-0.238747944624
ACH-000198,-0.115741016084
ACH-000204,-0.302854544252
ACH-000206,-0.225238452458
ACH-000207,-0.35415322309
ACH-000211,-0.39908159318499997
ACH-000215,-0.269807570504
ACH-000221,-0.234141215519
ACH-000222,-0.328046743776
ACH-000223,-0.200349120746
ACH-000226,-0.276712241434
ACH-000227,-0.446351788355
ACH-000228,-0.28365437662
ACH-000231,-0.326542481793
ACH-000232,-0.18456329327399998
ACH-000233,-0.317419680177
ACH-000234,-0.29535669494600003
ACH-000235,-0.424649679871
ACH-000237,-0.285026072309
ACH-000238,-0.440996338771
ACH-000243,-0.383781441161
ACH-000244,-0.311204602769
ACH-000246,-0.295412526471
ACH-000248,-0.280635718927
ACH-000250,-0.340393686588
ACH-000251,-0.342278950782
ACH-000253,-0.314016869488
ACH-000255,-0.469376271414
ACH-000256,-0.316588327674
ACH-000257,-0.297127545204
