,ZBTB8OS (339487)
ACH-000004,-0.305152913981
ACH-000007,-0.209695623838
ACH-000009,-0.513693353408
ACH-000011,-0.41316815535499996
ACH-000012,-0.46387382246799996
ACH-000013,-0.262597056041
ACH-000014,-0.301767455556
ACH-000015,-0.270497974686
ACH-000017,-0.406603535782
ACH-000018,-0.656256031038
ACH-000019,-0.127276279801
ACH-000021,-0.165830317356
ACH-000022,-0.36148399973800005
ACH-000025,-0.468825799058
ACH-000028,-0.412418589362
ACH-000030,-0.49113476695600006
ACH-000035,-0.143473347873
ACH-000036,-0.373554660498
ACH-000037,-0.606847954392
ACH-000039,-0.797926008292
ACH-000040,-0.47625887529399996
ACH-000041,-0.200575418802
ACH-000042,-0.306007536992
ACH-000045,-0.393034035913
ACH-000047,-0.188668411036
ACH-000052,-0.17785587891899998
ACH-000053,-0.44423158136000007
ACH-000054,-0.37724751619499997
ACH-000055,-0.403831629332
ACH-000060,-0.503963373328
ACH-000067,-0.340614222665
ACH-000070,-0.465673543041
ACH-000075,-0.48463902141000004
ACH-000078,-0.518657906715
ACH-000082,-0.323199251957
ACH-000085,-0.266935983484
ACH-000086,-0.34021247678499994
ACH-000087,-0.49234976994400004
ACH-000092,-0.471928473965
ACH-000095,-0.581060229907
ACH-000097,-0.153871470885
ACH-000098,-0.30469566009599997
ACH-000099,-0.587856920726
ACH-000108,-0.242015865601
ACH-000113,-0.241347300458
ACH-000115,-0.456445453817
ACH-000116,-0.302279363982
ACH-000118,-0.164447786664
ACH-000120,-0.533988736669
ACH-000123,-0.165235704915
ACH-000127,-0.36679854844899995
ACH-000128,-0.333570590897
ACH-000132,-0.550971581706
ACH-000133,-0.47141513262199997
ACH-000137,-0.41784067795
ACH-000138,-0.24285900273400002
ACH-000142,-0.420655780078
ACH-000143,-0.042567237073999994
ACH-000146,-0.460990788764
ACH-000148,-0.265707152571
ACH-000150,-0.39492109834100003
ACH-000152,-0.295273851118
ACH-000153,-0.758538867854
ACH-000159,-0.40537377816500003
ACH-000160,-0.29236269775699997
ACH-000163,-0.22458093914900001
ACH-000167,-0.245511259022
ACH-000168,-0.577603709771
ACH-000169,-0.32153513734
ACH-000178,-0.27106894154100003
ACH-000182,-0.17716519606199999
ACH-000183,-0.455330801885
ACH-000188,-0.11447885867999999
ACH-000189,-0.452843025128
ACH-000190,-0.114534822261
ACH-000198,-0.347253389126
ACH-000204,-0.375827883799
ACH-000206,-0.545364304666
ACH-000207,-0.288497114484
ACH-000211,-0.455756168771
ACH-000215,-0.518488134373
ACH-000221,-0.24511302254700001
ACH-000222,-0.00372109870227
ACH-000223,-0.269003785383
ACH-000226,-0.5839077893919999
ACH-000227,-0.647496533646
ACH-000228,-0.34693124220399996
ACH-000231,-0.41321662933200004
ACH-000232,-0.330428694769
ACH-000233,-0.40779933390900003
ACH-000234,-0.530489754458
ACH-000235,-0.367179776708
ACH-000237,-0.370912478769
ACH-000238,-0.24358729964899997
ACH-000243,-0.40031797723000007
ACH-000244,-0.401286958348
ACH-000246,-0.453274105607
ACH-000248,-0.108380329733
ACH-000250,-0.455219081597
ACH-000251,-0.210563375966
ACH-000253,-0.31405881171
ACH-000255,-0.501186435712
ACH-000256,-0.28847010440000004
ACH-000257,-0.155628040444
ACH-000258,-0.280846674673
ACH-000259,-0.34369388420100005
ACH-000260,-0.290577782341
ACH-000261,-0.543379909204
ACH-000262,-0.15664928093299998
