,SCGB1D2 (10647)
ACH-000004,-0.11264252165699999
ACH-000007,-0.038908714105099995
ACH-000009,-0.128341552381
ACH-000011,-0.0673622487714
ACH-000012,-0.18044998438299997
ACH-000013,-0.054728772241
ACH-000014,0.258376361665
ACH-000015,-0.207265516015
ACH-000017,-0.0846957092138
ACH-000018,0.029759876193699998
ACH-000019,-0.299544371444
ACH-000021,-0.36064206429300005
ACH-000022,-0.151773274634
ACH-000025,-0.157892281727
ACH-000028,-0.0171973400225
ACH-000030,-0.159226065714
ACH-000035,-0.112443591293
ACH-000036,-0.1464431879
ACH-000037,-0.24564729096500001
ACH-000039,-0.355151468833
ACH-000040,-0.256005799708
ACH-000041,-0.0339874390387
ACH-000042,-0.183539969537
ACH-000045,-0.0434280023302
ACH-000047,-0.147936321827
ACH-000052,-0.429938338233
ACH-000053,-0.260380550479
ACH-000054,-0.0931125501661
ACH-000055,-0.23881726600699998
ACH-000060,-0.175875838306
ACH-000067,0.145933840297
ACH-000070,-0.0687909144005
ACH-000075,-0.34944307452600004
ACH-000078,-0.334551011443
ACH-000082,-0.238137911056
ACH-000085,0.135054549701
ACH-000086,-0.21547020761500002
ACH-000087,-0.024346269594099995
ACH-000092,-0.18869761620099998
ACH-000095,-0.10586737015599999
ACH-000097,-0.102720346095
ACH-000098,-0.165960651295
ACH-000099,-0.12044899515900001
ACH-000108,-0.037689902878900006
ACH-000113,-0.306104076838
ACH-000115,0.00347653711802
ACH-000116,-0.279906526948
ACH-000118,-0.30181180844
ACH-000120,-0.154269086503
ACH-000123,-0.181468927326
ACH-000127,-0.205727904943
ACH-000128,-0.0289812876969
ACH-000132,-0.154355707257
ACH-000133,-0.101482890376
ACH-000137,-0.09459214820149998
ACH-000138,-0.248893747768
ACH-000142,-0.248396610156
ACH-000143,-0.18644347154100002
ACH-000146,-0.22410655734499998
ACH-000148,-0.14585251103
ACH-000150,-0.207869878609
ACH-000152,-0.0303032829693
ACH-000153,-0.0888699384798
ACH-000159,-0.173732756664
ACH-000160,-0.260692418511
ACH-000163,0.0734968510665
ACH-000167,-0.142304754746
ACH-000168,-0.27299659797
ACH-000169,-0.248286080348
ACH-000178,-0.08842186691369999
ACH-000182,-0.10941699414999999
ACH-000183,-0.0983193600812
ACH-000188,-0.365907547527
ACH-000189,-0.355303339221
ACH-000190,-0.122730073897
ACH-000198,-0.10081679389
ACH-000204,-0.339251504705
ACH-000206,-0.201185550557
ACH-000207,-0.306760766704
ACH-000211,-0.176134164821
ACH-000215,-0.047381395015199994
ACH-000221,-0.185082432966
ACH-000222,-0.26103692139400003
ACH-000223,-0.212733386622
ACH-000226,-0.113034200993
ACH-000227,0.0325904715425
ACH-000228,-0.275544837466
ACH-000231,-0.0324504824132
ACH-000232,-0.161928103834
ACH-000233,-0.0645935282866
ACH-000234,-0.233261105848
ACH-000235,-0.10962750746899999
ACH-000237,-0.15426806027
ACH-000238,-0.0865153931019
ACH-000243,-0.122141618831
ACH-000244,-0.053651335202199994
ACH-000246,-0.13956376104499998
ACH-000248,-0.107677851777
ACH-000250,-0.113969381103
ACH-000251,-0.00255151473722
ACH-000253,0.007413390685000001
ACH-000255,-0.0332451336131
ACH-000256,-0.372377302822
ACH-000257,-0.07687988811810001
ACH-000258,0.0123208606284
ACH-000259,-0.08608281725330001
ACH-000260,-0.22268178278499998
ACH-000261,-0.19419907400800002
ACH-000262,-0.270057107901
ACH-000263,-0.0265665564919
ACH-000264,-0.17394759333299997
ACH-000265,-0.216023153316
ACH-000266,-0.16417039741800002
ACH-000272,-0.128906101142
ACH-000273,-0.267305801459
ACH-000274,0.0270890515472
ACH-000277,-0.15871399965299998
ACH-000278,0.037880710994099995
ACH-000279,-0.140385835415
ACH-000280,-0.175904884261
ACH-000281,-0.142476712022
ACH-000288,-0.12108684533299999
ACH-000291,-0.08646836350739999
ACH-000293,-0.207303089275
ACH-000294,-0.231496949045
ACH-000295,-0.21837244941300002
