,TUB (7275)
ACH-000004,0.12464184648700001
ACH-000007,-0.595428267014
ACH-000009,-0.235741222082
ACH-000011,-0.213235911589
ACH-000012,-0.18311304217
ACH-000013,-0.113911909927
ACH-000014,-0.525769887231
ACH-000015,-0.107183466156
ACH-000017,-0.398380992188
ACH-000018,-0.422790831605
ACH-000019,-0.371967002816
ACH-000021,-0.214272073259
ACH-000022,-0.341444696026
ACH-000025,-0.440796113474
ACH-000028,-0.282669820561
ACH-000030,-0.369638951748
ACH-000035,-0.0816709930268
ACH-000036,-0.327388373166
ACH-000037,-0.15622088893799999
ACH-000039,-0.129878832285
ACH-000040,-0.30564180113899997
ACH-000041,-0.37102439107100005
ACH-000042,-0.338322101567
ACH-000045,-0.234519941512
ACH-000047,-0.509802958977
ACH-000052,-0.283337804326
ACH-000053,-0.142801268928
ACH-000054,-0.45627854902500004
ACH-000055,-0.41530416790700003
ACH-000060,-0.437726646073
ACH-000067,-0.503764093594
ACH-000070,-0.490466330438
ACH-000075,-0.469869564687
ACH-000078,-0.52878852846
ACH-000082,-0.36128925009199997
ACH-000085,-0.49949011472599997
ACH-000086,-0.192577249828
ACH-000087,-0.147018674121
ACH-000092,-0.0368961546684
ACH-000095,-0.103148198987
ACH-000097,-0.340051064978
ACH-000098,-0.250651548266
ACH-000099,-0.299527103879
ACH-000108,-0.262382131926
ACH-000113,-0.0479006729412
ACH-000115,-0.40662572398900004
ACH-000116,-0.337666107419
ACH-000118,-0.235076085819
ACH-000120,-0.355850611557
ACH-000123,-0.0886903789956
ACH-000127,-0.15178079656
ACH-000128,-0.153868140052
ACH-000132,-0.276932170771
ACH-000133,-0.495720198985
ACH-000137,-0.299389002418
ACH-000138,-0.178550018948
ACH-000142,-0.36546160012100004
ACH-000143,-0.241428260247
ACH-000146,-0.196192039763
ACH-000148,-0.251112711574
ACH-000150,0.006248505557669999
ACH-000152,-0.478765728046
ACH-000153,0.203124225642
ACH-000159,-0.146505577808
ACH-000160,-0.18965866941799997
ACH-000163,-0.106087006636
ACH-000167,-0.48833761411000004
ACH-000168,-0.238442094857
ACH-000169,-0.22200177022700002
ACH-000178,-0.193761419918
ACH-000182,-0.37074779283
ACH-000183,-0.444352646363
ACH-000188,-0.411938236451
ACH-000189,0.108907906354
ACH-000190,-0.349802569138
ACH-000198,-0.112549776129
ACH-000204,-0.15545032985999999
ACH-000206,-0.132572781222
ACH-000207,-0.24691334793000003
ACH-000211,-0.237673188708
ACH-000215,-0.307480340088
ACH-000221,-0.190639491426
ACH-000222,-0.10100957362600001
ACH-000223,-0.264116473874
ACH-000226,-0.32351486806999996
ACH-000227,-0.136543377409
ACH-000228,-0.247386368264
ACH-000231,-0.20197564789900002
ACH-000232,-0.349413465118
ACH-000233,-0.282913854745
ACH-000234,-0.265438276047
ACH-000235,-0.10776753269400001
ACH-000237,-0.414922677574
ACH-000238,0.014379928412799997
ACH-000243,-0.17721333526500002
ACH-000244,-0.283593360528
ACH-000246,-0.249005681636
ACH-000248,-0.0155970791579
ACH-000250,-0.217126568348
ACH-000251,-0.23528231379200001
ACH-000253,-0.321892460405
ACH-000255,-0.500041005356
ACH-000256,-0.11591380620200001
ACH-000257,-0.343684419305
ACH-000258,-0.364262725989
ACH-000259,-0.13244122557399998
ACH-000260,-0.296568799719
ACH-000261,-0.317997796181
ACH-000262,-0.22201900043499997
ACH-000263,-0.332346225223
ACH-000264,-0.25092554210499995
ACH-000265,-0.106760933196
ACH-000266,-0.172856550369
ACH-000272,-0.15618087477700002
ACH-000273,-0.273588066266
ACH-000274,-0.412913990214
ACH-000277,-0.373294872457
ACH-000278,-0.325416810891
ACH-000279,-0.173506870682
ACH-000280,-0.108415791072
ACH-000281,-0.09606288877369999
ACH-000288,-0.298414710852
ACH-000291,-0.49288000441000007
ACH-000293,-0.308220668418
ACH-000294,0.10430163882000001
ACH-000295,-0.290557465709
ACH-000296,0.105655194886
ACH-000302,-0.171451300838
ACH-000304,-0.140677479638
ACH-000307,-0.336253788571
ACH-000308,-0.38588375255400004
ACH-000310,-0.123680031963
ACH-000311,-0.258244346001
ACH-000312,-0.0964746713285
ACH-000315,-0.305801136167
ACH-000316,-0.5241527124809999
ACH-000317,-0.41393725190499997
ACH-000318,-0.312256348191
ACH-000319,-0.238365265512
ACH-000320,-0.154730192963
ACH-000322,-0.24378637409099999
ACH-000323,-0.189304144308
ACH-000324,-0.32263582529
ACH-000329,-0.230288860146
ACH-000330,-0.39433035824100005
ACH-000331,-0.269696404214
ACH-000332,-0.19948064741500002
ACH-000334,0.0320193811453
ACH-000335,-0.23151425648200002
ACH-000336,0.172429812694
ACH-000337,-0.139342989198
ACH-000339,-0.17763430295200003
ACH-000341,-0.343131728859
ACH-000348,-0.15287575603
ACH-000350,-0.25488345586
ACH-000352,-0.17976584494800002
ACH-000356,-0.0188106307077
ACH-000361,-0.371687156302
ACH-000362,-0.276623607045
ACH-000363,-0.153243831814
ACH-000364,-0.143293619102
ACH-000365,-0.0716081166511
ACH-000366,-0.249669551363
ACH-000368,-0.496271915022
ACH-000374,0.035083731329699996
ACH-000375,-0.277128337254
ACH-000376,-0.241499424215
ACH-000381,-0.28668225374699996
ACH-000383,-0.241826898259
ACH-000387,-0.0428140589607
ACH-000389,-0.248017878568
ACH-000390,-0.141442266906
ACH-000393,-0.5001451231499999
