,TFAP4 (7023)
ACH-000004,-0.361437207378
ACH-000007,-0.636026368671
ACH-000009,-0.196675880493
ACH-000011,-0.618720434061
ACH-000012,-0.464395548395
ACH-000013,-0.470599116945
ACH-000014,-0.7492642865350001
ACH-000015,-0.0974609032358
ACH-000017,-0.613803573075
ACH-000018,-0.40606632302900003
ACH-000019,-0.5618604327269999
ACH-000021,-0.44505805475599997
ACH-000022,-0.625474457566
ACH-000025,-0.31093469302
ACH-000028,-0.236029490229
ACH-000030,-0.0131244093059
ACH-000035,-0.35086945415799997
ACH-000036,-1.06349741762
ACH-000037,-0.36228153105300004
ACH-000039,-0.32670473206
ACH-000040,-0.664720307536
ACH-000041,0.188201843406
ACH-000042,-0.6397050214209999
ACH-000045,-0.9698606669869999
ACH-000047,-0.625182044027
ACH-000052,-0.17710335341699998
ACH-000053,-0.6971398869859999
ACH-000054,-0.19619216696800001
ACH-000055,-0.44362487403000006
ACH-000060,-0.5318298676100001
ACH-000067,-0.247508393837
ACH-000070,-0.695752038154
ACH-000075,-0.449152186497
ACH-000078,-0.329174535775
ACH-000082,-0.615582333917
ACH-000085,-0.40148798983
ACH-000086,-0.283654668546
ACH-000087,-0.143626482138
ACH-000092,-0.26099656712200003
ACH-000095,-0.834324105121
ACH-000097,-0.366849483094
ACH-000098,-0.379056060605
ACH-000099,-0.665968956757
ACH-000108,-0.615355510146
ACH-000113,-0.846305089817
ACH-000115,0.0429843646856
ACH-000116,-0.44761516492299996
ACH-000118,-0.409292748969
ACH-000120,-0.31077774089899995
ACH-000123,-0.352447630695
ACH-000127,-0.41998646488799996
ACH-000128,0.0813186765242
ACH-000132,-0.22054915486200002
ACH-000133,-0.39679337079800003
ACH-000137,-0.5078996267970001
ACH-000138,-0.30255417514000005
ACH-000142,-0.530164443318
ACH-000143,-0.361610265567
ACH-000146,-0.267937639818
ACH-000148,-0.308315686434
ACH-000150,-0.567439114835
ACH-000152,-0.432059600829
ACH-000153,-0.16084877704000003
ACH-000159,-0.29088636666900003
ACH-000160,-0.48819936058799995
ACH-000163,-0.9481696419050001
ACH-000167,-0.44351751512599996
ACH-000168,-0.289358189829
ACH-000169,-0.09348561724960001
ACH-000178,-0.566611026981
ACH-000182,-0.0252933178157
ACH-000183,-0.687747657998
ACH-000188,-0.66451668404
ACH-000189,-0.799786554055
ACH-000190,-0.35999285692
ACH-000198,-0.7793648235870001
ACH-000204,-0.427223895868
ACH-000206,-0.782633132388
ACH-000207,-0.629998880749
ACH-000211,-0.5735221627229999
ACH-000215,-0.636983363122
ACH-000221,-0.188758090598
ACH-000222,-0.920124792494
ACH-000223,-0.281275137238
ACH-000226,-0.324555898324
ACH-000227,-0.36869262362599997
ACH-000228,-0.109550651053
ACH-000231,-0.284407228424
ACH-000232,-0.483320699781
ACH-000233,-0.789036162957
ACH-000234,-0.711530588002
ACH-000235,-0.47799242693099997
ACH-000237,-0.235690267011
ACH-000238,-0.297084290687
ACH-000243,-0.605867167421
ACH-000244,-0.151200420836
ACH-000246,-0.41446878138899995
ACH-000248,-0.663293595871
ACH-000250,-0.42951960532899996
ACH-000251,-0.524669008875
ACH-000253,-0.17718930517700002
ACH-000255,-0.22007280631200002
ACH-000256,-0.214279070791
ACH-000257,0.19786664586
ACH-000258,-0.279625152722
ACH-000259,-0.22092623266199998
ACH-000260,-0.28384314181
ACH-000261,-0.135882275054
ACH-000262,-0.545112171078
ACH-000263,-0.18218221279599997
ACH-000264,-0.08119072690660001
ACH-000265,-0.235290222203
ACH-000266,-0.260963448603
ACH-000272,-0.229528756701
ACH-000273,-0.181162119962
ACH-000274,-0.23060034882
ACH-000277,-0.515638460674
ACH-000278,-0.234616362359
ACH-000279,-0.442406651795
ACH-000280,-0.634702489047
ACH-000281,-0.319677099569
ACH-000288,-0.369937447054
ACH-000291,-0.282829540511
ACH-000293,-0.252606507158
ACH-000294,-0.31766743771899997
ACH-000295,-0.552118103656
ACH-000296,-0.546206621033
ACH-000302,-0.43721418062600004
ACH-000304,-0.7071522404989999
ACH-000307,-0.7566805811759999
ACH-000308,-0.23041193592599998
ACH-000310,-0.141199221474
ACH-000311,-0.696774587695
ACH-000312,-0.3209509445
ACH-000315,-0.414860475897
ACH-000316,-0.661848836385
ACH-000317,-0.37949102757299996
ACH-000318,-0.586212775931
ACH-000319,-0.5654247164
ACH-000320,-0.38997501323899997
ACH-000322,-0.9243457969159999
ACH-000323,-0.30858495398499997
ACH-000324,-0.49733582434199997
ACH-000329,-0.406068113231
ACH-000330,-0.193251703431
ACH-000331,-0.1119814632
ACH-000332,-0.601207932722
ACH-000334,0.22631555671599998
ACH-000335,-0.376080091492
ACH-000336,-0.674820767041
ACH-000337,-0.710026957095
ACH-000339,-0.42968083452100003
ACH-000341,-0.530746774695
ACH-000348,-0.270041433913
ACH-000350,-0.353815851136
ACH-000352,-0.35247024379
ACH-000356,-0.257871072128
ACH-000361,-0.36834702626500004
ACH-000362,-1.08519757928
ACH-000363,-0.917335813739
ACH-000364,-0.543120086216
ACH-000365,0.125331004898
ACH-000366,-0.114102484593
ACH-000368,-0.478582815555
ACH-000374,-0.627041319312
ACH-000375,-0.502647612082
ACH-000376,-0.46978201111400003
ACH-000381,-0.912276988996
ACH-000383,-0.595734723635
ACH-000387,-0.643827870526
ACH-000389,-0.6791451013070001
ACH-000390,-0.667189803903
ACH-000393,-0.16420239638800002
ACH-000395,-0.648427326404
ACH-000397,-0.127161736637
ACH-000401,-0.27055015601599997
ACH-000402,-0.151124933669
ACH-000403,-0.545348350921
ACH-000404,0.29149124088100004
ACH-000406,-0.421650503091
ACH-000407,-0.175042489109
ACH-000408,-0.8011443942640001
ACH-000410,-0.32488190041299997
ACH-000411,-0.554740488507
ACH-000414,-0.524238588332
ACH-000415,-0.65317379335
ACH-000416,-0.522369516978
ACH-000420,-0.41425768935999996
