,PSRC1 (84722)
ACH-000004,-0.6563967801
ACH-000007,-0.38276092901000003
ACH-000009,-0.264338432286
ACH-000011,-0.00657120825325
ACH-000012,-0.615626270803
ACH-000013,-0.35206663716
ACH-000014,-0.20306536193799998
ACH-000015,-0.25883483444600003
ACH-000017,-0.19070690215
ACH-000018,-0.235435323479
ACH-000019,-0.46647711810500003
ACH-000021,-0.28200568927299996
ACH-000022,-0.09013953485739999
ACH-000025,-0.188133723251
ACH-000028,-0.605659238306
ACH-000030,-0.271267399683
ACH-000035,-0.529009029491
ACH-000036,-0.250407005927
ACH-000037,0.0977564015386
ACH-000039,-0.0326251914913
ACH-000040,-0.279296324781
ACH-000041,-0.00671172052081
ACH-000042,-0.0674044002329
ACH-000045,-0.23845198704700002
ACH-000047,-0.24326038724
ACH-000052,-0.0950275613183
ACH-000053,-0.29606637099399996
ACH-000054,-0.137389871523
ACH-000055,-0.144198909917
ACH-000060,-0.134735521459
ACH-000067,-0.18487938969099998
ACH-000070,0.0523802946491
ACH-000075,-0.311780598119
ACH-000078,-0.752892607524
ACH-000082,-0.16267249389
ACH-000085,-0.0246069859161
ACH-000086,-0.403881591279
ACH-000087,-0.189926909933
ACH-000092,-0.424507441915
ACH-000095,-0.14063213846
ACH-000097,-0.172138153913
ACH-000098,-0.164995258461
ACH-000099,-0.5516049416659999
ACH-000108,-0.133708715459
ACH-000113,-0.122301459841
ACH-000115,-0.353777454498
ACH-000116,-0.19532118601100001
ACH-000118,-0.39546158517499996
ACH-000120,-0.125308671549
ACH-000123,-0.236208825407
ACH-000127,-0.222289105508
ACH-000128,-0.22136885409899998
ACH-000132,-0.308548674646
ACH-000133,-0.166655641338
ACH-000137,-0.39057676508
ACH-000138,-0.224960849423
ACH-000142,-0.411749845887
ACH-000143,-0.205098161146
ACH-000146,-0.329861365064
ACH-000148,-0.190458679102
ACH-000150,-0.234294416675
ACH-000152,-0.207463822773
ACH-000153,0.012113006321299998
ACH-000159,-0.390211037857
ACH-000160,0.227862394943
ACH-000163,-0.26661768546500003
ACH-000167,0.6270923526300001
ACH-000168,-0.20895147711800002
ACH-000169,-0.404474534697
ACH-000178,-0.07265061929060002
ACH-000182,-0.319447457411
ACH-000183,-0.23123856919799998
ACH-000188,-0.5880094639600001
ACH-000189,-0.41524476483
ACH-000190,-0.338570368002
ACH-000198,-0.33805966435400003
ACH-000204,-0.294893068926
ACH-000206,-0.281699162142
ACH-000207,-0.192766767102
ACH-000211,-0.113387609592
ACH-000215,-0.30420742236
ACH-000221,-0.555711523391
ACH-000222,-0.07979080646110001
ACH-000223,-0.17647224869000003
ACH-000226,-0.382281405525
ACH-000227,-0.33515226476
ACH-000228,-0.399363576786
ACH-000231,-0.416055633089
ACH-000232,-0.133325687227
ACH-000233,-0.0729203229633
ACH-000234,-0.251168229375
ACH-000235,-0.164406255626
ACH-000237,-0.551988324609
ACH-000238,-0.44475920568800004
ACH-000243,-0.250131540093
ACH-000244,-0.10591748410900001
ACH-000246,-0.238427009839
ACH-000248,-0.29649665196999997
ACH-000250,-0.155618752103
ACH-000251,-0.540454280573
ACH-000253,-0.15528019912000002
ACH-000255,-0.262561786824
ACH-000256,-0.17114291789900002
ACH-000257,-0.742335900973
ACH-000258,-0.142785051465
ACH-000259,-0.238320287612
ACH-000260,-0.521569945968
ACH-000261,-0.354393011227
ACH-000262,-0.203183081437
ACH-000263,-0.194005700955
ACH-000264,-0.27620065556999995
ACH-000265,-0.397859693004
ACH-000266,-0.115613535196
ACH-000272,-0.36562535111999994
ACH-000273,-0.11820171226
ACH-000274,-0.008039739664369999
ACH-000277,-0.11295171344699999
ACH-000278,-0.33157810764
ACH-000279,-0.0958684177454
ACH-000280,-0.249709326418
ACH-000281,0.11441555682499999
