,KLRF2 (100431172)
ACH-000381,0.005317319279210001
ACH-000383,0.16768444990999998
ACH-000387,-0.0663873137995
ACH-000389,0.0550753905351
ACH-000390,0.113147406256
ACH-000393,0.23939767866099998
ACH-000395,0.382774082156
ACH-000397,0.10924066028799999
ACH-000401,0.135372632084
ACH-000402,-0.186347916102
ACH-000403,0.059413014972900004
ACH-000404,0.478914276669
ACH-000406,-0.115846786693
ACH-000407,0.187333782557
ACH-000408,0.181241243745
ACH-000410,0.036251903356199995
ACH-000411,0.09363328108860001
ACH-000414,-0.07657971130039999
ACH-000415,0.23796055543900002
ACH-000416,0.146539030259
ACH-000420,0.0838986506029
ACH-000421,0.26427155092300003
ACH-000424,0.152663404665
ACH-000425,0.031526430140299995
ACH-000426,0.12269578741800001
ACH-000427,0.0241871007993
ACH-000433,0.14470889942600001
ACH-000436,0.31959137888
ACH-000444,-0.11469757572
ACH-000445,0.249002959408
ACH-000448,0.145621984624
ACH-000450,0.422734067002
ACH-000452,-0.0138816978708
ACH-000454,0.0118312017837
ACH-000458,0.249982138409
ACH-000459,0.222897609681
ACH-000460,-0.18634826787500003
ACH-000461,0.130672567892
ACH-000463,0.124179634855
ACH-000464,0.0286878230655
ACH-000466,-0.00243294618707
ACH-000467,-0.0388528154252
ACH-000468,-0.150125911123
ACH-000469,0.304113080621
ACH-000470,-0.08031871182360001
ACH-000471,-0.00437610918437
ACH-000472,0.19705635048700001
ACH-000473,-0.035051774266300004
ACH-000475,0.09410970687510001
ACH-000476,0.126402660094
ACH-000477,-0.008947425140799999
ACH-000480,0.253909060513
ACH-000481,0.0800849706102
ACH-000483,0.19338117925
ACH-000484,0.094958317681
ACH-000485,0.019158422537599997
ACH-000486,0.140614990495
ACH-000487,0.259665238763
ACH-000488,0.162749862708
ACH-000490,0.20739450358800002
ACH-000491,0.231957043771
ACH-000495,-0.0580376853005
ACH-000496,0.100585997315
ACH-000499,0.073763584434
ACH-000500,0.323883350171
ACH-000502,0.00598910083504
ACH-000503,0.115043712041
ACH-000505,-0.0883508231361
ACH-000507,0.196671040879
ACH-000510,0.24062826108899998
ACH-000511,0.262206798748
ACH-000512,0.159377186636
ACH-000516,0.15288056836799999
ACH-000517,-0.050965548959200004
ACH-000518,0.34115817590499997
ACH-000520,0.10029644934000001
ACH-000521,-0.0752869805706
ACH-000522,0.183976969302
ACH-000524,-0.08716688523039999
ACH-000527,0.11994284728900001
ACH-000528,-0.0681737218467
ACH-000537,0.271443431635
ACH-000541,0.18243167153499998
ACH-000542,0.118740464526
ACH-000544,0.164945626061
ACH-000545,0.11765118931500002
ACH-000547,-0.11239249832499999
ACH-000548,0.242199799595
ACH-000549,0.342736639511
ACH-000550,-0.059286579877899995
ACH-000552,0.21555468179
ACH-000556,-0.0149529674581
ACH-000557,0.0857090730206
ACH-000570,0.130843300448
ACH-000571,0.473684265009
ACH-000573,0.09455270892010001
ACH-000576,0.0941509491377
ACH-000580,0.242047461399
ACH-000584,-0.0622811319986
ACH-000585,0.194825792676
ACH-000588,0.12484539680199999
ACH-000589,0.0176584552514
ACH-000591,0.224072119693
ACH-000593,0.154012204235
ACH-000600,0.244185463476
ACH-000601,0.05422628412719999
ACH-000604,0.433542270432
ACH-000605,0.143411065149
ACH-000606,0.127542025153
ACH-000608,0.123580529203
ACH-000614,0.0630942661524
ACH-000616,0.12431796974000002
ACH-000618,-0.000264239262916
ACH-000619,0.167349245263
ACH-000620,0.152685372347
ACH-000621,0.0278777542383
ACH-000622,-0.0786247388275
ACH-000623,0.09136021876049999
ACH-000624,-0.12372903514
ACH-000627,-0.10364508874299999
ACH-000630,0.138557419204
ACH-000632,0.283999579375
ACH-000633,0.11295169182600001
ACH-000637,0.131403138956
ACH-000638,-0.102422732498
ACH-000646,-0.0728662755762
ACH-000647,0.024129510995
ACH-000648,0.24027711578299998
ACH-000649,0.20000837686
ACH-000651,0.120041621682
ACH-000652,0.0396771523708
ACH-000653,0.13524936969
ACH-000657,0.042180294895000005
ACH-000658,0.332346658367
ACH-000661,0.10336409819299999
ACH-000662,0.551440531087
ACH-000663,-0.0231627408788
ACH-000665,0.15221712264
ACH-000671,0.314621917857
ACH-000673,0.0736755258375
ACH-000676,0.100223240452
ACH-000677,0.110077998718
ACH-000681,-0.198117207613
ACH-000682,0.0176873893195
ACH-000683,-0.0148772706149
ACH-000684,-0.046540461602999995
ACH-000688,0.19640278858899998
ACH-000693,0.06999603906610001
