,COX11 (1353)
ACH-000004,-0.539204431267
ACH-000007,-0.8104885721330001
ACH-000009,-0.37448659236500004
ACH-000011,-0.414098781892
ACH-000012,-0.423419635092
ACH-000013,-0.574462044374
ACH-000014,-0.486862591479
ACH-000015,-0.503617061842
ACH-000017,-0.514457655079
ACH-000018,-0.233479502854
ACH-000019,-0.546691111699
ACH-000021,-0.5124408817180001
ACH-000022,-0.563800187468
ACH-000025,-0.41588860840400005
ACH-000028,-0.6658348027359999
ACH-000030,-0.618246596095
ACH-000035,-0.262861337939
ACH-000036,-0.283334472856
ACH-000037,-0.449965064981
ACH-000039,-0.38907708147299996
ACH-000040,-0.32042493926300003
ACH-000041,-0.580697152019
ACH-000042,-0.39008759516099994
ACH-000045,-0.602155335651
ACH-000047,-0.673595723427
ACH-000052,-0.413255562701
ACH-000053,-0.475998661552
ACH-000054,-0.622245363422
ACH-000055,-0.49661387296400006
ACH-000060,-0.728551780744
ACH-000067,-0.550107280921
ACH-000070,-0.43433285671000005
ACH-000075,-0.315310786574
ACH-000078,-0.726369252571
ACH-000082,-0.431108212003
ACH-000085,-0.533682602945
ACH-000086,-0.640254333609
ACH-000087,-0.694227828792
ACH-000092,-0.42812174941500003
ACH-000095,-0.41463432335
ACH-000097,-0.324317968466
ACH-000098,-0.41214130085100004
ACH-000099,-0.445306159727
ACH-000108,-0.271378699704
ACH-000113,-0.532326162109
ACH-000115,-0.40636417094300004
ACH-000116,-0.476152351077
ACH-000118,-0.7743978711849999
ACH-000120,-0.442879769009
ACH-000123,-0.545439526808
ACH-000127,-0.544232739938
ACH-000128,-0.596860139415
ACH-000132,-0.56149065696
ACH-000133,-0.348846411026
ACH-000137,-0.277389487744
ACH-000138,-0.6423234965510001
ACH-000142,-0.386549433445
ACH-000143,-0.6465933832549999
ACH-000146,-0.8492191045499999
ACH-000148,-0.643374331372
ACH-000150,-0.530340986117
ACH-000152,-0.634388126882
ACH-000153,-0.36838541299099997
ACH-000159,-0.5398761402960001
ACH-000160,-0.48145733524499995
ACH-000163,-0.502833546544
ACH-000167,-0.635331027322
ACH-000168,-0.273221177228
ACH-000169,-0.302733461252
ACH-000178,-0.339979794558
ACH-000182,-0.655305261034
ACH-000183,-0.596758737606
ACH-000188,-0.654381265109
ACH-000189,-0.38967294805299996
ACH-000190,-0.99051091248
ACH-000198,-0.47340594020099996
ACH-000204,-0.515727523092
ACH-000206,-0.8291227037369999
ACH-000207,-0.316202169543
ACH-000211,-0.5113250057109999
ACH-000215,-0.464757906035
ACH-000221,-0.789815899281
ACH-000222,-0.515976856761
ACH-000223,-0.768378761516
ACH-000226,-0.637994464409
ACH-000227,-0.529358363335
ACH-000228,-0.603839207835
ACH-000231,-0.395727339902
ACH-000232,-0.506310830423
