,ARV1 (64801)
ACH-000004,-0.23092817742400001
ACH-000007,-0.0216850057655
ACH-000009,-0.356664304694
ACH-000011,-0.18251490409200002
ACH-000012,-0.26364675637699997
ACH-000013,-0.24779067431
ACH-000014,-0.10616957924499999
ACH-000015,-0.159724770627
ACH-000017,-0.355257769394
ACH-000018,-0.141976818609
ACH-000019,-0.141471349236
ACH-000021,-0.162520141094
ACH-000022,-0.12687763892599999
ACH-000025,-0.326970908303
ACH-000028,-0.07441661743200001
ACH-000030,-0.167888298633
ACH-000035,0.16474999591199999
ACH-000036,-0.159408210681
ACH-000037,-0.466354894621
ACH-000039,-0.497149700215
ACH-000040,-0.155155114181
ACH-000041,-0.282318647496
ACH-000042,-0.179353010187
ACH-000045,-0.207914828536
ACH-000047,-0.341946599685
ACH-000052,-0.06281699392319999
ACH-000053,-0.282609928585
ACH-000054,-0.26234192787
ACH-000055,-0.2312480249
ACH-000060,-0.18435924458900002
ACH-000067,-0.244490265102
ACH-000070,-0.16958615782000003
ACH-000075,-0.181212189956
ACH-000078,-0.413856594389
ACH-000082,-0.257955766322
ACH-000085,0.014257541571
ACH-000086,-0.18658058413800002
ACH-000087,-0.161367974799
ACH-000092,-0.138608210379
ACH-000095,-0.27242972735300003
ACH-000097,-0.26677811711800004
ACH-000098,-0.25292890325100004
ACH-000099,-0.316106367965
ACH-000108,-0.186359049738
ACH-000113,-0.158626659484
ACH-000115,-0.146954336488
ACH-000116,-0.254797870341
ACH-000118,-0.0980755888188
ACH-000120,-0.35232074061499996
ACH-000123,-0.256959602808
ACH-000127,-0.211275294459
ACH-000128,0.14989735764
ACH-000132,-0.300656033051
ACH-000133,-0.09198584046839998
ACH-000137,-0.196501903011
ACH-000138,-0.300347452565
ACH-000142,-0.07005383796
ACH-000143,-0.116538604704
ACH-000146,-0.468833356176
ACH-000148,-0.141148030309
ACH-000150,-0.173076525939
ACH-000152,-0.196976122623
ACH-000153,-0.011579725811100002
ACH-000159,-0.284414698006
ACH-000160,-0.379959859036
ACH-000163,-0.213358910268
ACH-000167,-0.153217924546
ACH-000168,-0.34573358304499996
ACH-000169,-0.24734908805199998
ACH-000178,-0.20783017755999997
ACH-000182,-0.126152042895
ACH-000183,-0.272136387454
ACH-000188,-0.100688425332
ACH-000189,-0.29039861952
ACH-000190,-0.16980391009799997
ACH-000198,-0.174261786487
ACH-000204,-0.409933569063
ACH-000206,-0.264349994851
