,IL6ST (3572)
ACH-000004,-0.0305340615216
ACH-000007,-0.0603516317884
ACH-000009,0.019416407600099998
ACH-000011,0.0110045644266
ACH-000012,-0.38897436640199995
ACH-000013,-0.052039197650499996
ACH-000014,0.38815424308700003
ACH-000015,-0.19346490021600002
ACH-000017,-0.0125350720734
ACH-000018,-0.256290411647
ACH-000019,-0.0900058610657
ACH-000021,0.025525080824599998
ACH-000022,-0.162322571211
ACH-000025,0.10690067968599999
ACH-000028,-0.151533968046
ACH-000030,-0.11167749800799999
ACH-000035,-0.174872534781
ACH-000036,-0.025685389971699998
ACH-000037,0.013158173914700002
ACH-000039,-0.134319704491
ACH-000040,0.0057667371063
ACH-000041,-0.0181461044413
ACH-000042,-0.0866023227441
ACH-000045,-0.111511737933
ACH-000047,-0.07682918557519999
ACH-000052,0.07183768328710001
ACH-000053,-0.0331827212047
ACH-000054,-0.147964651555
ACH-000055,0.0863716436429
ACH-000060,-0.018837504661
ACH-000067,-0.125296155296
ACH-000070,0.054759818673099994
ACH-000075,-0.105974834397
ACH-000078,-0.16931710437199998
ACH-000082,-0.41621583708400006
ACH-000085,-0.161111466359
ACH-000086,-0.0667725891909
ACH-000087,-0.274436513187
ACH-000092,-0.39239155558
ACH-000095,0.0702280505947
ACH-000097,-0.08689238319
ACH-000098,-0.17028457854499998
ACH-000099,0.0438488707933
ACH-000108,-0.07010964003510001
ACH-000113,-0.0509635072641
ACH-000115,0.020859645093900002
ACH-000116,-0.0373326301401
ACH-000118,0.0279532798137
ACH-000120,-0.227884757603
ACH-000123,-0.177091149212
ACH-000127,0.045068127542
ACH-000128,-0.057808750376
ACH-000132,-0.17677836756700002
ACH-000133,-0.201508345011
ACH-000137,-0.232849703383
ACH-000138,-0.0514498578002
ACH-000142,-0.050478777040099995
ACH-000143,-0.0209385451736
ACH-000146,-0.0739842613794
ACH-000148,-0.115783473243
ACH-000150,-0.127304525987
ACH-000152,0.011042281565000001
ACH-000153,-0.176716402753
ACH-000159,0.05428637476369999
ACH-000160,-0.114565461893
ACH-000163,-0.22450808909000003
ACH-000167,-0.0947611791567
ACH-000168,-0.239151485708
ACH-000169,-0.09797606219900001
ACH-000178,-0.0609929653325
ACH-000182,-0.11069164609200001
ACH-000183,-0.200589508484
ACH-000188,0.018957623793200002
ACH-000189,0.000569009067609
ACH-000190,-0.143622703995
ACH-000198,-0.0871844048584
ACH-000204,0.13412108215
ACH-000206,-0.52807261756
ACH-000207,-0.177148826564
ACH-000211,0.105474406171
ACH-000215,0.05378134708599999
ACH-000221,0.110393630188
ACH-000222,-0.0664247989778
ACH-000223,-0.00571399567214
ACH-000226,-0.130437480773
ACH-000227,-0.21017707249899997
ACH-000228,-0.273576248791
ACH-000231,-0.0160909166523
ACH-000232,-0.29096033803800003
ACH-000233,0.112257085812
ACH-000234,-0.019892596437
ACH-000235,-0.173064836209
ACH-000237,-0.14839317718699999
ACH-000238,-0.0746175820572
ACH-000243,-0.122019000523
ACH-000244,-0.165722596811
ACH-000246,0.0348521069074
ACH-000248,-0.211932786776
ACH-000250,-0.141795358425
ACH-000251,0.174663274568
ACH-000253,-0.08447643495200001
ACH-000255,-0.303425571763
ACH-000256,-0.143039356967
ACH-000257,-0.046849439697699995
ACH-000258,0.107102703716
ACH-000259,-0.104333426449
ACH-000260,-0.12004964741100001
ACH-000261,-0.205986582544
ACH-000262,0.106088512392
ACH-000263,-0.0498616455621
ACH-000264,-0.09747325471789998
ACH-000265,-0.0651691252324
ACH-000266,-0.13264564525
ACH-000272,-0.217867300324
ACH-000273,-0.0856220987996
ACH-000274,-0.17872217668200002
ACH-000277,-0.015260896785500001
ACH-000278,-0.247153576677
ACH-000279,-0.22870246066999997
ACH-000280,-0.11306060312999999
ACH-000281,0.0344297201306
ACH-000288,-0.108421323335
ACH-000291,-0.3043932327
ACH-000293,-0.0281277787721
ACH-000294,0.0342167247935
ACH-000295,-0.0814785080491
ACH-000296,-0.122620756965
ACH-000302,-0.0858293618464
ACH-000304,-0.0465864307233
ACH-000307,-0.161688622944
ACH-000308,0.140640820637
ACH-000310,-0.08154043799039999
ACH-000311,-0.05963359831830001
ACH-000312,-0.0735241430577
ACH-000315,0.0882227924913
ACH-000316,-0.341646333775
ACH-000317,0.0547280181986
ACH-000318,-0.39057103777400004
ACH-000319,-0.259093674918
ACH-000320,-0.184359802852
ACH-000322,-0.100693280594
