,NCKIPSD (51517)
ACH-000004,0.0490424268473
ACH-000007,-0.0360461760787
ACH-000009,-0.113226942893
ACH-000011,-0.0766169531093
ACH-000012,-0.08551042471550001
ACH-000013,-0.0004767992732930001
ACH-000014,-0.0375016511086
ACH-000015,-0.065742130532
ACH-000017,-0.0819765544716
ACH-000018,-0.413566977301
ACH-000019,-0.0485579503105
ACH-000021,-0.129926565618
ACH-000022,-0.0668960694957
ACH-000025,-0.183314986545
ACH-000028,0.00358708837038
ACH-000030,-0.0557608895844
ACH-000035,0.04367142078319999
ACH-000036,-0.0747071184189
ACH-000037,-0.028798256565400002
ACH-000039,-0.08430802635029999
ACH-000040,0.0547719446384
ACH-000041,-0.09482481119750001
ACH-000042,-0.262886804061
ACH-000045,-0.03888557516630001
ACH-000047,-0.142020263241
ACH-000052,-0.0167107784302
ACH-000053,-0.162709257155
ACH-000054,-0.194480635689
ACH-000055,-0.0956434496107
ACH-000060,-0.23776190670800001
ACH-000067,-0.10695442375499999
ACH-000070,0.0687052106752
ACH-000075,-0.04765131800559999
ACH-000078,-0.108774308932
ACH-000082,-0.0563958630993
ACH-000085,0.138914381734
ACH-000086,-0.206453666481
ACH-000087,-0.244171124413
ACH-000092,0.04811557655069999
ACH-000095,-0.0648331985422
ACH-000097,0.008163926651210001
ACH-000098,-0.10991904694299999
ACH-000099,0.0293662595634
ACH-000108,0.0922363954235
ACH-000113,-0.005748440899539999
ACH-000115,0.0798087155472
ACH-000116,-0.0597896958713
ACH-000118,-0.151987937198
ACH-000120,-0.144961871869
ACH-000123,-0.118178867969
ACH-000127,-0.0166202520511
ACH-000128,-0.312797649461
ACH-000132,-0.00781445915194
ACH-000133,-0.0377294833181
ACH-000137,-0.176858766399
ACH-000138,-0.083718763285
ACH-000142,-0.06205579612769999
ACH-000143,-0.10750060450099999
ACH-000146,-0.0716810408182
ACH-000148,-0.117260021977
ACH-000150,-0.115637287167
ACH-000152,-0.222489419482
ACH-000153,-0.09654818104289999
ACH-000159,-0.21351260513300002
ACH-000160,0.0031622473817600003
ACH-000163,-0.031313437266099996
ACH-000167,-0.454978654508
ACH-000168,-0.00280691330481
ACH-000169,-0.0246844377939
ACH-000178,0.048563417154
ACH-000182,-0.0930672350475
ACH-000183,0.0431669402255
ACH-000188,-0.0339771451339
ACH-000189,-0.0187994159859
ACH-000190,-0.109725706018
ACH-000198,-0.12172618010700001
ACH-000204,-0.316968206688
ACH-000206,0.37690059707699997
ACH-000207,-0.421938490871
ACH-000211,-0.168132006566
ACH-000215,0.0330588060045
ACH-000221,-0.0243921522031
ACH-000222,-0.225751501006
ACH-000223,0.009493794487329999
ACH-000226,0.0366013373055
ACH-000227,-0.128758424388
ACH-000228,-0.339824516627
ACH-000231,-0.0773188267842
ACH-000232,-0.0315910562432
ACH-000233,-0.0824134897104
ACH-000234,0.0923037510971
ACH-000235,-0.1495071457
ACH-000237,-0.07844351449880001
ACH-000238,-0.255443397833
ACH-000243,-0.157680104181
ACH-000244,-0.120318968514
ACH-000246,-0.22544571723999998
ACH-000248,0.0423879515646
ACH-000250,-0.126391117743
ACH-000251,0.0339648965334
ACH-000253,0.026190346022799998
ACH-000255,-0.0738369099973
ACH-000256,0.10760007540699999
ACH-000257,0.113744941964
ACH-000258,-0.491286083398
ACH-000259,-0.08908887192019999
ACH-000260,-0.140706795101
ACH-000261,-0.04570747167880001
ACH-000262,-0.43837325447700004
ACH-000263,-0.369886401392
ACH-000264,-0.0660758949174
ACH-000265,-0.14722092500700001
ACH-000266,-0.0902462402083
ACH-000272,-0.040608161466
ACH-000273,-0.0467995005459
ACH-000274,-0.16451090582900002
ACH-000277,-0.0446550907453
ACH-000278,-0.053433006399400004
ACH-000279,-0.0339124125073
ACH-000280,-0.279443848365
ACH-000281,-0.26981327696999996
ACH-000288,-0.101657122825
ACH-000291,-0.210945965126
ACH-000293,-0.148017625548
ACH-000294,-0.14876850776699999
ACH-000295,-0.312910825304
ACH-000296,-0.13143782029999998
ACH-000302,-0.142003036951
ACH-000304,-0.149695626371
ACH-000307,-0.082108546262
ACH-000308,-0.0295096941823
ACH-000310,-0.0535881429231
ACH-000311,-0.105540675052
ACH-000312,-0.00932084082363
ACH-000315,-0.450136149564
ACH-000316,-0.135611350672
ACH-000317,0.0391393426893
ACH-000318,-0.07733498969330001
ACH-000319,-0.030864894549699998
ACH-000320,-0.14824563931
ACH-000322,-0.051360695447000004
ACH-000323,-0.061901370642499995
ACH-000324,-0.0251133185542
ACH-000329,0.04267967153609999
ACH-000330,0.0315510227165
ACH-000331,0.125463169105
ACH-000332,-0.15111076960300002
ACH-000334,-0.054831775642
ACH-000335,-0.0253835170022
ACH-000336,0.0253067252751
ACH-000337,0.130307818878
ACH-000339,-0.101712425186
ACH-000341,-0.13816962639799998
ACH-000348,-0.0532876548841
ACH-000350,-0.12892863136
ACH-000352,-0.0658684349969
ACH-000356,-0.12062916305
ACH-000361,-0.151499864697
ACH-000362,-0.0395311716331
ACH-000363,-0.0310036754935
ACH-000364,-0.32008399687100003
ACH-000365,-0.153586384165
ACH-000366,-0.15661352005999998
ACH-000368,-0.0816325796402
ACH-000374,-0.22133696693799998
ACH-000375,-0.19473223716600002
ACH-000376,-0.029656910123099997
ACH-000381,-0.325486798351
ACH-000383,-0.190158880236
ACH-000387,-0.181958845788
ACH-000389,-0.07800359182130001
ACH-000390,-0.142523427347
ACH-000393,-0.169637992379
ACH-000395,-0.284909600544
ACH-000397,-0.111600646441
ACH-000401,-0.127837331947
ACH-000402,-0.34364715402199997
ACH-000403,-0.12298427103199999
ACH-000404,-0.015758275861799998
ACH-000406,-0.137767504152
ACH-000407,-0.23472496817299998
ACH-000408,-0.19118681266100002
