,RAD21L1 (642636)
ACH-000004,-0.261468153833
ACH-000007,0.018788221376799998
ACH-000009,-0.17487499814500002
ACH-000011,-0.34204753353399997
ACH-000012,-0.16864983542599998
ACH-000013,-0.21134968326900003
ACH-000014,-0.24887624685499998
ACH-000015,-0.12481085173900001
ACH-000017,-0.380403934107
ACH-000018,-0.36022806332400004
ACH-000019,-0.12345715385299999
ACH-000021,-0.09400353333889999
ACH-000022,-0.141073305791
ACH-000025,-0.10456710358799999
ACH-000028,-0.20018097799600001
ACH-000030,-0.198742314648
ACH-000035,-0.05737234094819999
ACH-000036,-0.297317236473
ACH-000037,-0.244557606311
ACH-000039,-0.334729294211
ACH-000040,-0.37182347653000003
ACH-000041,-0.21682432206799998
ACH-000042,-0.327100201114
ACH-000045,-0.201184895059
ACH-000047,-0.245880568457
ACH-000052,-0.20655605378199998
ACH-000053,-0.11750678055500001
ACH-000054,-0.218860843092
ACH-000055,-0.199193485434
ACH-000060,-0.28693709592300004
ACH-000067,-0.292444391455
ACH-000070,-0.15729848388599998
ACH-000075,0.035967427200800005
ACH-000078,-0.127099645342
ACH-000082,-0.307178080768
ACH-000085,-0.25007854255899997
ACH-000086,-0.159927732636
ACH-000087,-0.292742630902
ACH-000092,-0.17036841817
ACH-000095,-0.17100336789
ACH-000097,-0.272181794466
ACH-000098,-0.22791637187199998
ACH-000099,-0.145592270722
ACH-000108,-0.120062008299
ACH-000113,-0.244942131226
ACH-000115,-0.21032383980799998
ACH-000116,-0.07656226238139999
ACH-000118,-0.154193671941
ACH-000120,-0.144800889578
ACH-000123,-0.241857718381
ACH-000127,-0.195853580942
ACH-000128,0.0552132916457
ACH-000132,-0.153532366506
ACH-000133,-0.10522832666300001
ACH-000137,-0.164302543682
ACH-000138,-0.18909577115899998
ACH-000142,-0.12008721231799999
ACH-000143,-0.24338191477899998
ACH-000146,-0.190336416514
ACH-000148,-0.206166416383
ACH-000150,-0.30949122820700004
ACH-000152,-0.261215775328
ACH-000153,-0.343020912919
ACH-000159,-0.19295718261300002
ACH-000160,-0.253139558832
ACH-000163,-0.15086198133099998
ACH-000167,-0.23461472916099999
ACH-000168,-0.41787332658799997
ACH-000169,-0.166298418398
ACH-000178,-0.24161547989799997
ACH-000182,-0.203733360816
ACH-000183,-0.160803992757
ACH-000188,-0.0989188820511
ACH-000189,-0.39144705291799997
ACH-000190,-0.0512272733995
ACH-000198,-0.170208868583
ACH-000204,-0.212650796758
ACH-000206,-0.147245982882
ACH-000207,-0.20058407832800002
