,UBE2I (7329)
ACH-000004,-0.841872370359
ACH-000007,-1.12143428706
ACH-000009,-1.1161876895799998
ACH-000011,-0.7774422600990001
ACH-000012,-0.961913397987
ACH-000013,-0.922410138002
ACH-000014,-0.839413127364
ACH-000015,-1.1836896129
ACH-000017,-0.587022882233
ACH-000018,-1.36138043926
ACH-000019,-1.02507119206
ACH-000021,-1.0646929594399999
ACH-000022,-0.9243970982140001
ACH-000025,-0.940780420324
ACH-000028,-0.9933227043330001
ACH-000030,-0.8194864651629999
ACH-000035,-0.8920168672319999
ACH-000036,-0.743247354778
ACH-000037,-0.917547593841
ACH-000039,-1.29339213335
ACH-000040,-0.8777274263529999
ACH-000041,-1.15680593063
ACH-000042,-0.949918280975
ACH-000045,-0.948711605851
ACH-000047,-0.918009707878
ACH-000052,-1.08800290544
ACH-000053,-0.564725208921
ACH-000054,-1.24623015481
ACH-000055,-0.932813486558
ACH-000060,-1.0672988756
ACH-000067,-1.3748125614200002
ACH-000070,-0.6876232195730001
ACH-000075,-0.889220223929
ACH-000078,-1.19636987787
ACH-000082,-1.10885328986
ACH-000085,-1.18251742299
ACH-000086,-1.12491100573
ACH-000087,-1.0932848122499998
ACH-000092,-1.2239784205500002
ACH-000095,-1.2005616552399998
ACH-000097,-0.616534014119
ACH-000098,-1.14455538652
ACH-000099,-1.2201262097799999
ACH-000108,-0.943431460702
ACH-000113,-1.0953153982200001
ACH-000115,-1.1239530601799999
ACH-000116,-0.9672116467749999
ACH-000118,-0.809997666638
ACH-000120,-0.995918023752
ACH-000123,-1.13701958762
ACH-000127,-1.14104255427
ACH-000128,-1.05592666497
ACH-000132,-0.985819200228
ACH-000133,-1.10336678669
ACH-000137,-0.882718511936
ACH-000138,-1.0273578503
ACH-000142,-0.953432132219
ACH-000143,-1.30159664145
ACH-000146,-0.907068848733
ACH-000148,-1.18994639483
ACH-000150,-0.9198877263349999
ACH-000152,-1.0662823884100001
ACH-000153,-1.16554797724
ACH-000159,-1.16154996722
ACH-000160,-0.414793602622
ACH-000163,-0.812025802853
ACH-000167,-0.7217989843029999
ACH-000168,-0.930611864377
ACH-000169,-1.12923059448
ACH-000178,-0.9393806026279999
ACH-000182,-1.01325123021
ACH-000183,-0.906649763107
ACH-000188,-1.0910580548200002
ACH-000189,-1.06176749168
ACH-000190,-0.377801768443
ACH-000198,-0.8624227852519999
ACH-000204,-0.8423520971680001
ACH-000206,-0.731352758214
ACH-000207,-0.6899891936139999
ACH-000211,-1.30310579617
ACH-000215,-1.23852725858
ACH-000221,-1.38737690256
ACH-000222,-0.912587028019
ACH-000223,-0.8232834073049999
ACH-000226,-0.955740225131
ACH-000227,-1.40677750612
ACH-000228,-0.7063971980689999
ACH-000231,-0.975825767709
ACH-000232,-1.25206876543
ACH-000233,-0.9482593680149999
ACH-000234,-1.1960272943299999
ACH-000235,-1.18994296881
ACH-000237,-0.9681349415070001
ACH-000238,-0.95773547957
ACH-000243,-0.9751969818680001
ACH-000244,-0.9292315103479999
ACH-000246,-1.1185419978
ACH-000248,-1.04692042162
ACH-000250,-1.29251192844
ACH-000251,-1.0896128727
ACH-000253,-1.18708920386
