,CTSF (8722)
ACH-000004,-0.158889724173
ACH-000007,-0.329221209185
ACH-000009,-0.12368796912
ACH-000011,-0.25567567953299997
ACH-000012,-0.27296675546
ACH-000013,-0.29570522695
ACH-000014,-0.23265644026500001
ACH-000015,-0.10015183764699999
ACH-000017,-0.113216218797
ACH-000018,-0.391731523668
ACH-000019,-0.18678680929699998
ACH-000021,-0.257166873186
ACH-000022,-0.18536220232099998
ACH-000025,-0.24382605466200002
ACH-000028,-0.309349126854
ACH-000030,-0.34779521185900003
ACH-000035,0.0665159587116
ACH-000036,-0.19590075403999999
ACH-000037,-0.381112891273
ACH-000039,-0.49431764353
ACH-000040,-0.27325034022399997
ACH-000041,-0.30758747582400003
ACH-000042,-0.43790600370800004
ACH-000045,-0.583316478746
ACH-000047,-0.24774697469300003
ACH-000052,-0.0826595285501
ACH-000053,-0.264877227455
ACH-000054,-0.29497579873199997
ACH-000055,-0.289469759525
ACH-000060,-0.381056698348
ACH-000067,-0.0843069541867
ACH-000070,-0.137086713124
ACH-000075,-0.280796967488
ACH-000078,-0.168617651461
ACH-000082,-0.395300381562
ACH-000085,-0.0683316871389
ACH-000086,-0.36312524454499995
ACH-000087,-0.322134079295
ACH-000092,-0.358324094445
ACH-000095,-0.330466135569
ACH-000097,-0.48637560679499997
ACH-000098,-0.201260469164
ACH-000099,-0.292618780412
ACH-000108,-0.24578074965399999
ACH-000113,-0.20426469464699998
ACH-000115,-0.522704191895
ACH-000116,-0.25096401566599996
ACH-000118,-0.44284425261999993
ACH-000120,-0.114789925669
ACH-000123,-0.215680962038
ACH-000127,-0.189397426351
ACH-000128,-0.00458230414816
ACH-000132,-0.580857328588
ACH-000133,-0.111061162821
ACH-000137,-0.48228975586
ACH-000138,-0.336486075107
ACH-000142,-0.273638723634
ACH-000143,-0.156236519383
ACH-000146,-0.23924656026000002
ACH-000148,-0.13299598284000003
ACH-000150,-0.196021881978
ACH-000152,-0.323962489806
ACH-000153,-0.633682127193
ACH-000159,-0.06651165952890001
ACH-000160,-0.433080357711
ACH-000163,-0.307534936343
ACH-000167,-0.20308425502099997
ACH-000168,-0.128042231847
ACH-000169,-0.17885121441799998
ACH-000178,-0.357257849506
ACH-000182,-0.137821679155
ACH-000183,-0.10947225394000001
ACH-000188,-0.462248186888
ACH-000189,-0.329506951019
ACH-000190,-0.168911776747
ACH-000198,-0.29650893266999995
ACH-000204,-0.340725585872
ACH-000206,-0.0561372550711
ACH-000207,-0.41304855719899997
ACH-000211,-0.31407426782299996
ACH-000215,-0.14146654232699998
ACH-000221,-0.362690359373
ACH-000222,-0.321826129675
ACH-000223,-0.283884775971
ACH-000226,-0.378167175207
ACH-000227,-0.331604981196
ACH-000228,-0.338590601346
ACH-000231,-0.36945688858000003
ACH-000232,-0.090170518277
ACH-000233,-0.0702470637438
ACH-000234,-0.253711438186
ACH-000235,-0.27244905645
ACH-000237,-0.47254120663800003
ACH-000238,-0.261609493263
ACH-000243,-0.115224003509
ACH-000244,-0.0496650110405
ACH-000246,-0.26881214841699996
ACH-000248,-0.272503409952
ACH-000250,-0.216549293528
ACH-000251,-0.359655238082
ACH-000253,-0.177328511674
ACH-000255,-0.424098815092
ACH-000256,-0.21568769082199998
ACH-000257,0.203517317635
ACH-000258,0.0555882429234
ACH-000259,-0.198956027399
ACH-000260,-0.317606172432
ACH-000261,-0.364687259345
ACH-000262,-0.516508599635
ACH-000263,-0.517046953712
ACH-000264,-0.241072573435
ACH-000265,-0.26514772644699997
ACH-000266,-0.262511808305
ACH-000272,-0.148080505409
ACH-000273,-0.281025884073
ACH-000274,-0.137391174252
ACH-000277,-0.486799009176
ACH-000278,-0.610471165315
ACH-000279,-0.116315578809
ACH-000280,-0.128844303799
ACH-000281,-0.226477080134
ACH-000288,-0.17517976243500002
ACH-000291,-0.192926307533
ACH-000293,-0.20711753217599999
ACH-000294,-0.318534956344
ACH-000295,-0.414653166211
ACH-000296,0.135692955441
ACH-000302,-0.151933758385
ACH-000304,0.018881106908900002
ACH-000307,-0.286911520325
ACH-000308,-0.24952430659400002
ACH-000310,-0.613204114695
ACH-000311,-0.232847680964
ACH-000312,-0.235562819725
ACH-000315,-0.623882260335
ACH-000316,-0.515508439199
ACH-000317,-0.206496723141
ACH-000318,-0.657179386966
ACH-000319,-0.283265837377
ACH-000320,-0.23098961311799998
ACH-000322,0.0922387313219
ACH-000323,-0.24429772696199997
ACH-000324,-0.420716626952
ACH-000329,-0.164967855546
ACH-000330,-0.48527723409999995
ACH-000331,-0.398254608996
ACH-000332,-0.305887014181
ACH-000334,-0.33276795090100003
ACH-000335,-0.348674130848
ACH-000336,-0.45108286661700003
ACH-000337,-0.389923343612
ACH-000339,-0.306306487456
ACH-000341,-0.210220939498
ACH-000348,0.0220246380453
ACH-000350,-0.412591322549
ACH-000352,-0.223195231376
ACH-000356,-0.239960774685
ACH-000361,-0.37680266183399996
ACH-000362,-0.21916236699900002
ACH-000363,-0.282664569078
ACH-000364,-0.36819788119
ACH-000365,-0.34804824793000005
ACH-000366,-0.521794510653
ACH-000368,-0.21496906223700002
ACH-000374,-0.433541230334
ACH-000375,-0.0513779504108
ACH-000376,-0.261720784012
ACH-000381,-0.249322848897
ACH-000383,-0.315442072867
ACH-000387,-0.282117839837
ACH-000389,-0.310421108073
ACH-000390,-0.276401755395
ACH-000393,-0.42305432232
ACH-000395,-0.304947021961
ACH-000397,-0.195978172438
ACH-000401,-0.33148588055100003
ACH-000402,-0.402211856818
ACH-000403,-0.281621924918
ACH-000404,-0.392573600216
ACH-000406,-0.263629342727
