,GPR89A (653519)
ACH-000004,0.06886373643239999
ACH-000007,-0.533534329494
ACH-000009,-0.43276719289099996
ACH-000011,-0.765748417729
ACH-000012,-0.682944576784
ACH-000013,-0.46250097105899995
ACH-000014,-0.7527279642679999
ACH-000015,-0.680147040344
ACH-000017,0.161472626655
ACH-000018,-0.719913935463
ACH-000019,-0.7016915947969999
ACH-000021,-0.465248660238
ACH-000022,-0.35342829714100005
ACH-000025,-0.6745176371539999
ACH-000028,-0.603381373203
ACH-000030,-0.758235288339
ACH-000035,-0.555372873503
ACH-000036,-0.864714214281
ACH-000037,-0.613180193674
ACH-000039,-0.169695420861
ACH-000040,-0.848733526365
ACH-000041,-0.041824200157199995
ACH-000042,-0.589657160221
ACH-000045,-0.6870401419580001
ACH-000047,-0.27341529555300004
ACH-000052,-0.46666374057800003
ACH-000053,-0.186023487154
ACH-000054,-0.748199347131
ACH-000055,0.0883173596295
ACH-000060,0.034894817724300004
ACH-000067,-0.808788980748
ACH-000070,-0.314832175704
ACH-000075,-0.773015973919
ACH-000078,-0.361415209978
ACH-000082,-0.09752946104389999
ACH-000085,-0.146246175012
ACH-000086,-0.8763454159720001
ACH-000087,-0.569976844369
ACH-000092,-0.919616077201
ACH-000095,-0.0747124723758
ACH-000097,-0.184244793593
ACH-000098,-1.0346887572799999
ACH-000099,-0.27693520309999997
ACH-000108,-0.656091458739
ACH-000113,-0.255617336871
ACH-000115,-0.331593880099
ACH-000116,-0.240643178718
ACH-000118,-0.604753959781
ACH-000120,-0.482425542084
ACH-000123,-0.578280356988
ACH-000127,-0.776451480024
ACH-000128,-0.543998317769
ACH-000132,-0.28595545772799996
ACH-000133,-0.754057994276
ACH-000137,-0.21999780924000004
ACH-000138,0.0346885800563
ACH-000142,-0.578660229526
ACH-000143,-0.588703926945
ACH-000146,-0.19885191898200003
ACH-000148,-0.7723353622579999
ACH-000150,-0.425996035971
ACH-000152,-0.742258899489
ACH-000153,-0.560714511257
ACH-000159,-0.476570773068
ACH-000160,-0.17966419759500002
ACH-000163,-0.7188191443459999
ACH-000167,-0.487739041924
ACH-000168,-0.276253023965
ACH-000169,-0.37258488481799995
ACH-000178,-0.149460004399
ACH-000182,-0.264309717478
ACH-000183,-0.633784219077
ACH-000188,-0.287212661473
ACH-000189,-0.737631674376
ACH-000190,-0.655811328888
ACH-000198,-0.635581803602
ACH-000204,-0.74340056273
ACH-000206,-0.420283018221
ACH-000207,-0.167892098136
ACH-000211,-0.07267578377560001
ACH-000215,-0.106608793847
ACH-000221,-0.26374519443000005
ACH-000222,-0.668860583811
ACH-000223,-0.6728595407919999
ACH-000226,-0.112340624815
ACH-000227,-0.054974309606099996
ACH-000228,-0.123047855552
ACH-000231,-0.337582718196
ACH-000232,-0.627497181169
ACH-000233,-0.336288179968
ACH-000234,-0.39554476953199996
ACH-000235,0.027845148331599998
ACH-000237,-0.763194005448
ACH-000238,-0.441432781422
ACH-000243,-0.801068321046
ACH-000244,-0.8790349796700001
ACH-000246,-0.741825475164
ACH-000248,-0.28111603101
ACH-000250,-0.909290245758
ACH-000251,-0.5136320648520001
ACH-000253,-0.13677011275999998
ACH-000255,-0.222154094543
ACH-000256,-0.430303985638
ACH-000257,-0.226024633792
ACH-000258,-0.44847346821999995
ACH-000259,-0.0809932326182
ACH-000260,-0.11946978929000002
ACH-000261,-0.19424799630399997
ACH-000262,-0.398681500124
ACH-000263,0.0220288375153
ACH-000264,-0.169251667676
ACH-000265,-0.55505650962
ACH-000266,-0.114077336168
ACH-000272,-0.642640148926
ACH-000273,-0.802059463632
ACH-000274,0.10299850656
ACH-000277,-0.034336008715800004
ACH-000278,-0.31877295387
ACH-000279,-0.280437560447
ACH-000280,-0.125814579627
ACH-000281,0.0358224326673
ACH-000288,-0.237889377749
ACH-000291,-0.304298068698
ACH-000293,-0.486306209687
ACH-000294,-0.40445801345
ACH-000295,-0.721340307826
ACH-000296,-0.6044224681360001
ACH-000302,-0.325526402083
ACH-000304,-0.06977876218
ACH-000307,-0.322298927687
ACH-000308,-0.371930145168
ACH-000310,-0.265953482819
ACH-000311,-0.521313022204
ACH-000312,-0.309858603427
ACH-000315,-0.290656288707
ACH-000316,-0.6760193446100001
ACH-000317,-0.591492793983
ACH-000318,-0.405835173638
ACH-000319,-0.281685143542
ACH-000320,-0.6729000123810001
ACH-000322,-0.34005404486699997
ACH-000323,-0.462759828279
ACH-000324,-0.344427207429
ACH-000329,-0.41407023054700004
ACH-000330,-0.482868556738
ACH-000331,-0.880100856864
ACH-000332,-0.7472039876150001
ACH-000334,-0.230363340634
ACH-000335,-0.383347774201
ACH-000336,-0.465933361623
ACH-000337,-0.409729731731
ACH-000339,-0.46340597190800004
ACH-000341,-0.57493967209
ACH-000348,-0.607163250328
ACH-000350,-0.064319990846
ACH-000352,-0.12771439254699998
ACH-000356,-0.681268983754
ACH-000361,-0.479904649882
ACH-000362,-0.49215719156099996
ACH-000363,-0.540956178944
ACH-000364,-0.381198585897
ACH-000365,-0.157159771756
ACH-000366,-0.36400060100599996
ACH-000368,-0.711227828032
ACH-000374,-0.890970642599
ACH-000375,-0.6861358802249999
ACH-000376,-0.994122351455
ACH-000381,-0.510522179096
ACH-000383,-0.133544505922
ACH-000387,-0.08687640106200001
ACH-000389,-0.499675495047
ACH-000390,-0.179212943147
ACH-000393,-0.479535783552
ACH-000395,-0.668674212656
ACH-000397,-0.8533667256649999
ACH-000401,-0.291345900295
ACH-000402,-0.399932051022
ACH-000403,-0.16227562834200002
ACH-000404,-1.1183671991700002
ACH-000406,-0.144917869615
ACH-000407,-0.299465200815
ACH-000408,-0.490695655069
ACH-000410,-0.223960271549
ACH-000411,-0.6841151233830001
ACH-000414,-0.49615296314499996
ACH-000415,-0.7130236151620001
ACH-000416,-0.200672402014
ACH-000420,-0.060313586891
ACH-000421,-0.5643715583919999
ACH-000424,-0.42325272415
ACH-000425,-0.865077973912
ACH-000426,-0.390692864073
ACH-000427,-0.233590897947
