,FCER1A (2205)
ACH-000004,0.0977159374072
ACH-000007,0.137512990958
ACH-000009,0.000924572256415
ACH-000011,0.265289111381
ACH-000012,0.0880525500575
ACH-000013,0.0715798090073
ACH-000014,-0.0750184425561
ACH-000015,-0.046509885678900006
ACH-000017,0.021418788448
ACH-000018,-0.0988531923892
ACH-000019,-0.17454662750500002
ACH-000021,0.04389774949019999
ACH-000022,0.0626477347747
ACH-000025,-0.0761137861944
ACH-000028,-0.0469160626117
ACH-000030,0.0336135108414
ACH-000035,-0.153329437906
ACH-000036,0.052692616883
ACH-000037,0.14723885908700002
ACH-000039,0.163015280518
ACH-000040,0.10228472741900001
ACH-000041,0.146662175543
ACH-000042,0.0874938902075
ACH-000045,0.194991380298
ACH-000047,0.0579491357844
ACH-000052,0.11602249589199999
ACH-000053,0.0708726441443
ACH-000054,-0.0263400875696
ACH-000055,0.174045018289
ACH-000060,0.166743349744
ACH-000067,0.184159796446
ACH-000070,0.0921690293794
ACH-000075,-0.135515935521
ACH-000078,0.17586308423900002
ACH-000082,0.05821806423669999
ACH-000085,0.230321457408
ACH-000086,-0.17272398136199998
ACH-000087,-0.0598665553266
ACH-000092,-0.0238229158508
ACH-000095,0.10649759592800001
ACH-000097,0.09920910653339998
ACH-000098,-0.0458629821694
ACH-000099,0.012286590100499999
ACH-000108,-0.0205742514244
ACH-000113,0.117116264551
ACH-000115,-0.024454223785200003
ACH-000116,-0.0024195866120900003
ACH-000118,-0.00482522220387
ACH-000120,0.151930457752
ACH-000123,0.0762692313211
ACH-000127,-0.033428871885700005
ACH-000128,0.0907176068685
ACH-000132,0.123046110602
ACH-000133,0.0917557394969
ACH-000137,0.293162024172
ACH-000138,0.019849264319299998
ACH-000142,0.019479717171700002
ACH-000143,0.08823045568669999
ACH-000146,0.0417434209148
ACH-000148,-0.044120048188699995
ACH-000150,0.10790008391799999
ACH-000152,0.199145906649
ACH-000153,-0.0157281892235
ACH-000159,-0.0521273516041
ACH-000160,-0.143454926248
ACH-000163,-0.075487449687
ACH-000167,-0.25096066851599996
ACH-000168,0.315672991114
ACH-000169,0.23691349265500003
ACH-000178,-0.09958590552510001
ACH-000182,-0.020544460175099998
ACH-000183,0.0789248111273
ACH-000188,0.101492908362
ACH-000189,0.248658966248
ACH-000190,-0.12115566829600001
ACH-000198,0.115290170791
ACH-000204,-0.43750562120700004
ACH-000206,-0.143063652582
ACH-000207,0.0339419216659
ACH-000211,-0.00191372999469
ACH-000215,0.056185726063299996
ACH-000221,0.06004936612919999
ACH-000222,-0.0783717951652
ACH-000223,-0.0155498938233
ACH-000226,0.044139241654500005
ACH-000227,-0.051190137405500005
ACH-000228,0.10093824976
ACH-000231,0.0316771480245
