,COX5A (9377)
ACH-000004,-0.429950741096
ACH-000007,-0.661388709238
ACH-000009,-0.8293756337379999
ACH-000011,-0.558641630671
ACH-000012,-0.767095753688
ACH-000013,-0.597898332625
ACH-000014,-0.8025509262459999
ACH-000015,-0.552610540277
ACH-000017,-0.631071672007
ACH-000018,-0.587691526001
ACH-000019,-0.673263189121
ACH-000021,-0.557156838018
ACH-000022,-0.44417036703999996
ACH-000025,-0.7670237127680001
ACH-000028,-0.47531714371000006
ACH-000030,-0.736739963222
ACH-000035,-0.5971678501659999
ACH-000036,-0.48856625947800003
ACH-000037,-0.766093314587
ACH-000039,-0.907623056769
ACH-000040,-0.592805394041
ACH-000041,-0.627249014312
ACH-000042,-0.6007187933560001
ACH-000045,-0.605390940467
ACH-000047,-0.7820269732100001
ACH-000052,-0.744504257441
ACH-000053,-0.573480932604
ACH-000054,-0.629980519587
ACH-000055,-0.563534853793
ACH-000060,-0.642481592902
ACH-000067,-0.617317980295
ACH-000070,-0.461623331299
ACH-000075,-0.38898649615900005
ACH-000078,-0.9188033212200001
ACH-000082,-0.765917703814
ACH-000085,-0.43978524378600004
ACH-000086,-0.542576045376
ACH-000087,-0.895724364365
ACH-000092,-0.862558044438
ACH-000095,-0.799461383372
ACH-000097,-0.635861518905
ACH-000098,-0.492877638135
ACH-000099,-0.787629822168
ACH-000108,-0.598280854068
ACH-000113,-0.698343966585
ACH-000115,-0.622179941379
ACH-000116,-0.802748921546
ACH-000118,-0.8686330617489999
ACH-000120,-0.539947502464
ACH-000123,-0.763784286163
ACH-000127,-0.783671712193
ACH-000128,-0.7462981961310001
ACH-000132,-0.7748075239650001
ACH-000133,-0.45523024171000004
ACH-000137,-0.777852313136
ACH-000138,-0.617570292618
ACH-000142,-0.530538183772
ACH-000143,-0.6733459703910001
ACH-000146,-0.8221980200300001
ACH-000148,-0.7509597808059999
ACH-000150,-0.699416681004
ACH-000152,-0.653244465279
ACH-000153,-0.48051895478
ACH-000159,-0.59418287552
ACH-000160,-0.7705089291509999
ACH-000163,-0.541421863152
ACH-000167,-0.625321150729
ACH-000168,-0.566352404702
ACH-000169,-0.73109329346
ACH-000178,-0.5954677396720001
ACH-000182,-0.8953120624750001
ACH-000183,-0.578884224807
ACH-000188,-0.498736465933
ACH-000189,-0.438805653866
ACH-000190,-0.623238609907
ACH-000198,-0.7192092871979999
ACH-000204,-0.742835213232
ACH-000206,-0.629340503175
ACH-000207,-0.457713501012
ACH-000211,-0.630641734526
ACH-000215,-0.59787407916
ACH-000221,-0.5945608451359999
ACH-000222,-0.479101980992
ACH-000223,-0.929564510046
