,UBE2J2 (118424)
ACH-000004,-0.153892929215
ACH-000007,-0.434728128603
ACH-000009,-0.753758131866
ACH-000011,-0.143068550933
ACH-000012,-0.436409779584
ACH-000013,-0.198693989249
ACH-000014,-0.7663335932009999
ACH-000015,-0.760162830608
ACH-000017,-0.5386485865730001
ACH-000018,-0.43249151755000004
ACH-000019,-0.492581428734
ACH-000021,-0.43811951444499997
ACH-000022,-0.319283302287
ACH-000025,-0.219060681549
ACH-000028,-0.39680260228
ACH-000030,-0.41808892955399996
ACH-000035,-0.268561407995
ACH-000036,-0.39829543380000004
ACH-000037,-0.353345954661
ACH-000039,-0.6654638284009999
ACH-000040,-0.446865473762
ACH-000041,-0.572847189106
ACH-000042,-0.685153442878
ACH-000045,-0.876449409166
ACH-000047,-0.448068880716
ACH-000052,-0.57263172875
ACH-000053,-0.35649627965999997
ACH-000054,-0.398738191956
ACH-000055,-0.32576137950999995
ACH-000060,-0.5646628451829999
ACH-000067,-0.376526280943
ACH-000070,-0.462621178371
ACH-000075,-0.442388576439
ACH-000078,-0.52767679838
ACH-000082,-0.232035003715
ACH-000085,-0.564918115742
ACH-000086,-0.521611424726
ACH-000087,-0.45594051413900005
ACH-000092,-0.588116002404
ACH-000095,-0.435275628238
ACH-000097,-0.333504489866
ACH-000098,-0.43493825042400003
ACH-000099,-0.342568918569
ACH-000108,-0.804651558493
ACH-000113,-0.793197425121
ACH-000115,-0.574624299853
ACH-000116,-0.318454833101
ACH-000118,-0.417784589567
ACH-000120,-0.806208274104
ACH-000123,-0.681967572677
ACH-000127,-0.452159151152
ACH-000128,-0.42847618965400003
ACH-000132,-0.36023328042900005
ACH-000133,-0.46500601536799996
ACH-000137,-0.22151659081099997
ACH-000138,-0.42695104215199997
ACH-000142,-0.255199973807
ACH-000143,-0.186380453479
ACH-000146,-0.862658574983
ACH-000148,-0.375119981659
ACH-000150,-0.693257392525
ACH-000152,-0.5067546524700001
ACH-000153,-0.38940849067199995
ACH-000159,-0.44316011438
ACH-000160,-0.42214166737
ACH-000163,-0.34238153376900005
ACH-000167,-0.289998217316
ACH-000168,-0.45600521322
ACH-000169,-0.34773767451300003
ACH-000178,-0.439849202465
ACH-000182,-0.21025598576699997
ACH-000183,-0.42040714238000004
ACH-000188,-0.539129029834
ACH-000189,-0.471175500768
ACH-000190,-0.198788031371
ACH-000198,-0.6123112296850001
ACH-000204,-0.712597673027
ACH-000206,-0.316187422282
ACH-000207,-0.668139628001
ACH-000211,-0.544944746399
ACH-000215,-0.705777688104
ACH-000221,-0.31196883936299996
ACH-000222,-0.475254275528
ACH-000223,-0.576649146013
ACH-000226,-0.6025730249600001
ACH-000227,-0.402176229301
ACH-000228,-0.341642667665
ACH-000231,-0.51543898291
ACH-000232,-0.319600639936
ACH-000233,-0.36140491294200006
ACH-000234,-0.38777318054
ACH-000235,-0.430213627907
ACH-000237,-0.368645862074
ACH-000238,-0.568666431322
ACH-000243,-0.38857658318300003
ACH-000244,-0.449891149604
ACH-000246,-0.50480802693
ACH-000248,-0.18033060096
ACH-000250,-0.330691046567
ACH-000251,-0.24022402161999998
ACH-000253,-0.427506636025
ACH-000255,-0.172394946892
ACH-000256,-0.844426359186
ACH-000257,-0.6932194228630001
ACH-000258,-0.522406941704
ACH-000259,-0.624054450789
ACH-000260,-0.330280736529
ACH-000261,-0.40773833322499997
ACH-000262,-0.31531260619600004
ACH-000263,-0.524862346139
