,IGSF9B (22997)
ACH-000004,0.012825940913499999
ACH-000007,0.14644240739800002
ACH-000009,-0.08021141603689999
ACH-000011,0.0344904114455
ACH-000012,-0.018963293986500002
ACH-000013,0.009424030755600001
ACH-000014,-0.020813155853400003
ACH-000015,0.07509901231669999
ACH-000017,0.013808547953299999
ACH-000018,0.0890360594599
ACH-000019,0.32875503436000003
ACH-000021,0.0826529043546
ACH-000022,-0.213418857254
ACH-000025,0.131191712224
ACH-000028,-0.0180222816413
ACH-000030,0.0322566531555
ACH-000035,0.0238976502031
ACH-000036,-0.057183123487
ACH-000037,-0.036670933500199995
ACH-000039,-0.0345839877164
ACH-000040,-0.00787959582795
ACH-000041,-0.33258687397799996
ACH-000042,0.114012077912
ACH-000045,0.00308290227334
ACH-000047,0.0878087322709
ACH-000052,0.17766231682
ACH-000053,-0.036687277115699996
ACH-000054,0.0282991412249
ACH-000055,0.17502052188099998
ACH-000060,0.0340555555843
ACH-000067,0.054493142625400004
ACH-000070,-0.17721801083099997
ACH-000075,-0.0796004161001
ACH-000078,0.10448260879
ACH-000082,0.146680070823
ACH-000085,0.13874448989
ACH-000086,0.0778582098462
ACH-000087,0.04875084569180001
ACH-000092,0.0811813805594
ACH-000095,0.0480342735623
ACH-000097,0.0673378726698
ACH-000098,0.0701427975583
ACH-000099,0.0528733215401
ACH-000108,-0.0177943304834
ACH-000113,-0.038224765084300005
ACH-000115,-0.0777965123125
ACH-000116,0.167133837148
ACH-000118,0.08486679373150001
ACH-000120,0.087962822125
ACH-000123,0.0786976019038
ACH-000127,-0.034560780675800006
ACH-000128,-0.10574092906600001
ACH-000132,-0.12421920401900001
ACH-000133,-0.0395032915746
ACH-000137,0.0273532989625
ACH-000138,-0.04972062512730001
ACH-000142,0.0908719423319
ACH-000143,0.0158221321592
ACH-000146,0.151440152603
ACH-000148,0.0800615748933
ACH-000150,-0.058443311635999994
ACH-000152,-0.049233108810900005
ACH-000153,0.0881667879848
ACH-000159,0.0202814901356
ACH-000160,0.00617752212799
ACH-000163,0.106500646292
ACH-000167,0.07744970531739999
ACH-000168,0.046261426858400005
ACH-000169,0.047245471683
ACH-000178,0.015379736984299999
ACH-000182,0.00044065650215300005
ACH-000183,0.019945615325
ACH-000188,-0.109497543387
ACH-000189,0.0346952235074
ACH-000190,0.242939002946
ACH-000198,0.0457030554634
ACH-000204,0.00811831646874
ACH-000206,0.213442420284
ACH-000207,0.119525782923
ACH-000211,-0.0218318094009
