,GLIPR1 (11010)
ACH-000004,-0.365220658495
ACH-000007,-0.15409074069599998
ACH-000009,-0.008348377202989999
ACH-000011,-0.319748370594
ACH-000012,-0.07246172475889999
ACH-000013,-0.0629131739443
ACH-000014,-0.0317848725952
ACH-000015,-0.150937953413
ACH-000017,-0.131150258952
ACH-000018,-0.22084418497900002
ACH-000019,0.08216774076510001
ACH-000021,-0.0956295851295
ACH-000022,-0.218909900639
ACH-000025,-0.190896507161
ACH-000028,-0.166214405828
ACH-000030,-0.13345349530300002
ACH-000035,0.00044776604149599994
ACH-000036,-0.141074235768
ACH-000037,-0.5010237884969999
ACH-000039,-0.059558670010199995
ACH-000040,-0.131965902685
ACH-000041,-0.117955581136
ACH-000042,-0.0631476262899
ACH-000045,-0.0420285017394
ACH-000047,0.0469478687782
ACH-000052,-0.300547034476
ACH-000053,-0.052727716488500005
ACH-000054,-0.164287587298
ACH-000055,-0.20473842985500001
ACH-000060,0.0770413632762
ACH-000067,-0.281166410987
ACH-000070,-0.0687192022953
ACH-000075,-0.0590156372756
ACH-000078,-0.18081657855099997
ACH-000082,-0.26066356861400003
ACH-000085,0.0549755501159
ACH-000086,-0.0921464650075
ACH-000087,-0.167911214397
ACH-000092,-0.268045482368
ACH-000095,-0.0437704465582
ACH-000097,-0.113428823707
ACH-000098,0.043520618702
ACH-000099,-0.0475325362928
ACH-000108,0.00513078576964
ACH-000113,0.0703476366149
ACH-000115,-0.0268615862351
ACH-000116,-0.12886516231200001
ACH-000118,0.024405463512400003
ACH-000120,-0.00796240605588
ACH-000123,0.0640142552197
ACH-000127,-0.13636562084
ACH-000128,-0.189251262889
ACH-000132,-0.0337701526874
ACH-000133,-0.162788240543
ACH-000137,-0.150567377042
ACH-000138,-0.12420196197000001
ACH-000142,-0.15571193272199998
ACH-000143,-0.0141616888698
ACH-000146,0.0792040487742
ACH-000148,-0.0752330622887
ACH-000150,-0.150483483442
ACH-000152,-0.205503853202
ACH-000153,-0.0178306099151
ACH-000159,-0.131498883475
ACH-000160,-0.18245123981199998
ACH-000163,-0.243582171427
ACH-000167,-0.5351826974889999
ACH-000168,-0.0420781143882
ACH-000169,-0.0759542051584
ACH-000178,-0.13856940359
ACH-000182,-0.06472655114959999
