,PRIM1 (5557)
ACH-000004,-1.58841927444
ACH-000007,-1.3601060319799998
ACH-000009,-1.50962340435
ACH-000011,-1.19355732528
ACH-000012,-1.42315959467
ACH-000013,-1.4155519991799999
ACH-000014,-1.2440728444
ACH-000015,-1.15857129668
ACH-000017,-1.6788847958000002
ACH-000018,-1.36831764808
ACH-000019,-1.57852549584
ACH-000021,-1.3791216346000001
ACH-000022,-1.4312364317200001
ACH-000025,-1.09290352328
ACH-000028,-1.1422047743700001
ACH-000030,-1.38610102773
ACH-000035,-1.14622656628
ACH-000036,-1.3798711963699999
ACH-000037,-1.9505805403099998
ACH-000039,-1.36904893354
ACH-000040,-1.1445738056399999
ACH-000041,-1.36848677143
ACH-000042,-1.50847089915
ACH-000045,-1.41332704356
ACH-000047,-1.34263504379
ACH-000052,-1.3901279179700001
ACH-000053,-1.55828609886
ACH-000054,-1.3113898180299999
ACH-000055,-1.22782298498
ACH-000060,-1.22846730997
ACH-000067,-1.21363668206
ACH-000070,-1.471212145
ACH-000075,-1.4678196734399998
ACH-000078,-1.72991649841
ACH-000082,-1.7374729086099998
ACH-000085,-1.43946268574
ACH-000086,-1.13949733802
ACH-000087,-1.24745359286
ACH-000092,-1.48547581754
ACH-000095,-1.63740664889
ACH-000097,-1.53601691178
ACH-000098,-1.37760644694
ACH-000099,-1.49116837385
ACH-000108,-1.27539946245
ACH-000113,-1.55345370072
ACH-000115,-1.9266503839500002
ACH-000116,-1.32949590374
ACH-000118,-1.3416242555
ACH-000120,-1.2228269422799998
ACH-000123,-1.31663575661
ACH-000127,-1.27223160427
ACH-000128,-1.36721421963
ACH-000132,-1.4344007932799998
ACH-000133,-1.3780452561399998
ACH-000137,-1.6442186973800001
ACH-000138,-1.28248328301
ACH-000142,-1.27704533951
ACH-000143,-1.57915311299
ACH-000146,-1.97529866607
ACH-000148,-1.26476222924
ACH-000150,-1.5732522618
ACH-000152,-1.56858325009
ACH-000153,-1.77534495301
ACH-000159,-1.52938094085
ACH-000160,-1.41781943706
ACH-000163,-1.2759552153
ACH-000167,-2.0568665703
ACH-000168,-1.55225133314
ACH-000169,-1.32394009495
ACH-000178,-1.40618983192
ACH-000182,-1.57826869248
ACH-000183,-1.2978185238
ACH-000188,-1.2764929904
ACH-000189,-1.46569791041
ACH-000190,-1.1708465692899999
ACH-000198,-1.5317519700100002
ACH-000204,-1.40810205382
ACH-000206,-1.22271280595
ACH-000207,-1.3322743340799998
ACH-000211,-1.2724517306799998
ACH-000215,-1.5014477821099999
ACH-000221,-1.20730878889
ACH-000222,-1.49335974009
ACH-000223,-1.72812143461
ACH-000226,-1.4773888479600001
ACH-000227,-2.22912741727
ACH-000228,-1.4631969546
ACH-000231,-1.5628546373899999
ACH-000232,-1.4343163302200002
ACH-000233,-1.44115414743
ACH-000234,-1.37597515243
ACH-000235,-1.44385320683
ACH-000237,-1.2073606715799998
ACH-000238,-1.39842314384
ACH-000243,-1.37683183419
ACH-000244,-1.54193259319
ACH-000246,-1.62494034698
ACH-000248,-1.37586767121
ACH-000250,-1.30896544332
ACH-000251,-1.57207240715
ACH-000253,-1.4670311923700001
ACH-000255,-1.40159712109
ACH-000256,-1.76277030366
ACH-000257,-1.4501228343900001
ACH-000258,-1.2045190478899999
ACH-000259,-1.37275792032
ACH-000260,-1.3375958419
ACH-000261,-1.52033939368
ACH-000262,-1.217373783
ACH-000263,-1.2043186246700002
ACH-000264,-1.64939058363
ACH-000265,-1.3011602572399998
ACH-000266,-1.5786771610199999
ACH-000272,-1.43712497854
ACH-000273,-1.34917243144
ACH-000274,-1.52087077458
ACH-000277,-1.63165533678
ACH-000278,-1.2153880066
ACH-000279,-1.81840708787
ACH-000280,-1.45060409609
ACH-000281,-1.64176011063
ACH-000288,-1.35173017909
ACH-000291,-1.4833393320100001
ACH-000293,-1.49449971169
ACH-000294,-1.54473571026
ACH-000295,-1.4031650324399998
ACH-000296,-1.03991731736
ACH-000302,-1.67767631041
ACH-000304,-1.56871933361
ACH-000307,-1.2091428273
ACH-000308,-1.44138650794
ACH-000310,-1.78346687711
ACH-000311,-1.52630515213
ACH-000312,-1.39471497408
ACH-000315,-1.23424785345
ACH-000316,-1.1692643994499998
ACH-000317,-1.19785011801
ACH-000318,-1.1620409762100001
ACH-000319,-1.3640339742899998
ACH-000320,-1.17423968446
ACH-000322,-1.3792851758000002
ACH-000323,-1.30869477233
ACH-000324,-1.21915590997
ACH-000329,-1.6560021039700001
ACH-000330,-1.15982412191
ACH-000331,-1.31840638908
ACH-000332,-1.4198151700100001
ACH-000334,-1.7956262474
ACH-000335,-1.58726465326
ACH-000336,-1.0910677582
ACH-000337,-1.5711019851199999
ACH-000339,-1.60555482717
ACH-000341,-1.26408535524
ACH-000348,-1.68692152235
ACH-000350,-1.57195794033
ACH-000352,-1.3181308227200002
ACH-000356,-1.1654295033700002
ACH-000361,-1.07663600624
ACH-000362,-1.58546697886
ACH-000363,-1.6725828963
ACH-000364,-1.27999967709
ACH-000365,-1.20407713059
ACH-000366,-1.40016009321
ACH-000368,-1.37498510896
ACH-000374,-1.32668723369
ACH-000375,-1.4766839064100001
ACH-000376,-1.30511783477
ACH-000381,-1.42226917835
ACH-000383,-1.3952649377000002
ACH-000387,-1.47477078176
ACH-000389,-1.58379021947
ACH-000390,-1.4630586013999998
ACH-000393,-1.6874699663600001
ACH-000395,-1.33150132231
ACH-000397,-1.30179871655
ACH-000401,-1.24469571536
ACH-000402,-1.45959066107
ACH-000403,-1.60998780311
ACH-000404,-1.03052259626
ACH-000406,-1.62601406895
ACH-000407,-1.3898319369799998
ACH-000408,-1.16883331151
ACH-000410,-1.4361055313799997
ACH-000411,-1.29579863321
ACH-000414,-1.22216221466
ACH-000415,-1.1650435645000001
ACH-000416,-1.4384478760600001
ACH-000420,-1.50872042499
ACH-000421,-1.3509815359600001
ACH-000424,-1.53016028668
ACH-000425,-1.24308764489
ACH-000426,-1.7155105489500002
ACH-000427,-1.54905350056
ACH-000433,-1.51747626412
ACH-000436,-1.30264236767
ACH-000444,-0.9604457385330001
ACH-000445,-1.5613054964700002
ACH-000448,-1.46256972497
ACH-000450,-1.4682851498700003
ACH-000452,-1.52100114247
ACH-000454,-1.04716301683
ACH-000458,-1.15334404818
ACH-000459,-0.832335583701
ACH-000460,-1.2012035022399998
ACH-000461,-1.35752235617
ACH-000463,-1.1634640622299999
ACH-000464,-1.6013920484200002
ACH-000466,-1.4854716643599999
ACH-000467,-1.19672196812
ACH-000468,-1.4070251963
ACH-000469,-1.37351738216
ACH-000470,-1.4455347388799997
ACH-000471,-1.43961350565
ACH-000472,-1.5902209804299998
ACH-000473,-1.5279367015600003
ACH-000475,-1.33797944005
ACH-000476,-1.63689819565
ACH-000477,-1.29137369603
ACH-000480,-1.1377019929
ACH-000481,-1.4683300654799998
ACH-000483,-1.73433007515
ACH-000484,-1.58199873604
ACH-000485,-1.6262522936700001
ACH-000486,-1.29299808206
ACH-000487,-1.5182875092700001
ACH-000488,-1.39802108502
ACH-000490,-1.41507194502
ACH-000491,-1.61646925606
ACH-000495,-1.32765947893
ACH-000496,-1.28963847946
ACH-000499,-1.62427683891
ACH-000500,-1.1813417518
ACH-000502,-1.38247044553
ACH-000503,-1.25821429531
ACH-000505,-1.3320943914899999
ACH-000507,-1.34124768912
ACH-000510,-1.24041074223
ACH-000511,-1.5316285529299998
ACH-000512,-1.36942751373
ACH-000516,-1.73414359159
ACH-000517,-1.56542122507
ACH-000518,-1.29998656632
