,TXNRD2 (10587)
ACH-000004,-0.38233792586800003
ACH-000007,-0.256643946878
ACH-000009,-0.197772210817
ACH-000011,-0.289785986419
ACH-000012,-0.283022439799
ACH-000013,-0.10208837355599999
ACH-000014,-0.294536161078
ACH-000015,-0.190243542471
ACH-000017,-0.20983605384799997
ACH-000018,-0.028426110104
ACH-000019,-0.27524936801100003
ACH-000021,-0.06293001950730001
ACH-000022,-0.191747588068
ACH-000025,-0.293077808975
ACH-000028,-0.199346178765
ACH-000030,-0.154841267389
ACH-000035,-0.291131311532
ACH-000036,-0.0639948428736
ACH-000037,0.0161596180503
ACH-000039,-0.158637103076
ACH-000040,0.064492284397
ACH-000041,-0.202998487979
ACH-000042,-0.267134476123
ACH-000045,-0.217559234307
ACH-000047,-0.128210209087
ACH-000052,-0.245145059993
ACH-000053,-0.033136737944900005
ACH-000054,-0.10767513613600001
ACH-000055,-0.0636855076043
ACH-000060,-0.23098457996
ACH-000067,0.0770862287598
ACH-000070,-0.21280978627099997
ACH-000075,-0.224017681452
ACH-000078,-0.140728456749
ACH-000082,-0.10586133964700001
ACH-000085,-0.298526110061
ACH-000086,-0.07567398158819999
ACH-000087,-0.0631986142539
ACH-000092,-0.263304161492
ACH-000095,-0.137103796223
ACH-000097,-0.24889469829100003
ACH-000098,-0.378682020266
ACH-000099,-0.25167706106800003
ACH-000108,-0.221799767968
ACH-000113,-0.044067225868699995
ACH-000115,-0.18234130104600002
ACH-000116,-0.117332642113
ACH-000118,-0.15011625165
ACH-000120,-0.160754369231
ACH-000123,-0.252375229727
ACH-000127,0.0152470100167
ACH-000128,0.0750284660566
ACH-000132,-0.130133853507
ACH-000133,-0.0249313552717
ACH-000137,-0.244098089687
ACH-000138,-0.0112682586812
ACH-000142,-0.063763721585
ACH-000143,-0.218693963468
ACH-000146,-0.24222788437800002
ACH-000148,-0.0929111291031
ACH-000150,0.0207835011621
ACH-000152,0.0274644560652
ACH-000153,-0.199622916965
ACH-000159,-0.0296569315584
ACH-000160,-0.246241635882
ACH-000163,0.10904659304400001
ACH-000167,-0.21123833694000002
ACH-000168,-0.261247115213
