,GOLPH3L (55204)
ACH-000004,-0.36140662721
ACH-000007,-0.138385850669
ACH-000009,-0.47429841771700004
ACH-000011,-0.11028995413899999
ACH-000012,-0.180490091173
ACH-000013,-0.15362746003
ACH-000014,-0.349073071901
ACH-000015,-0.266760255053
ACH-000017,-0.16179820954500002
ACH-000018,-0.195530744166
ACH-000019,-0.34740187776799997
ACH-000021,-0.281233743559
ACH-000022,-0.182591653885
ACH-000025,-0.399719954458
ACH-000028,-0.439598105792
ACH-000030,-0.213146416171
ACH-000035,-0.310059784482
ACH-000036,-0.12696224386399999
ACH-000037,-0.0901028515505
ACH-000039,-0.45917485001999997
ACH-000040,-0.183471053598
ACH-000041,-0.136250001786
ACH-000042,-0.279572328134
ACH-000045,-0.19479857467199999
ACH-000047,-0.279311687262
ACH-000052,-0.518766794906
ACH-000053,-0.35828765779399996
ACH-000054,-0.24650119466200002
ACH-000055,-0.342601883112
ACH-000060,-0.262442456054
ACH-000067,-0.100759922154
ACH-000070,0.13884462133199998
ACH-000075,-0.293099960983
ACH-000078,-0.5216254325859999
ACH-000082,-0.169701778603
ACH-000085,-0.263217197487
ACH-000086,-0.495996557143
ACH-000087,-0.15255353860999998
ACH-000092,-0.233001755925
ACH-000095,-0.0696661954732
ACH-000097,-0.300666138263
ACH-000098,-0.24426142050000002
ACH-000099,-0.313786070872
ACH-000108,0.043667331795699996
ACH-000113,-0.27063107713
ACH-000115,-0.445138299992
ACH-000116,-0.34746450691299996
ACH-000118,-0.226740517335
ACH-000120,-0.255870407069
ACH-000123,-0.357037179701
ACH-000127,-0.16465290269000002
ACH-000128,-0.22113343843000002
ACH-000132,-0.17426091521499998
ACH-000133,-0.304277874196
ACH-000137,-0.247324677898
ACH-000138,-0.17006121426600002
ACH-000142,-0.119763659005
ACH-000143,-0.176019420018
ACH-000146,-0.303196835911
ACH-000148,-0.20598277745700003
ACH-000150,-0.0708790965661
ACH-000152,-0.312571671016
ACH-000153,-0.47832453298199995
