,ACADL (33)
ACH-000004,-0.047439841402400006
ACH-000007,-0.0320244916585
ACH-000009,-0.17299027797299998
ACH-000011,-0.09166871246069999
ACH-000012,-0.0157935070823
ACH-000013,0.033315826190900004
ACH-000014,-0.322126445105
ACH-000015,-0.140509003809
ACH-000017,0.0264993514745
ACH-000018,0.199986769807
ACH-000019,-0.187014849503
ACH-000021,-9.10656227039e-05
ACH-000022,0.00842540877309
ACH-000025,-0.057977634308699996
ACH-000028,-0.0398867797574
ACH-000030,-0.015745266881500002
ACH-000035,0.17203137078800002
ACH-000036,-0.0238342159555
ACH-000037,-0.136667119862
ACH-000039,-0.239948683536
ACH-000040,-0.172482539582
ACH-000041,-0.000777230641794
ACH-000042,-0.113618915201
ACH-000045,-0.205848198756
ACH-000047,-0.20172878329799998
ACH-000052,-0.16289991863
ACH-000053,-0.022855114349099998
ACH-000054,-0.07711440877619999
ACH-000055,0.200619270603
ACH-000060,0.040624340777199994
ACH-000067,0.047255268131099995
ACH-000070,-0.260121973883
ACH-000075,-0.136602137926
ACH-000078,-0.10646882599400001
ACH-000082,-0.0170050766973
ACH-000085,0.06711630385049999
ACH-000086,-0.045598305396999994
ACH-000087,-0.20306541998599997
ACH-000092,-0.219103205176
ACH-000095,-0.0691290813159
ACH-000097,-0.13561637048
ACH-000098,-0.215141830395
ACH-000099,-0.104979618039
ACH-000108,0.021613854207599998
ACH-000113,0.000674177189097
ACH-000115,-0.08816252323719999
ACH-000116,-0.0741424893378
ACH-000118,-0.114458452501
ACH-000120,-0.22773668472199998
ACH-000123,-0.0389166236161
ACH-000127,-0.0565146032873
ACH-000128,0.043412187421000004
ACH-000132,-0.0832160294715
ACH-000133,-0.129125620385
ACH-000137,-0.0642780671923
ACH-000138,-0.0341264307547
ACH-000142,-0.0314498094066
ACH-000143,-0.10270888867900001
ACH-000146,0.020524027772
ACH-000148,-0.06267301046469999
ACH-000150,0.0207187468072
ACH-000152,-0.0396093637842
ACH-000153,0.07396492388119999
ACH-000159,-0.0794783625074
ACH-000160,0.00555600793911
ACH-000163,-0.151499282972
ACH-000167,-0.0671111456173
ACH-000168,-0.0392379819695
ACH-000169,-0.0723078067924
ACH-000178,-0.0347077300622
ACH-000182,-0.284161598152
ACH-000183,-0.130474515528
ACH-000188,-0.141654264723
ACH-000189,0.140502986478
ACH-000190,-0.0594464946849
ACH-000198,-0.23496221397300002
ACH-000204,-0.261442798022
ACH-000206,0.13532254038
ACH-000207,-0.18296462302299998
ACH-000211,-0.132251670106
ACH-000215,-0.0250040437715
ACH-000221,-0.00809956626224
ACH-000222,0.255820841548
ACH-000223,-0.21833953473200002
ACH-000226,-0.30596571773000003
ACH-000227,-0.172741747141
ACH-000228,-0.00693103167395
ACH-000231,-0.012047590419799999
ACH-000232,-0.019236113202700002
ACH-000233,-0.106384081405
ACH-000234,-0.22163395989300003
ACH-000235,-0.0775015926093
ACH-000237,-0.0563640515001
ACH-000238,-0.00779236843424
ACH-000243,0.0102475688555
ACH-000244,-0.315459514284
ACH-000246,-0.182063717667
ACH-000248,-0.34804257353
ACH-000250,-0.20720093660100003
ACH-000251,0.0457366055019
ACH-000253,-0.114589469178
ACH-000255,-0.132876870419
ACH-000256,-0.0344782707905
ACH-000257,-0.08430581331180001
ACH-000258,-0.0736256038415
ACH-000259,0.06334022320299999
ACH-000260,-0.142711516094
ACH-000261,-0.106734517411
ACH-000262,-0.017264167907200003
ACH-000263,-0.22102249412099997
ACH-000264,-0.009134731486010001
ACH-000265,-0.0700389592126
ACH-000266,-0.0266939620601
ACH-000272,-0.274709017766
ACH-000273,-0.113713754845
ACH-000274,-0.171676543814
ACH-000277,-0.16862202704100002
ACH-000278,-0.0518309907632
ACH-000279,-0.247775683268
ACH-000280,0.0334109377723
ACH-000281,0.11781461739700001
ACH-000288,-0.08228193619
ACH-000291,-0.0267087708047
ACH-000293,-0.287826721444
ACH-000294,-0.11386382531
ACH-000295,-0.12963300775699999
ACH-000296,-0.071367737296
ACH-000302,-0.119122663507
ACH-000304,-0.438137266374
ACH-000307,-0.164223590712
ACH-000308,-0.12317605869300001
ACH-000310,-0.161159481134
ACH-000311,-0.029988005221599997
ACH-000312,0.0371102232821
ACH-000315,-0.07709576877930001
ACH-000316,-0.129735665946
ACH-000317,-0.0900769917371
ACH-000318,-0.0760992950778
ACH-000319,-0.0838278903668
ACH-000320,-0.112703263329
ACH-000322,-0.274441966022
ACH-000323,-0.118594741396
ACH-000324,-0.29290444393599996
ACH-000329,-0.039581193545
ACH-000330,-0.131138284625
ACH-000331,-0.0723890573522
ACH-000332,-0.129186813183
ACH-000334,0.0695617168667
ACH-000335,0.212230278381
ACH-000336,-0.11011808390999998
ACH-000337,-0.0974404611874
ACH-000339,-0.0393531864178
ACH-000341,-0.09024481008789999
ACH-000348,-0.124586185312
ACH-000350,-0.0747604424764
ACH-000352,-0.13744679052
ACH-000356,-0.11065759973400001
ACH-000361,-0.165986837961
ACH-000362,0.0058355955073000005
ACH-000363,0.014019718743700001
ACH-000364,-0.0741265234334
ACH-000365,-0.109048883278
ACH-000366,0.0036342379896
ACH-000368,-0.0071530995393700005
ACH-000374,-0.145746834276
ACH-000375,-0.30033924824499997
ACH-000376,-0.166819753372
ACH-000381,0.00943402266907
ACH-000383,-0.161166951925
ACH-000387,-0.108908956623
ACH-000389,0.0919841797049
ACH-000390,-0.151359274834
ACH-000393,-0.117862907333
ACH-000395,-0.0669732152076
ACH-000397,0.018044325472099998
ACH-000401,-0.175535509046
ACH-000402,-0.302438771553
ACH-000403,-0.09609872830189999
ACH-000404,0.0448939501562
ACH-000406,-0.0603114118759
ACH-000407,-0.339237049625
ACH-000408,-0.10330418434800001
ACH-000410,-0.177037971083
ACH-000411,-0.0535145062177
ACH-000414,0.0659822598915
ACH-000415,-0.08218010013339999
