,SOS1 (6654)
ACH-000004,-0.784770964011
ACH-000007,-0.164248311599
ACH-000009,-1.07265268309
ACH-000011,-0.073108995085
ACH-000012,-0.392250256913
ACH-000013,-0.116415962007
ACH-000014,-0.275671143497
ACH-000015,-0.400974500027
ACH-000017,-0.14226343900900001
ACH-000018,-0.390406290792
ACH-000019,-0.24236898117699998
ACH-000021,-0.313388839506
ACH-000022,-0.301825005152
ACH-000025,-0.228321090489
ACH-000028,-0.195118926869
ACH-000030,-0.20967439850800001
ACH-000035,-0.45608537781099995
ACH-000036,-0.8265034007340001
ACH-000037,-0.6396579587269999
ACH-000039,-0.256582882161
ACH-000040,-0.49397178575499995
ACH-000041,-0.600848449278
ACH-000042,-0.558136013906
ACH-000045,-0.43087570786799995
ACH-000047,-0.112300361492
ACH-000052,-0.226836672265
ACH-000053,-1.0752842288
ACH-000054,-0.07099258527980001
ACH-000055,-0.247870398515
ACH-000060,-0.21829694779800002
ACH-000067,-0.726837482023
ACH-000070,-0.130753632034
ACH-000075,-0.9290032931960001
ACH-000078,-0.561663969802
ACH-000082,-0.235082518568
ACH-000085,-0.146958573928
ACH-000086,-0.27191748655000003
ACH-000087,-0.0663377890268
ACH-000092,-0.44684389842600003
ACH-000095,-0.13935098370500001
ACH-000097,-0.35060992744400005
ACH-000098,-0.7081821396529999
ACH-000099,-0.700457990194
ACH-000108,-0.389989427654
ACH-000113,-0.107274450329
ACH-000115,-0.03516061936769999
ACH-000116,-0.326736778017
ACH-000118,-0.12462511678799999
ACH-000120,-0.170491787454
ACH-000123,-0.148131047583
ACH-000127,-0.102336277059
ACH-000128,-0.43794613065800003
ACH-000132,-0.410328681099
ACH-000133,-0.262515210848
ACH-000137,-0.0302324987892
ACH-000138,-0.179146273614
ACH-000142,-0.34997482061499996
ACH-000143,-0.328714694668
ACH-000146,-0.298833702551
ACH-000148,-0.354564645959
ACH-000150,0.0029662085853200005
ACH-000152,-0.22646522719099998
ACH-000153,-0.244688509904
ACH-000159,-0.37007513658600005
ACH-000160,-0.182229155453
ACH-000163,-0.9707968477969999
ACH-000167,-0.0777498773518
ACH-000168,-0.14406031475199998
ACH-000169,0.052855230002899996
ACH-000178,-0.40401032442400003
ACH-000182,-0.189817039869
ACH-000183,-0.215016643954
ACH-000188,-0.14706654034299999
ACH-000189,-0.693671936043
ACH-000190,-0.363325798547
ACH-000198,-1.32102032373
ACH-000204,-0.529593481034
ACH-000206,-0.290116145355
ACH-000207,-0.590865468726
ACH-000211,-0.272111936409
ACH-000215,-0.30492835811
ACH-000221,-0.186679080396
ACH-000222,-0.23218648197900002
ACH-000223,-0.20492796641600003
ACH-000226,-0.947308850836
ACH-000227,-0.291723070832
ACH-000228,-0.803029922347
ACH-000231,-0.21158431999299998
ACH-000232,-0.439681345575
ACH-000233,-0.9109660777509999
ACH-000234,-0.159324516642
ACH-000235,-0.212323229281
ACH-000237,-0.36910845298199996
ACH-000238,-0.44243806366000005
ACH-000243,-0.228418834267
ACH-000244,-0.886087002023
ACH-000246,-0.239244360114
ACH-000248,-0.21109773855900002
ACH-000250,-0.592099683167
ACH-000251,-0.148813743521
ACH-000253,-0.174432918266
ACH-000255,-0.388928952931
ACH-000256,-0.221027848374
ACH-000257,-0.406864190028
ACH-000258,-0.207757013981
