,EEF2 (1938)
ACH-000004,-2.245039048
ACH-000007,-2.18593887066
ACH-000009,-2.1150247217400002
ACH-000011,-1.9614528563
ACH-000012,-1.74813821585
ACH-000013,-2.33537292097
ACH-000014,-2.2325832169499997
ACH-000015,-2.27491033921
ACH-000017,-2.1587383867
ACH-000018,-1.8564557933799999
ACH-000019,-2.00408814617
ACH-000021,-1.9666080724700001
ACH-000022,-2.49112695719
ACH-000025,-1.94053691885
ACH-000028,-2.0192785961400004
ACH-000030,-2.2042418263999997
ACH-000035,-2.0445960136
ACH-000036,-2.06664731439
ACH-000037,-2.59273698997
ACH-000039,-2.22082174404
ACH-000040,-1.94017205433
ACH-000041,-2.39461945034
ACH-000042,-1.99575482285
ACH-000045,-2.17499624905
ACH-000047,-2.3504205043799997
ACH-000052,-2.11406782424
ACH-000053,-1.87115653209
ACH-000054,-2.02186954015
ACH-000055,-1.92266516148
ACH-000060,-1.93200987917
ACH-000067,-1.92749757572
ACH-000070,-2.47444022449
ACH-000075,-1.73240797625
ACH-000078,-1.68646136714
ACH-000082,-2.10904384615
ACH-000085,-2.07266387009
ACH-000086,-1.9794030716799997
ACH-000087,-1.82085091558
ACH-000092,-1.91920772654
ACH-000095,-2.06034530656
ACH-000097,-2.1076277282700002
ACH-000098,-2.18652136642
ACH-000099,-1.65085561949
ACH-000108,-1.9831355914900002
ACH-000113,-2.3887657913599996
ACH-000115,-3.4669777352800004
ACH-000116,-2.2128516442099997
ACH-000118,-1.8975869014400002
ACH-000120,-1.7722910948500001
ACH-000123,-2.0089458864700003
ACH-000127,-2.1015250481
ACH-000128,-2.4029488789099998
ACH-000132,-2.0966739326
ACH-000133,-1.80033953698
ACH-000137,-2.03429329043
ACH-000138,-1.99149936773
ACH-000142,-2.34602428533
ACH-000143,-1.7708734187400001
ACH-000146,-1.7944195217400003
ACH-000148,-1.78183353061
ACH-000150,-1.7738475964700002
ACH-000152,-1.91956053382
ACH-000153,-2.10033703862
ACH-000159,-2.11631711372
ACH-000160,-2.19572531128
ACH-000163,-2.1283090792299997
ACH-000167,-1.7847051620900003
ACH-000168,-2.14652980666
ACH-000169,-2.1919962245
ACH-000178,-1.9255208202400003
ACH-000182,-2.20299150346
ACH-000183,-2.16158260617
ACH-000188,-2.02384022448
ACH-000189,-1.4948602272100002
ACH-000190,-2.00419460066
ACH-000198,-2.12528895877
ACH-000204,-1.92979603317
ACH-000206,-2.74969431802
ACH-000207,-1.98929960676
ACH-000211,-2.15266126624
ACH-000215,-2.10113934722
ACH-000221,-2.14795450275
ACH-000222,-1.8785944288999998
ACH-000223,-2.1832208031900002
ACH-000226,-1.7806562635499998
ACH-000227,-2.9244630655400004
ACH-000228,-1.87797620397
ACH-000231,-1.7750335239900001
ACH-000232,-1.84086210183
ACH-000233,-2.35707833711
ACH-000234,-2.1649280949
ACH-000235,-2.20457908252
ACH-000237,-2.1048507016799998
ACH-000238,-2.0782831619
ACH-000243,-1.945977691
ACH-000244,-1.4602296103299999
ACH-000246,-1.9271014853400001
ACH-000248,-2.0038637543
ACH-000250,-2.0027832179400002
ACH-000251,-2.00459553714
ACH-000253,-2.2637398235
ACH-000255,-1.7964517067400003
ACH-000256,-2.0740925360599998
ACH-000257,-1.66618743655
ACH-000258,-1.8420199670299997
