,KIF1A (547)
ACH-000004,-0.0380558033093
ACH-000007,-0.146244170881
ACH-000009,-0.08743647465189999
ACH-000011,-0.264821656701
ACH-000012,-0.132537604186
ACH-000013,-0.218040217022
ACH-000014,-0.11029556842
ACH-000015,-0.180148957597
ACH-000017,-0.192200810359
ACH-000018,-0.314705047693
ACH-000019,-0.09154275508210001
ACH-000021,-0.040341482734400004
ACH-000022,-0.0382395461898
ACH-000025,-0.10912321383099999
ACH-000028,0.00650368424902
ACH-000030,0.0592547169843
ACH-000035,-0.205502755924
ACH-000036,-0.28292569137699997
ACH-000037,-0.279754035803
ACH-000039,-0.035638032516
ACH-000040,-0.30299969789500003
ACH-000041,-0.215410346893
ACH-000042,-0.160681423675
ACH-000045,-0.054629873817800004
ACH-000047,-0.138442779136
ACH-000052,-0.17728353678800002
ACH-000053,-0.160203914596
ACH-000054,-0.21617278723900002
ACH-000055,-0.0290686311737
ACH-000060,-0.27559890247499996
ACH-000067,-0.2174386859
ACH-000070,-0.18685840075
ACH-000075,-0.056241044279300004
ACH-000078,-0.057859673673
ACH-000082,-0.15261867944
ACH-000085,-0.108816448405
ACH-000086,-0.0506878492272
ACH-000087,-0.059367681868000004
ACH-000092,-0.20716196642999998
ACH-000095,-0.161551790281
ACH-000097,-0.123090139601
ACH-000098,-0.306958441054
ACH-000099,-0.294439211041
ACH-000108,-0.24867816281999996
ACH-000113,-0.154364258351
ACH-000115,-0.041968472747300006
ACH-000116,-0.07884237475
ACH-000118,-0.08256647437360001
ACH-000120,-0.09949687722410001
ACH-000123,-0.182207577623
ACH-000127,-0.153177615514
ACH-000128,-0.233349311631
ACH-000132,-0.0927433604344
ACH-000133,-0.30886848867100003
ACH-000137,-0.312461536956
ACH-000138,-0.03518948830469999
ACH-000142,-0.22365229487799998
ACH-000143,-0.39799461073799997
ACH-000146,-0.115844902442
ACH-000148,-0.026307368360900002
ACH-000150,-0.287549620565
ACH-000152,-0.212859355366
ACH-000153,-0.40855494351599997
ACH-000159,-0.170797820077
ACH-000160,-0.10268016348400001
ACH-000163,-0.187900779204
ACH-000167,-0.160567498693
ACH-000168,-0.36000906986599995
ACH-000169,-0.18842650598400001
ACH-000178,-0.045478219392
ACH-000182,-0.07499103261119999
ACH-000183,-0.19185159635200003
ACH-000188,-0.255610749103
ACH-000189,-0.364321353896
ACH-000190,-0.00654905208387
ACH-000198,-0.0946335264896
ACH-000204,-0.31176627509300003
ACH-000206,-0.0842427608112
ACH-000207,-0.110636174283
ACH-000211,-0.0672757296076
ACH-000215,-0.116746905604
ACH-000221,-0.158654613083
ACH-000222,-0.46288501217
ACH-000223,-0.09710194814860001
ACH-000226,-0.0658744467332
ACH-000227,-0.135498294468
ACH-000228,-0.160942260416
ACH-000231,-0.220437187641
ACH-000232,-0.171162178993
