,MRPL53 (116540)
ACH-000460,-0.846332125684
ACH-000461,-1.21800868166
ACH-000463,-0.536309012333
ACH-000464,-0.8969344263339999
ACH-000466,-1.21594168012
ACH-000467,-1.1816869975700002
ACH-000468,-0.910586950054
ACH-000469,-1.0914783829
ACH-000470,-0.675973842422
ACH-000471,-0.629763400283
ACH-000472,-0.783197809497
ACH-000473,-0.740886727
ACH-000475,-0.9359987001819999
ACH-000476,-0.853812590132
ACH-000477,-0.941622362348
ACH-000480,-1.06323913009
ACH-000481,-0.725190365376
ACH-000483,-1.00644678579
ACH-000484,-0.8152296038619999
ACH-000485,-0.77534456326
ACH-000486,-0.763242631189
ACH-000487,-0.731420292465
ACH-000488,-1.08129827278
ACH-000490,-0.960581983723
ACH-000491,-0.823958483514
ACH-000495,-0.526703221536
ACH-000496,-0.792902435988
ACH-000499,-0.958524128459
ACH-000500,-1.0805073629700002
ACH-000502,-0.6888241568440001
ACH-000503,-1.30338488108
ACH-000505,-0.6834366916419999
ACH-000507,-1.10704503568
ACH-000510,-0.893737426051
ACH-000511,-0.8111394905629999
ACH-000512,-1.11230838605
ACH-000516,-0.670721503348
ACH-000517,-0.711379722861
ACH-000518,-1.0889737377500002
ACH-000520,-0.592270601066
ACH-000521,-0.8999594226530001
ACH-000522,-1.0357886679700001
ACH-000524,-0.7495641146879999
ACH-000527,-0.993739617326
ACH-000528,-1.00888199625
ACH-000537,-0.904854637463
ACH-000541,-0.775342023669
ACH-000542,-0.778492019983
ACH-000544,-0.9179034270399999
ACH-000545,-1.12875850656
ACH-000547,-0.954862596372
ACH-000548,-0.886343585915
ACH-000549,-1.0089022923100002
ACH-000550,-0.570569504504
ACH-000552,-1.02187659554
ACH-000556,-1.02310122275
ACH-000557,-0.620705664729
ACH-000570,-0.9025250659
ACH-000571,-0.774129320384
ACH-000573,-1.08991391742
ACH-000576,-0.592947834909
ACH-000580,-0.939697167717
ACH-000584,-0.742346895376
ACH-000585,-0.810469940085
ACH-000588,-0.92220737221
ACH-000589,-1.00191227308
ACH-000591,-0.9643042452830001
ACH-000593,-0.970329677848
ACH-000600,-0.924600429269
ACH-000601,-0.891999287923
ACH-000604,-1.34021421936
ACH-000605,-1.08793035672
ACH-000606,-1.07745933711
ACH-000608,-0.722762030442
ACH-000614,-1.22535743859
ACH-000616,-0.9218859907529999
ACH-000618,-1.3653348119
ACH-000619,-1.3386768633700001
ACH-000620,-0.755562572133
ACH-000621,-0.698712823172
ACH-000622,-0.803661011117
ACH-000623,-0.7743472784540001
ACH-000624,-0.794852852371
ACH-000627,-0.984675395908
ACH-000630,-1.1718781278000001
ACH-000632,-0.820805521594
ACH-000633,-1.25357972845
ACH-000637,-1.14484923082
ACH-000638,-0.753118003259
ACH-000646,-1.0540179728799999
ACH-000647,-1.15847580885
ACH-000648,-0.8673237693170001
ACH-000649,-0.778224832474
ACH-000651,-1.25572819793
ACH-000652,-0.862751150372
ACH-000653,-0.9184153360160001
ACH-000657,-0.800917261843
ACH-000658,-0.847363017279
ACH-000661,-0.948295875336
ACH-000662,-1.2824845236799998
ACH-000663,-0.786269158796
ACH-000665,-0.807831053362
ACH-000671,-1.0290293154999999
ACH-000673,-0.764026786969
ACH-000676,-1.07267142984
ACH-000677,-1.48733751879
ACH-000681,-0.645411007113
ACH-000682,-0.8161879321250001
ACH-000683,-0.9287907234649999
ACH-000684,-0.7448573202490001
ACH-000688,-0.702552371352
ACH-000693,-1.08013779228
ACH-000694,-1.1057942116500001
ACH-000695,-0.754655177715
ACH-000696,-0.9408488613160001
ACH-000697,-0.492014915946
ACH-000699,-0.969919799098
ACH-000701,-0.8405700169689999
ACH-000706,-0.994218177981
ACH-000711,-0.911377219993
ACH-000713,-0.7828782401919999
ACH-000714,-0.470940705721
ACH-000718,-0.8037572926540001
ACH-000720,-1.15937146159
ACH-000721,-1.0379853081000001
ACH-000724,-0.806336038109
ACH-000725,-0.759118227052
ACH-000732,-1.20328555147
ACH-000734,-0.8234547154340001
ACH-000735,-0.946057643665
ACH-000736,-0.996177139748
ACH-000738,-1.0995393311700001
ACH-000746,-1.12162091138
ACH-000747,-1.1704629340000001
ACH-000748,-0.641747410483
ACH-000753,-1.08846776748
ACH-000756,-0.578899198389
ACH-000757,-0.957306156179
ACH-000758,-1.11441086002
ACH-000760,-1.15822607139
ACH-000763,-0.8553696489650001
ACH-000764,-0.9528449987659999
ACH-000765,-1.00818101877
ACH-000766,-0.824563537669
ACH-000767,-1.06357172386
ACH-000768,-0.954997638168
ACH-000769,-0.9202031793369999
ACH-000770,-0.72279588565
ACH-000771,-1.0630102848899998
ACH-000773,-0.48307299768
ACH-000776,-0.8009841084810001
ACH-000777,-0.9532472056290001
ACH-000778,-0.6923315943260001
ACH-000781,-0.753018081945
ACH-000782,-0.883970585531
ACH-000783,-0.7612041933020001
ACH-000784,-1.26455828583
ACH-000785,-0.855954095479
ACH-000787,-0.99715993219
ACH-000788,-0.768654543542
ACH-000791,-0.848322004211
ACH-000792,-0.8107376088070001
ACH-000794,-0.891971138196
ACH-000796,-0.912606928306
ACH-000799,-1.11744958407
ACH-000800,-1.0482828598
ACH-000802,-1.10419744168
ACH-000804,-1.07596016637
ACH-000805,-1.02642380946
ACH-000809,-0.7251484665510001
ACH-000810,-0.44191758661200004
ACH-000811,-0.524991342543
ACH-000817,-0.8322887264129999
ACH-000819,-0.874952476274
ACH-000820,-0.909771227845
ACH-000821,-0.8545851555930001
ACH-000822,-0.818861939138
ACH-000823,-0.9766548202249999
ACH-000824,-0.433893306352
ACH-000827,-0.734236745195
ACH-000829,-0.9501608768440001
ACH-000831,-1.3431228891999998
ACH-000832,-0.892495214587
ACH-000833,-0.713478438634
ACH-000834,-1.07038496324
ACH-000835,-0.840714089609
ACH-000836,-1.12568555565
ACH-000837,-0.9273676930679999
ACH-000838,-0.667531066014
ACH-000839,-0.815416444185
ACH-000840,-1.0283959501
ACH-000841,-0.9775012563240001
ACH-000843,-1.2798127374400001
ACH-000846,-1.2035615368700001
ACH-000847,-1.18838651834
ACH-000848,-1.0981821441600002
ACH-000849,-0.9936802391249999
ACH-000851,-0.8408705005
ACH-000855,-1.44961209004
ACH-000856,-0.981299826557
ACH-000858,-1.14967902695
ACH-000859,-0.8676095732729999
ACH-000861,-0.8148919192630001
ACH-000862,-1.2853072503899998
ACH-000865,-1.0330518636100001
ACH-000866,-0.972281616154
ACH-000867,-0.698339228571
ACH-000869,-1.04000493997
ACH-000872,-0.858924135789
ACH-000873,-0.974556724293
ACH-000876,-1.59292674188
ACH-000878,-0.8703170946269999
ACH-000880,-0.834176703119
ACH-000881,-0.9154379624700001
ACH-000882,-0.8201371120119999
ACH-000884,-0.9894517716660001
ACH-000885,-0.813900606142
ACH-000887,-0.838037757133
ACH-000888,-1.05077658335
ACH-000889,-1.17096470679
ACH-000890,-0.650061251184
ACH-000896,-0.8495955721799999
ACH-000898,-0.8702752407250001
ACH-000900,-0.9466719986040001
ACH-000901,-0.9305328208750001
ACH-000905,-1.09363571622
ACH-000906,-0.9476757605380001
