,TMIGD1 (388364)
ACH-000004,-0.389198802338
ACH-000007,-0.044192195199499996
ACH-000009,-0.281564647536
ACH-000011,0.027450514344900003
ACH-000012,-0.104204994199
ACH-000013,-0.238507871479
ACH-000014,-0.023690268830300003
ACH-000015,-0.0590182654386
ACH-000017,-0.202739283405
ACH-000018,-0.025554496062099998
ACH-000019,-0.07052511592710001
ACH-000021,-0.24427399139000003
ACH-000022,-0.22899508501899998
ACH-000025,-0.0915484031287
ACH-000028,-0.185246868539
ACH-000030,-0.183923393297
ACH-000035,-0.467813340963
ACH-000036,-0.295098609802
ACH-000037,0.00414227003641
ACH-000039,-0.319168891443
ACH-000040,-0.351395139997
ACH-000041,-0.267499089669
ACH-000042,-0.183534730928
ACH-000045,-0.06664385430530001
ACH-000047,-0.1668739283
ACH-000052,-0.0403615160728
ACH-000053,-0.19929893178599997
ACH-000054,-0.08950487610789999
ACH-000055,-0.37057468272699995
ACH-000060,-0.188820053545
ACH-000067,-0.0259719121142
ACH-000070,-0.12180065802000001
ACH-000075,-0.327860253202
ACH-000078,-0.298867924663
ACH-000082,-0.17261468284200002
ACH-000085,-0.0658726379803
ACH-000086,-0.265581736333
ACH-000087,0.09395924947760001
ACH-000092,-0.0560765260493
ACH-000095,-0.27488008959800003
ACH-000097,-0.127297555495
ACH-000098,-0.198989772857
ACH-000099,-0.17515069476700001
ACH-000108,-0.311660580596
ACH-000113,-0.138130228986
ACH-000115,-0.453279973154
ACH-000116,-0.193708957047
ACH-000118,-0.06095512110859999
ACH-000120,0.039625519116699995
ACH-000123,-0.327053106173
ACH-000127,-0.0917422302735
ACH-000128,-0.275651344977
ACH-000132,-0.0394748006853
ACH-000133,-0.219299240596
ACH-000137,-0.27685446083500004
ACH-000138,-0.0603575932957
ACH-000142,-0.24113334203200001
ACH-000143,-0.26268804926100003
ACH-000146,-0.06311146441330001
ACH-000148,-0.176801712095
ACH-000150,0.116662017575
ACH-000152,-0.129652711483
ACH-000153,-0.248904720152
ACH-000159,-0.320995203997
ACH-000160,-0.277072525394
ACH-000163,-0.208269474767
ACH-000167,-0.39719043915200003
ACH-000168,-0.238487044826
ACH-000169,-0.16075205399700002
ACH-000178,-0.21562794158799997
ACH-000182,-0.119441992172
ACH-000183,-0.223864778002
ACH-000188,-0.291433899179
ACH-000189,-0.39400814616400004
ACH-000190,-0.28122051702
ACH-000198,-0.138976239536
ACH-000204,-0.232825907569
ACH-000206,-0.21123986543099998
ACH-000207,-0.209631427439
ACH-000211,-0.176553918035
ACH-000215,-0.219717535342
ACH-000221,-0.27467392520100004
ACH-000222,0.178591037003
ACH-000223,-0.16581639756
ACH-000226,-0.26567155528700004
ACH-000227,-0.043180157049599995
ACH-000228,-0.15145741741
ACH-000231,-0.152383588064
ACH-000232,-0.167787483797
ACH-000233,-0.26964067734200003
ACH-000234,-0.082452630811
ACH-000235,-0.212755923821
ACH-000237,-0.0760541429549
ACH-000238,-0.15868052767899998
ACH-000243,-0.269131233418
ACH-000244,-0.704636843009
ACH-000246,-0.15399957709599998
ACH-000248,-0.175434160341
ACH-000250,-0.145560072101
ACH-000251,-0.0453325452128
ACH-000253,0.0321987712895
ACH-000255,-0.217855413986
ACH-000256,-0.22207363021499998
ACH-000257,-0.43019550955799996
ACH-000258,-0.39814874638400005
ACH-000259,-0.184996393967
ACH-000260,-0.075165420236
ACH-000261,0.00817347681344
ACH-000262,-0.293123903172
ACH-000263,-0.192122424548
ACH-000264,-0.227684464551
ACH-000265,-0.257537302091
ACH-000266,-0.161955462754
ACH-000272,-0.214231767278
ACH-000273,-0.155122366202
ACH-000274,-0.325427496409
ACH-000277,0.0957739557828
ACH-000278,-0.111858100539
ACH-000279,-0.248829490302
ACH-000280,-0.167822777431
ACH-000281,-0.12149365549699999
ACH-000288,-0.370016725766
ACH-000291,-0.0445172662522
ACH-000293,-0.276865821153
ACH-000294,-0.39827763158600005
ACH-000295,-0.32251071256700004
ACH-000296,-0.387615024058
ACH-000302,-0.222728958572
ACH-000304,-0.0509280915819
ACH-000307,-0.22222689840399998
ACH-000308,-0.09850424066880001
