,POLR1E (64425)
ACH-000004,-0.931578334073
ACH-000007,-1.30185737082
ACH-000009,-1.5175568197100002
ACH-000011,-0.882855366705
ACH-000012,-1.02953369177
ACH-000013,-0.9730578664339999
ACH-000014,-1.04688701998
ACH-000015,-1.0924265195
ACH-000017,-0.9295683951289999
ACH-000018,-1.03636848616
ACH-000019,-0.794074148811
ACH-000021,-0.959775657747
ACH-000022,-1.1474431865999999
ACH-000025,-1.01872642683
ACH-000028,-0.9369461823909999
ACH-000030,-1.0594417864899999
ACH-000035,-0.9855618560420001
ACH-000036,-1.17728806554
ACH-000037,-1.2029317622700002
ACH-000039,-0.778584449561
ACH-000040,-1.22684408625
ACH-000041,-0.670413346501
ACH-000042,-1.22731495928
ACH-000045,-0.963414944659
ACH-000047,-0.723872300918
ACH-000052,-1.11701605446
ACH-000053,-1.07673828031
ACH-000054,-0.9582747455089999
ACH-000055,-1.06172843292
ACH-000060,-1.00093297928
ACH-000067,-1.04113056341
ACH-000070,-1.14583016684
ACH-000075,-1.23257767442
ACH-000078,-0.929264619692
ACH-000082,-0.595330931903
ACH-000085,-0.706957879077
ACH-000086,-0.660015378918
ACH-000087,-0.893688301824
ACH-000092,-1.2002926329299999
ACH-000095,-1.23447281055
ACH-000097,-0.97452050112
ACH-000098,-1.04084468035
ACH-000099,-0.970632495933
ACH-000108,-1.18805751624
ACH-000113,-1.05597463865
ACH-000115,-0.48959290626400004
ACH-000116,-0.5935717804899999
ACH-000118,-1.02613081092
ACH-000120,-1.20772726412
ACH-000123,-1.22199759616
ACH-000127,-1.0753719363299998
ACH-000128,-1.10216262334
ACH-000132,-0.509716137341
ACH-000133,-0.9866480864799999
ACH-000137,-0.743094214156
ACH-000138,-1.01345389181
ACH-000142,-0.9995556643089999
ACH-000143,-0.87458943239
ACH-000146,-0.686775637172
ACH-000148,-1.15445738513
ACH-000150,-1.23974359491
ACH-000152,-1.17634849423
ACH-000153,-0.935540574143
ACH-000159,-1.08305593268
ACH-000160,-1.12474070235
ACH-000163,-1.2825578790999999
ACH-000167,-0.656001902376
ACH-000168,-0.938300123567
ACH-000169,-0.920140969034
ACH-000178,-1.0955540269700001
ACH-000182,-0.9760713942139999
ACH-000183,-0.749634258162
ACH-000188,-1.11054598326
ACH-000189,-1.2703864799200002
ACH-000190,-1.12719251549
ACH-000198,-0.958486815431
ACH-000204,-0.735370898838
ACH-000206,-0.960841596953
ACH-000207,-0.660957524661
ACH-000211,-0.753596791638
ACH-000215,-1.08378854546
ACH-000221,-1.10324521098
ACH-000222,-1.2230862824600002
ACH-000223,-0.825134549197
ACH-000226,-1.27096836727
ACH-000227,-1.0354430324400001
ACH-000228,-1.1729897654
ACH-000231,-1.03630888571
ACH-000232,-1.00159845298
ACH-000233,-0.942947199992
ACH-000234,-1.43950927924
ACH-000235,-1.1699738721700002
ACH-000237,-1.1795611018899999
ACH-000238,-1.2352604915899998
ACH-000243,-1.2310931036200001
ACH-000244,-1.17411036831
ACH-000246,-1.2223947122299998
ACH-000248,-0.861828976258
ACH-000250,-0.982119828047
ACH-000251,-0.8561220025380001
ACH-000253,-0.73502758566
ACH-000255,-1.1190873964499999
ACH-000256,-0.9191240420710001
ACH-000257,-0.9030470182100001
ACH-000258,-1.17071774916
ACH-000259,-0.7791630012530001
ACH-000260,-0.8063916261220001
ACH-000261,-0.873933528434
ACH-000262,-1.0949607296600001
ACH-000263,-0.813494681752
ACH-000264,-0.837019118971
ACH-000265,-1.10067440335
ACH-000266,-1.11193495775
ACH-000272,-1.34642210789
ACH-000273,-0.954491301542
ACH-000274,-1.0244669362799999
ACH-000277,-1.01216935331
ACH-000278,-1.1213010372499999
ACH-000279,-0.653377827341
ACH-000280,-0.982837234235
ACH-000281,-1.32322502769
ACH-000288,-0.710955599064
ACH-000291,-1.2117407412299999
ACH-000293,-0.716449873269
ACH-000294,-1.07678263395
ACH-000295,-1.40102426137
ACH-000296,-0.723173503705
ACH-000302,-0.8364297422779999
ACH-000304,-0.474337386018
ACH-000307,-1.13466729649
ACH-000308,-0.9802098643520001
ACH-000310,-0.938175897796
ACH-000311,-1.2607446427200002
ACH-000312,-0.939999920367
ACH-000315,-0.927957812656
ACH-000316,-1.2043667467299999
ACH-000317,-1.17916140439
ACH-000318,-1.19092053656
ACH-000319,-0.793746731005
ACH-000320,-1.35593031414
ACH-000322,-1.13452064429
ACH-000323,-1.07849826877
ACH-000324,-1.23088678456
ACH-000329,-1.1534906146700001
ACH-000330,-0.909970577179
ACH-000331,-0.9924089286679999
ACH-000332,-1.24261670348
ACH-000334,-0.873213329544
ACH-000335,-1.1121542467899999
ACH-000336,-1.4051847819799999
ACH-000337,-0.8573604908570001
ACH-000339,-1.21867604226
ACH-000341,-0.9934482779530001
ACH-000348,-0.682248137833
ACH-000350,-0.8814850312000001
ACH-000352,-0.7175893378839999
ACH-000356,-0.866377559929
ACH-000361,-1.48173975851
ACH-000362,-0.997676645584
ACH-000363,-0.499378309437
ACH-000364,-0.8547223660259999
ACH-000365,-0.9721699158930001
ACH-000366,-0.8506675699709999
ACH-000368,-0.961492778479
ACH-000374,-1.12390434251
ACH-000375,-1.34349176254
ACH-000376,-1.01236764167
ACH-000381,-1.3112074412999999
ACH-000383,-1.3172860475200001
ACH-000387,-1.05704266246
ACH-000389,-0.957395119384
ACH-000390,-1.4284426322200001
ACH-000393,-0.7120841043070001
ACH-000395,-0.839189186801
ACH-000397,-0.911976210901
ACH-000401,-0.981882992569
ACH-000402,-0.813272063353
ACH-000403,-0.920778344894
ACH-000404,-1.1225006864700002
ACH-000406,-1.32723040911
ACH-000407,-1.34371765883
ACH-000408,-1.2756483869700002
ACH-000410,-0.578433333581
ACH-000411,-1.12514054954
ACH-000414,-1.06807231381
ACH-000415,-0.763030425436
ACH-000416,-1.03390456771
ACH-000420,-0.8215652378630001
ACH-000421,-0.9578328995730001
ACH-000424,-0.7744492315639999
ACH-000425,-1.15457572266
ACH-000426,-0.486727736953
ACH-000427,-0.5738782151780001
ACH-000433,-1.17096057365
ACH-000436,-0.674212232016
ACH-000444,-1.1663281422
ACH-000445,-1.30054004499
ACH-000448,-1.12645094307
ACH-000450,-1.22045496455
ACH-000452,-1.10141494942
ACH-000454,-1.0782538060299998
ACH-000458,-0.8960172177700001
ACH-000459,-1.05047927919
ACH-000460,-0.814816912455
ACH-000461,-0.962442524027
ACH-000463,-0.909672558518
ACH-000464,-1.0071775710100002
ACH-000466,-0.903733191338
ACH-000467,-0.927318186416
ACH-000468,-1.27198094208
ACH-000469,-0.9808043243200001
ACH-000470,-0.926243789282
ACH-000471,-1.03294872403
ACH-000472,-0.8791436500220001
ACH-000473,-0.607418922905
ACH-000475,-0.49458024141999996
ACH-000476,-0.70750813722
ACH-000477,-1.14116535257
ACH-000480,-0.825186667447
ACH-000481,-0.7366459853470001
ACH-000483,-0.880673931039
ACH-000484,-0.736137660406
ACH-000485,-1.14737925468
ACH-000486,-1.02733336463
ACH-000487,-0.740972248561
ACH-000488,-0.863524057012
ACH-000490,-0.989981732426
ACH-000491,-1.0489037110400001
ACH-000495,-1.23866494775
ACH-000496,-1.2928485486599999
ACH-000499,-1.31214901402
ACH-000500,-0.6783405157089999
ACH-000502,-1.19314093871
ACH-000503,-1.2145495668100001
ACH-000505,-0.8966179559530001
ACH-000507,-0.90372889081
ACH-000510,-1.06458926204
ACH-000511,-1.12645008124
ACH-000512,-1.09094455014
ACH-000516,-1.00999425742
ACH-000517,-0.978200382381
ACH-000518,-1.1671411295799998
ACH-000520,-1.0924701677600002
ACH-000521,-1.12369281461
ACH-000522,-0.959815694113
ACH-000524,-0.924675548917
ACH-000527,-1.09897155211
ACH-000528,-0.982125386631
ACH-000537,-0.642548359873
ACH-000541,-0.768242414136
ACH-000542,-1.08538397395
ACH-000544,-1.20910221584
ACH-000545,-0.978618130636
ACH-000547,-0.827964960013
ACH-000548,-0.585353623893
ACH-000549,-0.586524010335
ACH-000550,-0.8087606686300001
ACH-000552,-0.85116336938
ACH-000556,-1.0550673288899999
ACH-000557,-1.05515101808
ACH-000570,-0.984220997626
ACH-000571,-0.5940575462169999
ACH-000573,-0.870192696056
ACH-000576,-0.579186335654
ACH-000580,-1.7357903791900002
ACH-000584,-0.8212389833589999
ACH-000585,-0.9135843577089999
ACH-000588,-0.898687480866
ACH-000589,-0.813993596528
ACH-000591,-1.3933916323700002
ACH-000593,-0.963149245352
ACH-000600,-1.0364936388200001
ACH-000601,-0.952219396966
ACH-000604,-0.648215931007
ACH-000605,-1.0502334566299998
ACH-000606,-1.04212559351
ACH-000608,-1.18998006304
ACH-000614,-1.58863761161
ACH-000616,-0.8775230993350001
ACH-000618,-0.983779119429
ACH-000619,-1.10310997851
ACH-000620,-0.934880730237
ACH-000621,-0.694958556271
ACH-000622,-1.14705287517
ACH-000623,-0.852875101513
ACH-000624,-1.14295090251
ACH-000627,-0.9532730194079999
ACH-000630,-0.9610867643440001
ACH-000632,-0.915649456803
ACH-000633,-0.555162283399
ACH-000637,-1.08510493344
ACH-000638,-1.17579913969
ACH-000646,-1.31080949454
ACH-000647,-1.23047322543
ACH-000648,-1.2267865970799998
ACH-000649,-1.21620281297
ACH-000651,-1.1173006298000001
ACH-000652,-1.06379161725
ACH-000653,-0.744097780143
ACH-000657,-0.916476576374
ACH-000658,-0.529052002407
ACH-000661,-1.0692464210700001
